{'短评内容': '酒店服务差，而且特别坑，就是把床单弄脏了扣费二十，上次就是。总之最好不要来', '短评打分': 1}
{'短评内容': '很好的体验', '短评打分': 5}
{'短评内容': '设备陈旧', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '可以的，不错', '短评打分': 5}
{'短评内容': '五楼太吵六楼可以', '短评打分': 5}
{'短评内容': '价格不错，房间干净', '短评打分': 5}
{'短评内容': '不错，主要是六楼环境也好', '短评打分': 5}
{'短评内容': '挺好的挺不错', '短评打分': 5}
{'短评内容': '好好好好好好，非常好，超级好。要不到台的好。', '短评打分': 5}
{'短评内容': '好好好好好好好好', '短评打分': 5}
{'短评内容': '还可以吧，条件挺好的。', '短评打分': 5}
{'短评内容': '还行吧太暗了，空气不好', '短评打分': 5}
{'短评内容': '太吵了，不安静', '短评打分': 2}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '好好好好。非常好', '短评打分': 5}
{'短评内容': '来汉中经常住的酒店  很棒', '短评打分': 5}
{'短评内容': '还不错的', '短评打分': 5}
{'短评内容': '交通方便、干净卫生、设施齐全、价格合理。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好', '短评打分': 3}
{'短评内容': '楼下ktv，根本睡不着，有点吵，但是地方还好，', '短评打分': 3}
{'短评内容': '还可以吧，不过楼下是ktv，担心会比较吵', '短评打分': 3}
{'短评内容': '虽然床单有些泛黄，但是还算干净，房间厕所味大', '短评打分': 3}
