{'短评内容': '很好环境服务什么都不错一直住这', '短评打分': 5}
{'短评内容': '房间非常不错，干净，沙发舒适，干净卫生，配送咖啡，都很好，', '短评打分': 5}
{'短评内容': '好，很不错嘛，前台态度很好', '短评打分': 5}
{'短评内容': '住了很多次了，非常满意！', '短评打分': 5}
{'短评内容': '酒店前台服务很好 位置也很方便', '短评打分': 5}
{'短评内容': '环境好，卫生干净，早餐丰富，服务热情。赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞赞', '短评打分': 5}
{'短评内容': '有好想你枣片送，大厅高大上', '短评打分': 5}
{'短评内容': '大厅高大上，还会再来', '短评打分': 5}
{'短评内容': '早餐丰富，房间整洁。赞赞！', '短评打分': 5}
{'短评内容': '很好，免费升级了个房间', '短评打分': 5}
{'短评内容': '很好很方便，酒店前台就可开发票，以前好像还不行呢。', '短评打分': 5}
{'短评内容': '地点不错！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '总体还是不错的', '短评打分': 5}
{'短评内容': '位置很好距离地铁站很近 房间虽然不大但是配置丰富 科技化程度高 前台服务态度非常好', '短评打分': 5}
{'短评内容': '房间比较老 不过区位不错 紧靠博物馆', '短评打分': 4}
{'短评内容': '装修味道', '短评打分': 5}
{'短评内容': '环境不错的', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '设施，环境，餐饮都很好', '短评打分': 5}
{'短评内容': '帮同事订的，反映不错，就是设施稍显陈旧', '短评打分': 5}
{'短评内容': '房间很好，温暖如春，大气高档，值得推荐', '短评打分': 4}
{'短评内容': '还可以 不过价位还是偏高了 无限网络的信号不好', '短评打分': 5}
{'短评内容': '不错的酒店，性价比好，交通一般，离市中心较远，打车还可以', '短评打分': 5}
{'短评内容': '酒店很不错，条件很好，还有无限网络。就是早餐很一般。', '短评打分': 5}
{'短评内容': '很舒适,很安静!下次还会继续住的!住的时候 把床单弄脏了,非常抱歉!', '短评打分': 5}
{'短评内容': '酒店位置挺好的，周围有西部酒城等娱乐设施，看完以后可以就近休息。', '短评打分': 5}
{'短评内容': '早餐50元，超级不值', '短评打分': 3}
{'短评内容': '酒店没挂星。房间比较小，预定不含早餐，性价比不高。', '短评打分': 3}
{'短评内容': '酒店硬件软件条件都不错，交通便利，价格稍高', '短评打分': 5}
{'短评内容': '给老外定的，房间他很满意，前台懂英语，门童也很好，只是早餐so so.', '短评打分': 3}
{'短评内容': '第二次入住，还是不错的，还是遗憾仪陇没有早餐。。。。。', '短评打分': 5}
{'短评内容': '应该附带双早餐', '短评打分': 3}
{'短评内容': '不错的酒店，位置很好。房间也很大，房间有些旧了。总体不错。', '短评打分': 5}
{'短评内容': '酒店服务不错，位置也不错就是出租不好打。床和淋浴令人满意。楼下高峰时间喇叭声音较大。总体来说可以值400以上的房费。', '短评打分': 5}
{'短评内容': '性价比挺好的，房间很舒适，地点也方便，好像望速有点慢，再有，没早餐很遗憾。', '短评打分': 5}
{'短评内容': '住的还不错，早餐品种有点少。', '短评打分': 3}
{'短评内容': '很好的环境', '短评打分': 3}
{'短评内容': '这个酒店在郑州算是比较上档次的酒店了 不错 ', '短评打分': 5}
{'短评内容': '酒店房间干净，而且宽敞；酒店人员服务周到，礼貌。', '短评打分': 5}
{'短评内容': '还可以吧，这个价格应该含个早餐什么的；打的士不是很方便，估计是郑州的士太少了', '短评打分': 5}
{'短评内容': '酒店地理位置不错，性价比一般，这价格凑合着住吧', '短评打分': 5}
{'短评内容': '停车场地不大，硬件条件不错，房间价格太贵。', '短评打分': 5}
{'短评内容': '还行吧。只是每次去都很多人，入住和离店速度都有点慢\n而且吧台和冰箱里面没有任何东西可供消费', '短评打分': 5}
{'短评内容': '环境不错，房间也还好，服务态度标准就一般般了，可惜没空去旁边的商场看看，整体不错，以后还会入住的。', '短评打分': 5}
{'短评内容': ' 很好', '短评打分': 3}
{'短评内容': '非常好的酒店，对面就是河南博物馆，顺便参观。早餐需要改进，品质提高一些。', '短评打分': 5}
{'短评内容': 'Every thing is OK except for the small bath room', '短评打分': 5}
{'短评内容': '其它都挺好的，就是感应的房门卡貌似很难开，每次都要搞上半天才能开。另外，一进房间就能闻到一股烟味，可能房间里前面的客人是个老烟枪吧。', '短评打分': 5}
{'短评内容': '挺干净的，电视机超级大。就是价格有点贵，而且貌似郑州的市区打车都很困难。', '短评打分': 5}
{'短评内容': '大堂和房间都很干净，交通也挺便利。值得推荐', '短评打分': 5}
{'短评内容': '郑州中州国际饭店 还可以 还可以 、。。\n', '短评打分': 5}
{'短评内容': '房间还不错~! 位置很好,正好在博物院对面,nice view!', '短评打分': 5}
{'短评内容': '性价比比较高 床很舒服 电视很大 房间比较大', '短评打分': 5}
{'短评内容': '好像春节期间降价了，比去年便宜些了，是个好事，不过节目少的缺点还是没有解决。', '短评打分': 5}
{'短评内容': '酒店里面的电视节目太少，性价比和大河锦江等比稍微差一些。', '短评打分': 5}
{'短评内容': '物有所值\u3000每次来都会住的', '短评打分': 3}
{'短评内容': '住宿挺好', '短评打分': 3}
{'短评内容': '还会继续住。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '卫生有死角.除味剂用量过大：', '短评打分': 3}
{'短评内容': '这已经是第二次去了。很好的酒店，推荐去。酒店服务都到位。退房后等我到上海才发现落了一个接线板在酒店里，打电话过去说可以寄快递。半年内有效', '短评打分': 5}
{'短评内容': '酒店地理位置和服务都不错', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': 'OK.VERY GOOD , 但是最好提点建议，是让过后，如果国际的先付了款，你们应该打个电话过来说一下己预定。 国际的订完后查不查不到信息，有点不喜欢，', '短评打分': 5}
{'短评内容': '再一次入住房间布置上有升级 比上次更加满意', '短评打分': 5}
{'短评内容': '一个人入住的qq房还是蛮满意的 酒店位置也不错正对河南省博物馆', '短评打分': 5}
{'短评内容': '服务一般，位置不错，停车困难，价格太贵，不太划算！', '短评打分': 1}
{'短评内容': '+酒店不错', '短评打分': 5}
{'短评内容': '四星酒店，装潢也很上档次，总体来说不错。', '短评打分': 5}
{'短评内容': 'very convenient hotel, nearby museum and cinema', '短评打分': 5}
{'短评内容': '我很喜欢，强力推荐！', '短评打分': 5}
