{'短评内容': '非常不错，明年还去', '短评打分': 5}
{'短评内容': '位置不错。卫生条件好。', '短评打分': 3}
{'短评内容': '旅馆在龙湾村里，龙湾村是在紫竹林附近半山腰上一个原著居民社区，每户都做旅馆，都一个样，三层小别墅，外观看着比较简陋，自己住着还行。老板服务一般，不像别家老板那么热情，另外就是，不是高峰期来岛完全可以上岛再选住宿，可以议价，可以看老板看房间，艺龙上还得预付，实际上空很多房间。', '短评打分': 3}
{'短评内容': '干净，舒适，服务周到，出行方便，很好，值得选择', '短评打分': 3}
{'短评内容': '房间较小但还算干净，老板态度服务意识差，老板娘就不错。', '短评打分': 3}
{'短评内容': '很一般与网络介绍不一样，有被骗的感觉', '短评打分': 3}
{'短评内容': '比想像的好谢谢', '短评打分': 3}
{'短评内容': '很一般的家庭房，做好思想准备。费用不便宜，岛上可以理解。', '短评打分': 1}
{'短评内容': '这家店的老板娘真好，真热情，从我们刚入住一直到退房都很热情，还帮我们订票，下次再去我还住这家店', '短评打分': 5}
{'短评内容': '家庭旅馆还可以。不比想向中的差。在PUTUO这地方不能要求太高。。。。也就这样。物美价廉。。。。。老板推荐吃饭的地方，相比别的小饭店不算太宰人。不过和城市的价格是没法比的。。。。', '短评打分': 5}
{'短评内容': '小旅馆不错。就是农民家的小房子，装修的也不错，干净、整齐。200不到的价格，比起正规酒店来，很有竞争力。一家三口很适宜。\n\n店家也很好客，接站、策划旅游路线、添衣加被的，能满足的要求都满足了。\n\n急需改进的地方是，我临走前的早上，店家早上7点多就催起床。莫名其妙没搞清楚要干什么。然后9点多又来催，原来要我交房走人。说下一家客人马上要来。被我拒绝了。 按规矩十二点才交房，有需要可以延至一点。店家怕下', '短评打分': 5}
