{'短评内容': '酒店环境不错，前台服务超级差，不理人，就玩手机，爱搭理不搭理的！！！', '短评打分': 3}
{'短评内容': '晚上十二点入住，结果进房间看到的就是地上的虫子，掀开被子更是有蟑螂跑出来，卫生间进门也是有好多虫子，不得不直接离开酒店。去前台说明屋里虫子多，前天台服务人员没有任何表示歉意的意思，失望透顶。', '短评打分': 2}
{'短评内容': '一般吧', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '还行，客服很好', '短评打分': 5}
{'短评内容': '不错。就是隔音有点差', '短评打分': 5}
{'短评内容': '地方不错，环境不闹，卫生也挺干净的。就是不知道会不会反现了', '短评打分': 5}
{'短评内容': '环境还不错', '短评打分': 3}
{'短评内容': '名字好听，其实是个旅馆啊！', '短评打分': 3}
{'短评内容': '还不错！', '短评打分': 5}
{'短评内容': '交通，环境，卫生，设施，服务态度都一般，不值，', '短评打分': 3}
{'短评内容': '红红火火恍恍惚惚试试', '短评打分': 3}
{'短评内容': '住着还算不错，在那里住了好几天', '短评打分': 4}
{'短评内容': '住的是靠近小区侧，也不吵，就是卫生间有挺重的味道，好像是消毒液，但很不舒服', '短评打分': 4}
{'短评内容': '经济实惠，安静卫生。', '短评打分': 3}
{'短评内容': '环境及位置还行，也挺干净的，准备多住几天', '短评打分': 4}
