{'短评内容': '一直住这里', '短评打分': 5}
{'短评内容': '可以的，百来块钱的房间。值得。', '短评打分': 5}
{'短评内容': '房价比较大，也安静', '短评打分': 5}
{'短评内容': '不错  价格实惠  安静', '短评打分': 5}
{'短评内容': '地毯上都是脏物，很多明显的碎塑料片垃圾。房间里还有浓浓的烟味，应该是上一个房客留下的。房间在4楼，阳台离三层平台接近，偏偏通阳台的门锁坏了锁不住，门缝还塞进好几张色情服务的卡片，一个女人住的怕死了。电视机倒是不错。晚上楼下的卡拉OK震耳欲聋到好晚。', '短评打分': 3}
{'短评内容': '地理位置不错，价格好，值得入住', '短评打分': 5}
{'短评内容': '行。很满意。都是套房的才舒服', '短评打分': 5}
{'短评内容': '可以的噢，价格位置合适', '短评打分': 5}
{'短评内容': '不错不错', '短评打分': 3}
{'短评内容': '来出差，都是住在这里的，方便', '短评打分': 5}
{'短评内容': '这趟出差住了几天了，感觉还不错！', '短评打分': 5}
{'短评内容': '朋友介绍的，交通便利，客服热情周到，房间干净卫生，值得一住！', '短评打分': 5}
{'短评内容': '服务好，安全干净卫生，性价比高，还会再来', '短评打分': 5}
{'短评内容': '朋友介绍来的，房间很宽敞，很干净卫生，安全！', '短评打分': 5}
{'短评内容': '楼下KTV太给力了，房间全是小卡片', '短评打分': 3}
{'短评内容': '酒店不错，在当地算性价比较高的，房间比较干净，还会再去。', '短评打分': 5}
{'短评内容': '酒店干净卫生，位置不错，容易找到。楼下卡拉OK半夜有点吵。', '短评打分': 5}
{'短评内容': '地点偏了些，还有显示宽带是免费的。直接写无好了。害我以为备有电脑', '短评打分': 5}
{'短评内容': '环境优美、整洁，离市中心很近。一楼是名典咖啡，凭房卡可以优惠。三餐时间不限制，是中式化的西餐，味道比较柔和，食材很新鲜，营养搭配比较科学，份量大，即使食量很大的人也能吃饱。本人很喜欢这种食宿两便的酒店！出门在外住的舒心，吃的放心，家人才能安心！', '短评打分': 5}
{'短评内容': '房间布置别致，有真植物盆景，既能改善室内空气质量，又能赏心悦目；还有露天小阳台，可以出去观景和舒活筋骨，挺好的。', '短评打分': 5}
{'短评内容': '第四次入住了，酒店卫生环境不错，早餐种类很多且比例合适我的味口，一楼还有咖啡厅凭住房卡消费能打8.8折。', '短评打分': 5}
{'短评内容': '挺好，性价比不错，就是有点潮', '短评打分': 3}
{'短评内容': '服务很快', '短评打分': 3}
{'短评内容': '房间挺干净，设施摆放挺整齐，网速很好，用着很方便。', '短评打分': 3}
{'短评内容': '服务挺好，随叫随到，态度也挺好，价格上还算合理。', '短评打分': 5}
{'短评内容': '房间布置的挺温馨，设施挺好，感觉挺舒适。', '短评打分': 3}
{'短评内容': '服务挺到位的，早餐种类挺多，位置挺好，出行挺方便的。', '短评打分': 5}
{'短评内容': '酒店还不错，服务卫生挺好，价格挺合理，挺适合商业人士。', '短评打分': 5}
