{'短评内容': '不错，性价比都行，下次还会考虑入住的      。', '短评打分': 5}
{'短评内容': '很干净，房间也蛮大的，不会有拥挤的感觉，很舒服，下次还会住这~', '短评打分': 5}
{'短评内容': '交通蛮方便的，离市区也近，走路最多十分钟就到南大街了，房间很干净。', '短评打分': 5}
{'短评内容': '啧啧,房间不错,果然是新装修,有很大的双层窗户,采光也挺好', '短评打分': 3}
{'短评内容': '   非常不错的宾馆，居然打电话免费', '短评打分': 3}
{'短评内容': '刚到酒店，空调开了二十分钟，开到17度，居然都没冷气，后来要求总台调房间，还好更换的房间令人满意，制冷效果不错', '短评打分': 3}
{'短评内容': '刚办完入住手续，第一感觉前台和清洁阿姨都很热情，很温馨。进房后感觉，整体非常整洁干净，感觉较舒适。但个人感觉空间较小，不过这个价位还是物有所值的。位于市中心周围交通比较便利，沿街的一排客房略显吵杂，建议店家可以更换中空玻璃或双层玻璃给客房提供个更安静的环境。不知早餐如何，明早体验过后再进行后续点评。', '短评打分': 5}
{'短评内容': '酒店前台服务态度不错，房间装修不错，地段不错离市中心很靠近', '短评打分': 5}
{'短评内容': '酒店服务态度不错，地段好，房间装修不错，', '短评打分': 5}
{'短评内容': '该酒店地段好，房间装修不错，三星级标准装修，服务员态度不错。', '短评打分': 5}
{'短评内容': '该酒店装修不错，设施齐全，环境好，地段好', '短评打分': 5}
