{'短评内容': '房间里面还可以，就是卫生间太小了，总体感觉性价格可以', '短评打分': 5}
{'短评内容': '这家酒店的浴室是亮点 但是房间不隔音 门下面的缝好大', '短评打分': 1}
{'短评内容': '酒店位置较偏，周围环境一般，头天入住可以使用消费券，第二天又不可以使用了！', '短评打分': 1}
{'短评内容': '除了空调滴水外，一切都还好，整体来说我还是比较满意的，希望能尽快解决空调的问题。早餐自助餐很不错，房费这个价位也很合适。还有一些小问题，虽然对我影响不大，不过提出来，希望能做得更好，使顾客更满意。一是马桶会一直漏水，虽然不大，不过修好的话能节省一些水资源。二是早上6点多7点楼上不知道在装修还是什么的，敲敲打打的声音，有点扰人清梦了。然后顺便提一下，对酒店的服务还算满意，前台跟房务员服务态度都还行。', '短评打分': 5}
{'短评内容': '服务态度很好', '短评打分': 3}
{'短评内容': '第一次在网上预订酒店，很简便也很顺利。\n优点：一、房间很干净，也很温馨，但是太小了，和城市便捷酒店一样（我住的是大床房）。二、服务员态度很好。\n不足：一、离市中心有点远，很多的士司机都不知道；二、房间隔音不是很好，液晶电视很不清晰，有没有几个台可看；三、早餐品种太少。（早上八点四十去吃早餐，居然没有杯子用，服务员说已经用完了...)\n总的来说性价比还是比较高的，推荐！', '短评打分': 5}
{'短评内容': '住宿条件还可以，符合这个价钱档次的，就是服务质量有待提高，办手续效率有点低！', '短评打分': 1}
{'短评内容': '环境整洁，比较安静，早餐时间较长可以睡好觉再吃很好，符合商务酒店的标准，以后还会再住。谢谢', '短评打分': 5}
{'短评内容': '房间装修挺好的也很干净，而且酒店离我办事也很近，服务很好，价格也很合适。', '短评打分': 5}
{'短评内容': '价格便宜些，环境也就一般，房间住着也没什么大问题，价格也很便宜。', '短评打分': 1}
{'短评内容': '房间还不错就是有些小，酒店的位置不是太方便，价格还是高了，服务也就一般。', '短评打分': 3}
{'短评内容': '位置不是很方便找，但性价比还可以。服务一般！', '短评打分': 5}
{'短评内容': '酒店前台服务人员态度不太好，在自身业务不熟练的情况下，粗鲁地对待客户。搞的人很不愉快。酒店位置很偏，离市中心和火车站等地很远，不方便。', '短评打分': 1}
