{'短评内容': '条件一般，设备老旧，价格不便宜', '短评打分': 4}
{'短评内容': '还行住着的', '短评打分': 4}
{'短评内容': '很老政府宾馆，不值这个价', '短评打分': 3}
{'短评内容': '对于一个县城来说，酒店整体还行，服务态度蛮好，就是酒店价格对于县城来说偏高，如果在100左右，差不多。设施有点老，其他都还行。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '设备设施老旧了些，整体还算干净，前台服务还不错。实际情况就这样', '短评打分': 4}
{'短评内容': '￥480，凑合睡一晚，反正就一晚', '短评打分': 3}
{'短评内容': '酒店干净整洁，交通便利', '短评打分': 4}
{'短评内容': '携程签约的什么垃圾酒店？什么垃圾酒店什么垃圾酒店？妈的住进来，就被小偷光顾，还报了案，公安局也介入了，也确实从监控查到小偷了，损失了好几千上万块钱，还得去补办证件，酒店确一分钱也不赔，损失一分钱都拿不到，可能这垃圾酒店是跟小偷挂钩的，折腾，1000个10000个累呀。。。。。。。谁还敢来连城山水饭店住，你就大胆的来吧！', '短评打分': 1}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '尚可，房间宽敞', '短评打分': 5}
{'短评内容': '环境还可以，挺干净的', '短评打分': 3}
{'短评内容': '数码房没有电脑，其余条件还过得去，可以接受', '短评打分': 3}
{'短评内容': '对得起这个价钱，这个价位不要期待太高就好', '短评打分': 3}
{'短评内容': '酒店位于县城内，交通便利，距离冠豸山景区非常近，只有两公里多，酒店团购价168元，返30元的性价比很高，配套有十多个免费的停车位，非常方便。以后有去还会考虑入住。', '短评打分': 3}
