{'短评内容': '景区里面，非常好', '短评打分': 5}
{'短评内容': '酒店早餐一般，不能加床，适合带孩子，酒店在桃花潭景区里面，有停车场。', '短评打分': 5}
{'短评内容': '早餐比较简单酒店比较有味道 就在景区里面', '短评打分': 5}
{'短评内容': '非常好，值得推荐！地理位置优越，酒店设施完备，里面居然由那么大的景区，第二次入住，以前居然没有发现，值得好好逛逛。', '短评打分': 5}
{'短评内容': '景色宜人！干净整洁！', '短评打分': 5}
{'短评内容': '硬件其实不符合四星级的标准，但胜在环境一流，桃花潭的确很美。', '短评打分': 5}
{'短评内容': '酒店环境优美，服务很好，有电瓶车接送，还升级到套间，很大很宽敞，特别好，吃饭小贵，总体是个休闲度假的好去处。', '短评打分': 5}
{'短评内容': '房间比较差，卫生间很差，马桶不通，修了还是不行', '短评打分': 3}
{'短评内容': '环境杠杠的！深处桃花潭公园里，有山有水有肉，接近完美！订的高级套房，房间也够大！不错不错！说完美好的，要提点小意见，早饭真心不咋样啊，虽说包含在房费里，也不能糊弄顾客啊。有团队原因，所以在大的宴会厅吃早餐，前一晚给团队包的场，地上油腻腻的，踩在上面都黏鞋子…另外早餐口味也有待改善，牛奶没了，没有及时补给，馄饨下的真心难吃！真是对不起装修这么气派的酒店。晚上一餐也是酒店吃的，哎，还没中午在路上农家乐', '短评打分': 5}
{'短评内容': '还行………………………………………………………………', '短评打分': 4}
{'短评内容': '超赞的一次旅行体验。酒店设施卫生，干净。环境优雅，安静。酒店旁边是一条碧绿的河流，带着悠香缓缓流淌。', '短评打分': 5}
{'短评内容': '酒店周边环境优美，就在桃花潭景区里面，出入电瓶车接送很不错，就是吃饭有点难，酒店里只有自助餐，想吃炒菜必须去挂钩的什么农场', '短评打分': 5}
{'短评内容': '谁说早夕不好的，我们吃的不错。', '短评打分': 5}
{'短评内容': '好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '空调噪音大', '短评打分': 5}
{'短评内容': '环境挺好的，空间挺大，就是设施有点旧了', '短评打分': 4}
{'短评内容': '很小的地方有这样的酒店算很不错了。适合窝在酒店就不要出来的人。酒店确实有小虫子，但是属于无害型的，不大惊小怪的人比较能忍。', '短评打分': 5}
{'短评内容': '从黄山到泾县选择到这里住一晚，这里现在很多地方在施工，感觉没有元旦来住的时候好。', '短评打分': 4}
{'短评内容': ' 桃花潭畔，水墨江南，风景无可挑剔，酒店服务有待改进', '短评打分': 3}
{'短评内容': '酒店位置偏不是很好找，有些客房还在装修中，大堂门口还没装修好，杂草丛生，地面凹凸不平，客房油漆味相当重，早餐差，总而言之和它的星级相当不匹配。', '短评打分': 3}
{'短评内容': '酒店环境客房不错，周围的环境非常怡人优美', '短评打分': 3}
{'短评内容': '环境好，等于一个景点，桃花源都不必去了。餐饮娱乐差点，度假比较合适', '短评打分': 5}
{'短评内容': '典型徽式园林风格酒店，住宿一色的水岸别墅，房间宽大，设施豪华完备，酒店处于试营业期，尚有很多配套部分在建，各项服务和管理亦有待提升。\n很有特色的5星级度假酒店，但不得不提到的是，在严寒的冬天，房间内空调显得不够用，总是很难达到满意温度，出风口打到很响的最大档也无济于事，这属于设计缺陷了吧。', '短评打分': 5}
{'短评内容': '所占地理位置不错，风景优美。但酒店管理水平落后，服务意识缺失。', '短评打分': 1}
{'短评内容': '酒店风景非常漂亮，房间很大很干净，前台服务很周到。', '短评打分': 5}
