{'descr': '还好，比较适合安静的生活', 'star': 5}
{'descr': '房间条件还不错', 'star': 5}
{'descr': 'wifi不错 挺稳定的 距离南开西门很近 很方便', 'star': 5}
{'descr': '靠近南开大学，早餐挺好，服务比较规范，比较安全卫生，服务员态度挺好，门口有许多共享单车，附近小吃店较多', 'star': 5}
{'descr': '好。。。。。。', 'star': 5}
{'descr': '不错，就是有点小贵，可能是因为节假日吧', 'star': 5}
{'descr': '每次去看孩子都住在这家汉庭，交通方便，卫生也还不错。', 'star': 5}
{'descr': '喜欢', 'star': 5}
{'descr': '满房?', 'star': 5}
{'descr': '环境很好，服务态度很棒????', 'star': 5}
{'descr': '环境很好', 'star': 5}
{'descr': '环境很好，干净卫生。', 'star': 5}
{'descr': '干净卫生，环境不错。', 'star': 5}
{'descr': '干净卫生，位置不错', 'star': 5}
{'descr': '环境不错 管理严格', 'star': 5}
{'descr': '莫名其妙的蹦出来的东西。', 'star': 5}
{'descr': '家附近性价比最高的快捷酒店', 'star': 5}
{'descr': '价格还行，感觉酒店设施有待改善！', 'star': 4}
{'descr': '服务越来越差', 'star': 5}
{'descr': '不错。', 'star': 3}
{'descr': '暖气那掉墙皮', 'star': 4}
{'descr': '汉庭酒店一直不错，赞一个。', 'star': 5}
{'descr': '酒店不错 很满意  下次还会住这里的酒店不错 很满意  下次还会住这里的酒店不错 很满意  下次还会住这里的酒店不错 很满意  下次还会住这里的', 'star': 5}
{'descr': '还可以，房间比较大，位置很好，在南开大学西门旁', 'star': 5}
{'descr': '很好的酒店，安静，交通也还便利，就是晚上有人发卡片。', 'star': 5}
{'descr': '位置还不错, 性价比不错, 下次应该还会预订.', 'star': 5}
{'descr': '多次预定了, 很不错, 交通很便利, 下次还会入住.', 'star': 5}
{'descr': '服务还不错', 'star': 3}
{'descr': '一般吧，不是很方便，汉庭的房型比较奇怪，不过离办事处近，只能住那了', 'star': 5}
{'descr': '商务标间：卫生状况不佳，马桶圈上明显可见黄渍，还得我自己用地巾擦了一遍才敢用，屋里一半地板一半瓷砖，砖的地方粘我的鞋底，难道是我的鞋的质量不佳？空调启动噪音太大了，该换了啊！电视是大屁股的，还挺小。半夜一点过被隔壁刚回去的住户吵醒了，开了巨大声的电视，巨大声的说笑，疯了！', 'star': 1}
{'descr': '安静，整洁，服务人员态度很好，性价比很高的酒店。', 'star': 5}
{'descr': '环境不错。很干净', 'star': 3}
{'descr': '很好的酒店，很干净，也不闹，就是卫生员做卫生时在楼道大声喧哗，希望改进。', 'star': 5}
{'descr': '满意，周围都有，方便，下次还来！！！！！！！！！！！！！！！！！！！！！1', 'star': 5}
{'descr': '商务双床房挺大的 靠近电梯的房有点吵 床不太舒服', 'star': 3}
{'descr': '高级大床房临近马路 有些吵', 'star': 3}
{'descr': '因为距离原因选择这里，服务员态度不好，性价比不高', 'star': 1}
{'descr': '住的非常满意，在这个汉庭附近交通购物都很便利，性价比也很高', 'star': 5}
{'descr': '服务不错，收拾得挺干净的，附近就有超市和饭店，很方便', 'star': 5}
{'descr': '很好，环境很好，设施也不错，', 'star': 3}
{'descr': '很不错哦.周围设施齐全。很不错哦.周围设施齐全。', 'star': 5}
{'descr': '我住的房间旁有一个发出噪音的烟囱，很吵，找前台换房没有成功，我是个对休息环境要求比较严格的，安静是必备的条件。再就是厕所比较小，起身时会碰到头。', 'star': 1}
{'descr': '干净舒适', 'star': 3}
{'descr': '快捷酒店也就这个样了，主要开会在那附近，方便。。。。', 'star': 5}
{'descr': '服务很给力，整洁卫生，就是停车有点困难。', 'star': 5}
{'descr': '好，比较干净\n好，比较干净\n好，比较干净\n好，比较干净\n好，比较干净', 'star': 5}
{'descr': '房间很大，很满意呢~', 'star': 3}
{'descr': '房间很大，很温馨，地理位置也很优越，推荐', 'star': 5}
{'descr': '我住的是商务大床，挺干净的，就是卫生间洗澡间有点小，只有一部电梯，有点慢。', 'star': 3}
{'descr': '酒店地理位置还可以，房间较大，就是牙具居然有一个是发霉的，非常的不爽，整体服务还可以，电视节目较丰富，去百脑汇，家乐福很方便。', 'star': 5}
{'descr': '房间很大，卫生条件也不错，值得推荐，就是太靠近马路的，路上的车流量也大，到晚上的时候就是有点吵。。。。。。。。。。。。。。', 'star': 5}
{'descr': '不错，特别是旺季，服务和硬件都挺人性化的。离天津大学、南开大学都很近，交通也方便，附近商业街，特色小吃也有好多，是一个理想的住宿地，价廉物美。', 'star': 5}
{'descr': '酒店很干净,服务不错,交通很方便,挺!', 'star': 3}
{'descr': '房间很大，洗澡水很好，住的很舒服,推荐啊', 'star': 5}
{'descr': '感觉不如以前了，离南开大学非常近，房间隔音不太好老是听到旁边的声音', 'star': 5}
{'descr': '酒店很好，老顾客了', 'star': 3}
{'descr': ' 十分好!', 'star': 3}
{'descr': '很满意', 'star': 3}
{'descr': ' 訂的是百元大床房.,房間比平時住的大了一點五倍!可能是剛好轉角位的關係吧，傳統的漢庭風格,很舒適', 'star': 3}
{'descr': '酒店周围生活很方便，紧邻鞍山西道电子街。整体服务还行...', 'star': 5}
{'descr': '房间较大但设施陈旧，价格较高，电视很小，不好！', 'star': 1}
{'descr': 'hao', 'star': 3}
