{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '确实不错哦。确实不错哦。确实不错哦。确实不错哦。确实不错哦。确实不错哦。确实不错哦。确实不错哦。', '短评打分': 4}
{'短评内容': '还可以的', '短评打分': 4}
{'短评内容': '还挺不错的！', '短评打分': 5}
{'短评内容': '位置好，停车容易', '短评打分': 4}
{'短评内容': '值得信赖', '短评打分': 5}
{'短评内容': '还可以吧，周围来说是性价比最高的了，比较用心，前台的笑容也不错！值得推荐！大床房，房间稍微小了一点～其他还好', '短评打分': 5}
{'短评内容': '差不多', '短评打分': 3}
{'短评内容': '热情服务、环境一流、价钱合理、安静舒适', '短评打分': 5}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '酒店一般，这边的酒店都这样', '短评打分': 3}
{'短评内容': '总体还不错，服务态度好，', '短评打分': 4}
{'短评内容': '价格便宜', '短评打分': 4}
{'短评内容': '经常出差住的地方，不错的。', '短评打分': 3}
{'短评内容': '已经是第n次住了，舒适型', '短评打分': 3}
{'短评内容': '每次出差都住这，感觉还以为。', '短评打分': 3}
{'短评内容': '有蟑螂和老鼠，不好', '短评打分': 1}
