{'短评内容': '挺好的，设施还不错', '短评打分': 5}
{'短评内容': '挺好的，设施还不错', '短评打分': 5}
{'短评内容': '挺好的，设施还不错', '短评打分': 5}
{'短评内容': '挺好的，设施还不错', '短评打分': 5}
{'短评内容': '房间里面太脏了  图一房间里面竟然有这个  图二是换房 刚进去就这样 怀疑有没有打扫过卫生  严重影响住宿心情  上图 不想说话', '短评打分': 1}
{'短评内容': '性价比超高，地理位置优越，交通很方便，门口就是公交站，能到乐清几乎所有地方', '短评打分': 5}
{'短评内容': '常常住，可以的', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '还算可以吧', '短评打分': 5}
{'短评内容': '经常有亲戚朋友来预订这家，性价比高，交通比较方便，前台接待需要加强，下了订单都不易查到', '短评打分': 3}
{'短评内容': '还可以，酒店有点旧，不过这个价格很值啦', '短评打分': 4}
{'短评内容': '整个酒店感觉一般般，有些房间感觉很久没人住了。', '短评打分': 3}
{'短评内容': '房间有点老了，空间蛮大，洗漱用品不怎么样，还好对面就是超市。', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '位置很好，就在乐清市中心，出门吃的很多  交通方便，离市政府也很近，办事很方便  性价比比较高，值得推荐，下次还会住  ', '短评打分': 4}
{'短评内容': '环境还过得去，设施也比较新，卫生马马虎虎，总体来说对的起这价格。', '短评打分': 4}
{'短评内容': '房间沐浴露没了还没换，估计是失误吧', '短评打分': 3}
{'短评内容': '酒店还好的。接近车站交通也比较方便。房间设施挺好的。', '短评打分': 3}
{'短评内容': '酒店不错，干净，性价比不错。', '短评打分': 3}
{'短评内容': '挺好的，很实惠。挺好的，很实惠。挺好的，很实惠。挺好的，很实惠。挺好的，很实惠。挺好的，很实惠。挺好的，很实惠。', '短评打分': 5}
{'短评内容': '环境差，强忍着住了四晚,8402房间既然发现2只虫子，赶快换了一间', '短评打分': 1}
{'短评内容': '靠近街边，有些吵～，地毯也比较旧了，有的毛巾还有破损，电视机也太小了，早餐也比较简单，服务人员的办事效率不高，结账用了好长时间', '短评打分': 1}
