{'descr': '房间卫生挺好，没有储物柜，放行李挂衣服不方便', 'star': 4}
{'descr': '房间干净，服务态度好，交通方便', 'star': 5}
{'descr': '不错还可以', 'star': 5}
{'descr': '房间不错，窗户也大。下次还来', 'star': 5}
{'descr': '搜附近搜到的，地图真不靠谱。房间还好.', 'star': 4}
{'descr': '性价比特别高！位置特别好', 'star': 2}
{'descr': '性价比特别高！', 'star': 3}
{'descr': '性价比特别高！位置特别好，还含早。', 'star': 5}
{'descr': '这家酒店不是太好，实话实说，比较老的一家了，设施很旧', 'star': 3}
{'descr': '房间外有噪音，被吵的睡不着，不能调房，好伤心', 'star': 3}
{'descr': '好，住宿环境优美，下次还要来', 'star': 4}
{'descr': '不错。', 'star': 5}
{'descr': '酒店位置好，交通方便，离景点很近，价格便宜，性价比很高，值得推荐，好评！', 'star': 5}
{'descr': '周边吃饭的地方不多，不过环境还行，在木杏新村站台斜对面，卫生嘛，还行，有一点不满意就是浴巾之类的毛巾没有装袋封口，总体还行', 'star': 5}
{'descr': '一如既往的好', 'star': 4}
{'descr': '还不错', 'star': 5}
{'descr': '和朋友出来这次几乎全部选择了格林豪泰 价格优惠 环境好 服务好 床大', 'star': 5}
{'descr': '好好好好好好好好好好好好好好', 'star': 5}
{'descr': '交通方便，条件瞒好。', 'star': 3}
{'descr': '价格适中,酒店设施陈旧,沿街的房间整夜吵闹的厉害,停车不便.', 'star': 5}
{'descr': '不错，价格比较实惠，还干净！有机会还会去', 'star': 5}
{'descr': '还可以', 'star': 3}
{'descr': '还行，房间小，五楼的房间没电梯。没有早饭，还好外围有面店。', 'star': 1}
{'descr': '很好的 虽然在5楼 但是还不错 很推荐下次去振华中学考试的入住', 'star': 5}
{'descr': '该酒店位于老城区，相对比较方便，服务及卫生较好，缺点就是没有早晨供应，但周边（路对面）饭店可以用餐，苏州吃饭费用较杭州低很多。', 'star': 5}
{'descr': '除了地板有些松动，还是很OK的，第二次入住咯', 'star': 5}
{'descr': '大床很给力，房间也不错，可惜靠马路吵了些，房间很温暖哦。美中不足的是下水道有些堵，都是头发了，有空也要清理一下哦', 'star': 5}
{'descr': '我已入住该酒店房`间比较整洁', 'star': 3}
