{'短评内容': '酒店挺大，就是设施有点儿老了，该重新装修了', '短评打分': 1}
{'短评内容': '地理位置好，有停车场，比较方便。导航仪能找到', '短评打分': 5}
{'短评内容': '交通方便，酒店环境好，是出商务的好住处，就是附近没有餐馆', '短评打分': 5}
{'短评内容': '房间的暖气不太暖和，尤其是卫生间洗澡甚至有点冷。', '短评打分': 5}
{'短评内容': '早餐相对简单了些，房间挺好，晚上有点冷。', '短评打分': 5}
{'短评内容': '住那个房间后半夜一点水都没有好奇怪\n有些设施老化', '短评打分': 5}
{'短评内容': '房间有点冷，总体上还可以。', '短评打分': 3}
{'短评内容': '条件还算不错，有早餐，房间也干净，下次有朋友来还安排入住！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '驻马店山海宾馆还可以，楼下有个健身房，可以抽空锻炼一下，一次30元\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '驻马店山海宾馆还可以，楼下有个健身房，可以抽空锻炼一下，一次30元', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
