{'短评内容': '还可以，也还干净，服务也还好，就是高架旁边有点吵。', '短评打分': 5}
{'短评内容': '环境不错,酒店闹中取静，房间很干净，布置的也很温馨，相比同档次的酒店，性价比很高。服务员也很热情，下次还会入住。', '短评打分': 5}
{'短评内容': '还不错，有性价比，对的起这个价格', '短评打分': 5}
{'短评内容': '还不错，性价比可以，就是空气不好，隔音很差，隔壁说话都听得一清二楚', '短评打分': 4}
{'短评内容': '干净卫生，方便，网很强。', '短评打分': 5}
{'短评内容': '蛮好 ，  一百多，还有早餐', '短评打分': 5}
{'短评内容': '房间有点小', '短评打分': 3}
{'短评内容': '挺好的，每次出差合肥都住这里，干净卫生，交通便利。', '短评打分': 5}
{'短评内容': '来合肥都住这边的，一直都觉得很好，从各个方面，特别喜欢这次房间的小飘窗。不过这次有点点小小瑕疵，就是洗脸池边有点卫生问题，希望以后可以改进。', '短评打分': 5}
{'短评内容': '很好，每次来都住这里', '短评打分': 5}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '酒店重新装修了 条件不错 在市中心 出行很方便', '短评打分': 3}
{'短评内容': '挺好的，给朋友预定，很满意，赞一个！', '短评打分': 4}
{'短评内容': '对于快捷酒店来说已经很好了，下次出差继续来这里住，赞一个，', '短评打分': 4}
{'短评内容': '很好很强大，就是停车不方便，其他的五星', '短评打分': 5}
{'短评内容': '很好，就是停车不方便，其他的都不错', '短评打分': 5}
{'短评内容': '住的是数码标间，感觉有两点不好。1、隔音效果太差了，晚上汽车行驶声音太大，无法安睡。2、淋浴地方太小，稍微点动作就碰到旁边的玻璃了。', '短评打分': 1}
{'短评内容': '网 速很 给力啊，打网页，看  视频什 么 的超级 速度。很  不错', '短评打分': 5}
{'短评内容': '交通方便，好像是刚粉刷过墙壁，房间干净明亮。床的软硬适中。含早餐，性价比超高。', '短评打分': 5}
{'短评内容': '房间干净，就是有点小，早餐太简单了，品种少。前台服务员态度不好，表情僵硬，象欠她们是的，需要改进，交通方便，有电脑，网速不快呦', '短评打分': 5}
{'短评内容': '房间小一点，符合商务酒店一般的设施，性价比还可以', '短评打分': 5}
{'短评内容': '不错，已经来了好几次了', '短评打分': 3}
{'短评内容': '免费早餐不错，网速不错', '短评打分': 3}
{'短评内容': '地理位置不错，就在市中心，比较干净，性价比挺高的', '短评打分': 5}
{'短评内容': '房间挺好，还带有阳台呢，设施挺齐全，卫生也不错，住的挺舒适。', '短评打分': 5}
{'短评内容': '周边环境还好，出行还算方便，服务质量挺好，基本设施都有，住着比较舒适。', '短评打分': 3}
{'短评内容': '酒店还不错，挺干净挺舒适的，服务也挺好，下次还会光顾的。', '短评打分': 5}
{'短评内容': '服务上挺热情的，卫生打扫也不错，位置也挺好，值得推荐。', '短评打分': 5}
{'短评内容': '服务很好，周到热情，卫生条件不错，干净整洁，房间舒适度很不错', '短评打分': 5}
{'短评内容': '酒店安全性很好，房间设施很齐全，位置不错，附近离省人大，省高检，合肥市保监会都是比较近的，门口打车很方便', '短评打分': 5}
{'短评内容': '酒店服务质量很不错，房间比较干净，整洁，住着很舒服，酒店周边出行方便，下次还会考虑入住的', '短评打分': 5}
