{'短评内容': '性价比还行', '短评打分': 3}
{'短评内容': '服务不错，位置显目，方便查找', '短评打分': 3}
{'短评内容': '出行购物方便', '短评打分': 4}
{'短评内容': '环境不怎么好，空调不能制热', '短评打分': 3}
{'短评内容': '宾馆在三楼，卫生还可以，周围交通便利，就是宾馆下面是游戏厅有点吵，房间隔音不好，我因为是去那边考试，去住的话会影响睡眠，如果是出门旅游什么的就还好，属于实惠型的', '短评打分': 3}
{'短评内容': '交通方便，周边吃饭购物一应俱全！', '短评打分': 3}
{'短评内容': '不好！', '短评打分': 2}
{'短评内容': '没有电梯。环境不好，不能刷卡，室内一般。', '短评打分': 2}
{'短评内容': '很差很差很差很差很差很差很差很差', '短评打分': 2}
{'短评内容': '此酒店设施比较旧，服务还可以；噪音比较大，不够安静。', '短评打分': 1}
{'短评内容': '酒店环境恶劣，床上用品居然有味道的，不清理就给客人用，厕所又没配纸巾，隔音很差，隔几间房那么远都能听到，这个价位不值。', '短评打分': 3}
{'短评内容': '在地铁站附近，交通很方便，酒店环境一般，值得一赞的是在广交会期间也能把最优惠的房价给客户', '短评打分': 5}
{'短评内容': '酒店的交通方面算是比较方便,没多远就有地铁,但是房间很旧,隔音非常差...', '短评打分': 1}
{'短评内容': '1.环境很差，二楼是网吧和游戏厅，三楼才是住的地方；2.天花板感觉发霉快掉下来了，厕所的门卡得吱吱呀呀的，估计也快掉了；3.不是24小时热水，是看心情来的热水，想洗澡时冷得要命，准备走了就哗哗哗出热水；4.被子消毒水味很浓很浓；5.隔音效果很差，午休时候外边有人咳嗽，就像在耳边咳的一样，立马吓醒；6.说好的无线网呢？这家是没有网络的，不过二楼是网吧，这个不算吧？！7.那洗发水和沐浴露的瓶子我还没用', '短评打分': 1}
{'短评内容': ' 交通很方便，3号线从机场直接就过去了。', '短评打分': 3}
