{'短评内容': '设施齐全，服务好', '短评打分': 5}
{'短评内容': '服务和环境非常好', '短评打分': 5}
{'短评内容': '出行返程途中到此休息，有室内温泉，水温适宜，正好解解乏。房间很大，有40平方米，卫生情况尚可。下雨天周边没啥好玩的，码头上有船菜馆，螃蟹、小龙虾、湖虾等都不错。', '短评打分': 5}
{'短评内容': '入住酒店总的来说还行，服务员态度很好就是设施较旧卫生间的金属都生锈了，睡觉很香蛮舒服，空气很新鲜建议卫生间再改进一下', '短评打分': 4}
{'短评内容': '酒店很不错，停车方便，工作人员也很热情，进房间表示惊呆了，超级大……度假村来说，这种环境卫生真的非常不错了，就是温泉只能说一般般，密闭式的，孩子进去玩一会就觉得很闷。人工温泉可能就这样吧。总的来说还是不错的，适合休闲放松', '短评打分': 5}
{'短评内容': '酒店位置比较偏僻，设施较差，没有吹风机，主打温泉，但温泉与酒店是分开的，要额外收费。温泉会员的价格和非会员差距较大，作为外地人，不可能经常去的。', '短评打分': 2}
{'短评内容': '除了早餐，其他差评！', '短评打分': 2}
{'短评内容': '如果非旺季，入住率不高的话，房间的打扫频次就会少，很容易产生霉菌或者霉味！可能这一点是摆在众多度假酒店面前的一个通病……有待加强～ 价格上来说是完全可以接受的～', '短评打分': 4}
{'短评内容': '酒店房间很大，空气也好，住着非常舒服！', '短评打分': 5}
{'短评内容': '房间干净，而且很大，网络也快，性价比很高！', '短评打分': 5}
{'短评内容': '房间干净，而且很大，网络也快，性价比很高！', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 3}
{'短评内容': '卫生 环境 服务都不错\n就是大床房只有一份早餐不太合理', '短评打分': 5}
{'短评内容': '大床房只一份早餐不合理，其他还不错，环境还可以', '短评打分': 5}
{'短评内容': '都该可以，就好大床房只含有一份早餐不合理', '短评打分': 5}
{'短评内容': '总的来说比想象当中要差远了去了，住宿条件实在不好，但是温泉还是可以的，花样很多，餐饮一班，最神奇的就是那个镇。恐怕是见过的乡镇中最差的了。', '短评打分': 5}
{'短评内容': '一般般，温泉，酒店都一般，有待发展。。。。', '短评打分': 1}
