{'短评内容': '交通便利，卫生干净，服务周到！', '短评打分': 4}
{'短评内容': '一般吧，乡镇这样已经不错了', '短评打分': 4}
{'短评内容': '非常不错的酒店', '短评打分': 5}
{'短评内容': '隔音不行，马路吵，走廊半夜吵，早上隔壁楼上洗澡水声音有多响，作为一年里面三分之一时间住外面的旅人，不推荐，休息不好', '短评打分': 4}
{'短评内容': '免费升级了房间，还不错', '短评打分': 5}
{'短评内容': '值得入住，不错的地方', '短评打分': 4}
{'短评内容': '在苍南算是不错了', '短评打分': 4}
{'短评内容': '朋友带去，很不错的酒店！', '短评打分': 4}
{'短评内容': '酒店设施齐全，服务优良，适合商务人士设身打造的最好的选择！', '短评打分': 5}
{'短评内容': '非常不错的酒店，就前面地下商场在施工，早晨有点吵，其他都还好，服务蛮热情，硬件设施也还行，值得推荐。', '短评打分': 5}
{'短评内容': '龙港较好的酒店，就是老酒店，给客户订的酒店', '短评打分': 5}
{'短评内容': '酒店很不错，性价比很高。早餐环境也不错，也很丰富。下次还会来住的。', '短评打分': 5}
{'短评内容': '酒店算是干净,房间环境及设施也都不错,地点位置也算便利,距离龙港车站周边的热闹区域步行约5-10分钟,晚上逛逛龙港特色街道不错,唯一的问题是酒店只能刷大陆银行信用卡,不能刷大陆以外国家的信用卡!', '短评打分': 5}
{'短评内容': '酒店位置很好，便于寻找。客房服务不错，热情。餐厅内容丰富，服务很好。客房新装修后感觉很好。建议需要安静的人订朝内的客房，免得临街嘈杂。', '短评打分': 5}
{'短评内容': '不错，工作人员的服务态度很好.\n酒店的个方面都不错.在龙港也算式很不错的酒店.\n\n下次来继续住这家，呵呵.', '短评打分': 5}
{'短评内容': '酒店位置很好，便于寻找。客房服务不错，热情。餐厅内容丰富，服务很好。客房新装修后感觉很好。建议需要安静的人订朝内的客房，免得临街嘈杂。', '短评打分': 5}
{'短评内容': '是龙港那最好的一家酒店了，生意也很火爆，很难定的', '短评打分': 5}
{'短评内容': '应该是龙岗镇上比较好的酒店。喜欢，下次还要住。', '短评打分': 5}
{'短评内容': '早餐太差，房间硬件设施还好，服务态度一般', '短评打分': 5}
{'短评内容': '是苍南名气比较大的酒店，经全新装修，最意外的是房间内的液晶电视，足够大。', '短评打分': 5}
{'短评内容': '十环境与卫生很好', '短评打分': 3}
{'短评内容': '挺不错，服务挺周到，交通挺便利的。', '短评打分': 5}
{'短评内容': '环境还好，服务挺周到，配套设施挺齐全，卫生打扫不错，整体感觉挺舒适。', '短评打分': 5}
{'短评内容': '房间大小还好，卫生打扫的不错，住的还算舒适，早餐自助的，口味还好。', '短评打分': 5}
{'短评内容': '价格上还算合理，环境挺优雅，挺安静 服务卫生很好，基本设施都有，住的挺舒适的。', '短评打分': 5}
{'短评内容': '室内采光和通风还好，设施有些陈旧了，卫生不错，整体感觉还算舒适。', '短评打分': 3}
{'短评内容': '服务人员办事效率挺快的，房间布置的挺温馨，舒适度挺高，位置也挺好，这样的酒店值得推荐。', '短评打分': 5}
{'短评内容': '这里的硬件设施挺好，网速挺快挺好用的，卫生做得也不错，总体感觉挺干净挺舒适。', '短评打分': 5}
{'短评内容': '酒店挺干净卫生的，地理位置挺好的，出行挺方便。', '短评打分': 3}
{'短评内容': '服务上挺周到，能把早餐送房间里，这点挺好，位置挺好，周边交通购物挺方便的。', '短评打分': 3}
{'短评内容': '酒店位置挺好，周边交通挺便利，房间挺干净，隔音效果也挺好，晚上休息的很好。', '短评打分': 5}
