{'短评内容': '一般，太旧', '短评打分': 4}
{'短评内容': '出差必备挺好1111', '短评打分': 3}
{'短评内容': '有停车德，不错', '短评打分': 5}
{'短评内容': '房间干净、整洁。', '短评打分': 5}
{'短评内容': '房间比较旧，性价比不高', '短评打分': 4}
{'短评内容': '垃圾', '短评打分': 1}
{'短评内容': '垃圾', '短评打分': 1}
{'短评内容': '越来越差，比我之前的差多了', '短评打分': 1}
{'短评内容': '性价比高，坐车方便。                                                   ', '短评打分': 3}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '可以选择', '短评打分': 3}
{'短评内容': '可以推荐', '短评打分': 3}
{'短评内容': '可以推荐', '短评打分': 3}
{'短评内容': '可以', '短评打分': 3}
{'短评内容': '可以推荐', '短评打分': 3}
{'短评内容': '感觉非常好', '短评打分': 5}
{'短评内容': '感觉非常好', '短评打分': 5}
{'短评内容': '感觉舒适的', '短评打分': 5}
{'短评内容': '酒店的环境还算不错的，不过差就差在晚上歌厅的音乐太大声了，搞到人无法入睡！希望可以有所改进咯！', '短评打分': 5}
{'短评内容': '房间干净，还不错，就冷天空调没热风，有点冷了。其他都很好', '短评打分': 5}
