{'短评内容': '停车方便，交通便利', '短评打分': 5}
{'短评内容': '很老旧的酒店，不推荐！', '短评打分': 3}
{'短评内容': '酒店在镇江站旁边，打车只要起步价就到了，早餐还没吃，应该不错，酒店房间舒适，档次也可以，设施都挺好。', '短评打分': 5}
{'短评内容': '比较一般，设备设施很老，价格也不便宜', '短评打分': 3}
{'短评内容': '外观不错，但房间装修太过老气，设施也比较老。图片和实物有点区别。', '短评打分': 4}
{'短评内容': '酒店设施陈旧，卫生间小的转不过身。好在早餐品种丰富，是唯一亮点！', '短评打分': 3}
{'短评内容': '挺好的，闹中取静，卫生干净，服务也不错的，靠火车站近。', '短评打分': 5}
{'短评内容': '非常好，环境好，交通方便，火车站旁边，服务不错，房间干净整洁，卫生，隔音效果好，希望下次再来入住，谢谢', '短评打分': 5}
{'短评内容': '酒店房间小的可怜', '短评打分': 4}
{'短评内容': '位置不错，火车站出来步行就能到，早上打车方便。入住时发现电吹风有问题，一说马上就给换了。早餐还是可以的。', '短评打分': 5}
{'短评内容': '就换了个名字，宾馆设施太老', '短评打分': 3}
{'短评内容': '设施老旧了……', '短评打分': 3}
{'短评内容': '在市中心，房间不是很大', '短评打分': 5}
{'短评内容': 'Yibanban', '短评打分': 4}
{'短评内容': '酒店位置还行，离火车站不远，不过设施陈旧，厕所卫生一般，墙都脱皮了，床比较硬，周边吃饭不多，需要往市区走一走', '短评打分': 4}
{'短评内容': '整体不错！是原来的金龙酒店，现在的大股东据说是镇江电力局。\n位置也较好，靠近万达广场（有华润苏果和沃尔玛supermarket），也靠近火车站和汽车站。\n房间干净、整洁、细致（比如房间免费提供各种枕头、免费视频点播VOD、免费糖果、免费擦鞋等服务），服务较好，早餐也不错（尤其是一些小点心比较精致，也很开口），房间情况可以看我发的几张图片。', '短评打分': 5}
