{'短评内容': '挺好的，环境很好，服务态度也很棒，下次还回来！', '短评打分': 5}
{'短评内容': '没有吃店里的早餐，外面很多，很方便，我喜欢这里的停车场，停好车后，或打车或坐公交，外面停车是在太难了', '短评打分': 5}
{'短评内容': '还是那么方便，有停车场，和吃饭的地方也挺多，离万达很近，我是带小孩看病的，离医院很近，总体感觉很好的', '短评打分': 5}
{'短评内容': '位置很好，离万达和柳巷很近，还有停车场，非常方便，早餐也不错，带着孩子来的，孩子很喜欢，附近有吃的，房间也很干净卫生', '短评打分': 5}
{'短评内容': '房间硬件可以提高了', '短评打分': 3}
{'短评内容': '设备陈旧', '短评打分': 4}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '还不错，就是比较旧', '短评打分': 5}
{'短评内容': '各方面都很好，住吧！', '短评打分': 5}
{'短评内容': '酒店重新?修，卫生不错，环境很好，打车很方便，用餐附近有多家太原小吃，前台服务态度也很好。', '短评打分': 5}
{'短评内容': '酒店重新䘡修，卫生不错，环境很好，打车很方便，用餐附近有多家太原小吃，前台服务态度也很好。', '短评打分': 5}
{'短评内容': '房间干净舒适   服务态度很好   地理位置也很好  出门就可以逛万达  很满意', '短评打分': 5}
{'短评内容': '很好，环境不错，住了几次了，服务周到', '短评打分': 5}
{'短评内容': '酒店干净整洁，服务态度好，周边吃的也多，交通方便，又停车位', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很好～', '短评打分': 5}
{'短评内容': '这儿口碑还是不错的，服务挺好，附近营业网点都有，方便办事!', '短评打分': 5}
{'短评内容': '酒店的位置很不错，在太原的闹市区，酒店的卫生干干净净的，服务人员很热情，虽然酒店有点旧，但是这样的性价比还是很不错的@！开车过来的话，酒店还能提供免费停车，确实不错的！', '短评打分': 5}
{'短评内容': '酒店价格适中，干净，房间枕头有点低，不过跟服务员态度很好马上给加了一个，建议房间一床放两个枕头', '短评打分': 5}
{'短评内容': '房间整体挺干净,就是有的房间有点吵，跟工作人员说了，服务很到位，马上换了一间安静的。周围购物方便 交通便利。推荐！', '短评打分': 5}
{'短评内容': '服务不错，价格经济，考虑以后还会住的 还办了张会员卡 会员更优惠还送代金券 ！', '短评打分': 5}
{'短评内容': '朋友给订的房 选择不错 经济 干净 住着挺舒适！', '短评打分': 5}
{'短评内容': '位置不错！性价比还好！', '短评打分': 3}
{'短评内容': '1.周边环境很好，交通便利\n2 酒店设施设备服务舒适度价位都是可以接受的\n3 价格有波动 周末住更优惠', '短评打分': 5}
{'短评内容': '交通便利，硬件设施OK，服务态度不错。附近饭店也比较多，下次出差还会住这。', '短评打分': 5}
{'短评内容': '交通便利。酒店房间里的的装潢有一种简洁明快的风格。房间里的物品一应俱全，摆放整齐。毛巾叠的有棱有角。床品也很干净，洁白素雅。躺在蓬松柔软的被子里，睡的很舒适，阳面房间里很安静，睡眠质量很好。 \n\n', '短评打分': 5}
{'短评内容': '交通便利，早餐不错，服务挺好!整体还算满意。', '短评打分': 5}
{'短评内容': '房间整洁干净,24小时热水，人性化的服务，下次还来住！', '短评打分': 5}
{'短评内容': '金广快捷酒店的服务真的很不错，房间也很干净，住着很舒适，周围超市很近，购物方便，还有免费的停车场，旅途不错的选择，推荐给大家。', '短评打分': 5}
{'短评内容': '地理位置优越，购物方便。紧邻烧烤一条街，夏天不错的选择。，', '短评打分': 5}
{'短评内容': '第一次入住，后院有个小停车场。很安全，不错！', '短评打分': 5}
{'短评内容': '服务员很热情、房间整洁卫生，下次还会过来住.', '短评打分': 5}
{'短评内容': '整体还不错，现在的酒店都大同小异，这儿服务热情，下次还会来住的。', '短评打分': 5}
{'短评内容': '酒店虽然旧了点，不过还是很干净！免费停车场，自助早餐，给力一下!', '短评打分': 5}
{'短评内容': '服务 卫生都不错，早餐还有煎鸡蛋，呵呵 挺好！', '短评打分': 5}
{'短评内容': '酒店很干净，服务很人性化，早餐种类挺多的，赞一个！', '短评打分': 5}
{'短评内容': '服务一直不错，出行方便，酒店大厅还有无线网，等人的时候还可以上网，很不错。', '短评打分': 5}
{'短评内容': '本次出差时间紧张，入住这家酒店感觉很不错！                                ', '短评打分': 5}
{'短评内容': '我们单位的同事都选择这里，服务不错，房间干净，看了别的酒店曝光的报道，感觉我们的选择是正确的!haha', '短评打分': 5}
{'短评内容': '服务不错，房间挺干净，附近有公交站牌，出行方便，整体好吧', '短评打分': 5}
{'短评内容': '前台有个戴眼镜的服务员态度很好。。。。。。值得推荐！', '短评打分': 5}
{'短评内容': '蛮干净的，被罩床单很新，服务员很友好。 。。。。。。。。               ', '短评打分': 5}
{'短评内容': '第一次入住，服务很温馨，房间比同等快捷酒店要大！不错！', '短评打分': 5}
{'短评内容': '出行方便 房间干净 服务贴心，房间没有吹风机 但前台都是亲自送到房间', '短评打分': 5}
{'短评内容': '这次出差住这儿，整体不错，给于支持！。。。。。。。', '短评打分': 5}
{'短评内容': '酒店很干净，离我办事的地方很近，附近还有个公园，空气好，服务也很好，非常推荐！', '短评打分': 5}
{'短评内容': '同样是金广快捷，羊市街店就要比这一家强N多~~~', '短评打分': 1}
{'短评内容': '房间里很暖和，服务也好，最主要的是有独立的停车场。', '短评打分': 5}
{'短评内容': '入住金广这家酒店最多的感受就是服务热情，房间也很干净，有家的感觉，早餐也很不错，向大家推荐，以后来太原还会选择国贸店。', '短评打分': 5}
{'短评内容': '酒店位置挺好，服务热情。附近有购物超市，餐馆也挺多，很好！', '短评打分': 5}
{'短评内容': '第一次住这家酒店，整体感觉不错，性价比很高！', '短评打分': 5}
{'短评内容': '性价比还行，跟北京的快捷酒店价格差不多…在太原中转时住了一宿…', '短评打分': 3}
{'短评内容': '在山西大部分快捷酒店都住过，金广是我的首选！', '短评打分': 5}
{'短评内容': '酒店周围购物方便，房间干净卫生，设施齐全，前台服务热情、周到，下次出差来太原我还选择入住金广这家酒店。', '短评打分': 5}
{'短评内容': '服务人员态度热情，打开房门里面很整洁，干净，舒适，有回家的感觉。', '短评打分': 5}
{'短评内容': '地理位置很好，邻近商业区。房间干净整洁，服务也不错', '短评打分': 5}
{'短评内容': '酒店卫生干净，服务人员热情。给个好评吧！', '短评打分': 5}
{'短评内容': '酒店服务热情，有宽带，附近饭店也挺多，总体挺好，可以选择', '短评打分': 5}
{'短评内容': '交通便利，门口就有购物大超市，服务也很好，整体满意', '短评打分': 5}
{'短评内容': '地理位置很好，也很干净，服务员一直是微笑服务，感觉温馨。蛮OK!', '短评打分': 5}
{'短评内容': '见网评挺好，住了一晚真的挺好，房间干净，服务热情，交通便利，感觉不错!', '短评打分': 5}
{'短评内容': '这家酒店总体很不错，地理位置好，出门购物方便。', '短评打分': 5}
{'短评内容': '这里的服务太好啦，还有那个床太舒服了，非常喜欢这里，而且逛街很方便，走路就过去了，晚上还和朋友去了附近的小吃街大吃了一顿，总体就是觉得住着太舒服了，非常方便！', '短评打分': 5}
