{'短评内容': '位置优越 很赞', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店位置很好   对面就是天街  吃住方便，购物方便停车也方便', '短评打分': 3}
{'短评内容': '酒店位置环境很好，毛主席住过，底蕴深厚，只不过属于老宾馆，设施有1点老旧，还好。', '短评打分': 4}
{'短评内容': '酒店设施太老旧了。', '短评打分': 4}
{'短评内容': '房间设施特别破旧，还有蝴蝶、蟑螂、飞蛾等，卫生间特别脏，被子潮湿，服务态度也不太好，地理位置比较好。', '短评打分': 1}
{'短评内容': '价格便宜！处于博物馆边上，正对天街，吃饭方便，艺术品市场，再左边山上100米是红军烈士陵园，离赣南特委l日址50米，萃湖边上是毛泽东故居', '短评打分': 5}
{'短评内容': '这家酒店在当地也算是出名的，地理位置非常好，停车很方便！只是服务员早上8点多来敲门问你需不需要打扫房间，很多人都还没起床啊，连续敲几次门问你，直到你回答为止，这点很烦！！！', '短评打分': 5}
{'短评内容': '整体还行，就是国庆期间价格太贵哒', '短评打分': 5}
{'短评内容': '房间所有的设施都很陈旧，插座面板都是松动的，被子潮湿的，卫生间马桶、浴缸很脏并且旧的，房间内有蝴蝶、蟑螂等小虫，除了地理位置好，在天街对面，并且听说是毛主席住过的，其他方面都不行。', '短评打分': 2}
{'短评内容': '服务极度差，酒店卫生条件也很差。', '短评打分': 2}
{'短评内容': '领导人住过的酒店，有一定历史', '短评打分': 5}
{'短评内容': '帮爸妈订的，冲着名气去的，反馈回来房间略潮', '短评打分': 3}
{'短评内容': '环境很好，离景点很近，下次来井冈山继续入住', '短评打分': 5}
{'短评内容': '名气大，有历史，房间老。', '短评打分': 4}
