{'短评内容': '环境很好，空气很好，温泉很好！', '短评打分': 5}
{'短评内容': '太好了太好了好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好很好好好好好', '短评打分': 5}
{'短评内容': '前台服务热情、周到，不错的度假之旅。', '短评打分': 5}
{'短评内容': '环境不错，旁边就是园博园，值得一看。', '短评打分': 5}
{'短评内容': '房间很大，服务态度好，吃的东西便宜实惠。', '短评打分': 5}
{'短评内容': '酒店环境不错，特别是室内温泉，感觉很爽', '短评打分': 5}
{'短评内容': '一般般吧', '短评打分': 5}
{'短评内容': '朋友反馈很好啊！', '短评打分': 5}
{'短评内容': '环境优雅，绿树成荫。', '短评打分': 5}
{'短评内容': '天然海水温泉，棒棒哒！如果要外出，打滴滴就行。度假村里有餐厅，价格实惠。如想外出吃饭，有些不方便，要走很远的路。', '短评打分': 5}
{'短评内容': '每次去厦门都住这里，外出叫滴滴很方便。', '短评打分': 5}
{'短评内容': '总体来说还是很满意', '短评打分': 5}
{'短评内容': '没有饭吃有点不爽 其他还行', '短评打分': 4}
{'短评内容': '很喜欢，老婆孩子都特别喜欢，下次还要去', '短评打分': 5}
{'短评内容': '位置有点偏、在一个岛上.自驾会不错，室内有个池子、湖边风景不错！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺喜欢这个温泉酒店，价格实惠。下次还会带家人一起过来，这里的晚餐也挺实惠好吃！赞一个！', '短评打分': 5}
{'短评内容': '温泉确实不错，服务很好，值得一试。不足的就是三人住的房间只有一张大床，另加一张单人床就好了！', '短评打分': 5}
{'短评内容': '没有想象中那么好，同等价位中只能算是一般，建议开车过来，泡温泉来的确实不错！这边文字多，记得带驱蚊之类的东西。', '短评打分': 5}
{'短评内容': '地方很舒服、早餐太早結束', '短评打分': 3}
{'短评内容': ' 环境不错，房间干净，早餐吃的少了些，可惜没得进去园区里面', '短评打分': 3}
{'短评内容': '环境一般，档次没有翠丰高  还是翠丰感觉比较舒服', '短评打分': 1}
