{'短评内容': '帮朋友父母预订的', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间设施比较旧，其他还可以！', '短评打分': 4}
{'短评内容': '设施齐全，出行门口有公交，离万达是挺近', '短评打分': 5}
{'短评内容': '旅游蛮不错，出行方便！', '短评打分': 5}
{'短评内容': '不怎么样，环境比较差', '短评打分': 3}
{'短评内容': '位置比较方便，就在万达广场附近，附近用餐、逛街什么的也很方便。房间卫生干净，整洁，无气味，服务也还好，值得推荐。', '短评打分': 4}
{'短评内容': '交通便利，环境也还可以，适合商务住宿。', '短评打分': 5}
{'短评内容': '还可以吧 就是房间比较旧 不过很安静', '短评打分': 4}
{'短评内容': '安静，舒适', '短评打分': 5}
{'短评内容': '交通便利，环境不错，设施齐全。', '短评打分': 3}
{'短评内容': '房间太旧，早餐品种太少，价格与服务不匹配', '短评打分': 3}
{'短评内容': '酒店的位置有点隐蔽，环境不错，服务员态度挺好，大床房挺舒服。', '短评打分': 3}
{'短评内容': '这是我住过最烂的7天，没有之一！本人7天粉，基本家人出行都会选7天，图的干净，服务好，没想到这家破7天，不光设施陈旧，洗漱盆等脏，服务也太恶心！A，一办理入住，前台大婶递过来一个二维码，大咧咧的一个“扫”，就跟派出所等国家机关说“身份证”一样霸气理所当然，一细看，是加盟新会员的（家人非会员），大婶，为了拉新入会你也客气点热情点啊，把人当土包子弄冲了你的任务还懒得跟你解释，照办就是吗？！B，“你这房', '短评打分': 1}
