{'短评内容': '服务卫生都不错', '短评打分': 5}
{'短评内容': '跟朋友来的 两个人炒鸡炒鸡满意！！干净整洁！！酒店非常好找！设施齐全非常满意！！超乎预料的环境 看图哈哈', '短评打分': 5}
{'短评内容': '非常满意，我们是三个人一起去玩，店家很热情，我们比较烦，各种事妈，但是店家都好好的帮我们解决了，我们还借用了他们的厨房煮面，他们都热情的帮助，让我们三个初次旅行的人感受到了家的温暖。真的非常棒，对了，还可以打印照片！', '短评打分': 5}
{'短评内容': '环境很好，服务也很好', '短评打分': 5}
{'短评内容': '服務很好，店家很熱情，超讚', '短评打分': 5}
{'短评内容': '很好，很舒服很有特色，老板的态度特别和蔼可亲哈', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境好，干净，安静', '短评打分': 5}
{'短评内容': '酒店不错，周围的饭店有两家非常不错', '短评打分': 5}
{'短评内容': '后海附近的酒店，就是在的那条路上有点破旧…酒店内部还算不错的', '短评打分': 5}
{'短评内容': '非常好的酒店，特别干净。而且很贴心。自带的手机充电器突然坏了，前台竟然有免费借用的服务！感动… 下次来，还住这里。强烈推荐！！', '短评打分': 5}
{'短评内容': '环境很棒', '短评打分': 5}
{'短评内容': '总体还可以，房间蛮温馨漂亮的，两个问题——卫生间的气味太重，隔音也不是很好，但是位置靠鼓楼后海烟袋斜街很近，蛮方便的', '短评打分': 4}
{'短评内容': '很好 很有特色 周围也很热闹 干净', '短评打分': 5}
{'短评内容': '类似青年旅舍，设施一般般，态度都很好', '短评打分': 3}
{'短评内容': '家庭套房的布局很满意，当初就是冲这个户型选的他们家。到店后，工作人员的服务态度都很好。唯一不足是洗个澡，会满地都是水，沐浴房形同虚设，问回答是沐浴房内的地漏太高，水流不出去，故意让里面的水流出来。我想说地漏的作用是什么。外面的地漏拿个充满水的袋子盖着，说是防止反味，水漫金山时需要手动移开，那时满房间会充满浓浓的下水道味。离店时让我填满意度问卷，我写到了地漏的问题，装个防反味地漏也没几个钱啊，前台说', '短评打分': 4}
{'短评内容': '干净，有特点。不错，非常推荐', '短评打分': 5}
{'短评内容': '干净，卫生。有品味。服务也很热情。推荐了。赞赞赞', '短评打分': 5}
{'短评内容': '前台服务人员很是热情，我入住正赶上北京多年不遇的大雨，他们提醒我注意天气变化，每天出行热情帮我查找最近的路线。环境比较安静，离后海就很近，可以每晚去遛弯，后海酒吧很风景都很美，交通也算便利。值得推荐', '短评打分': 5}
{'短评内容': ' 位置很好', '短评打分': 3}
{'短评内容': '酒店服务态度很好，周围的环境也很好，屋内的陈设也很好，总之就是很好。如果说有不足的话，浴室的花洒水不足，但愿有所改进。', '短评打分': 5}
