{'短评内容': '早餐可以，环境优雅，主要还有美美阳光', '短评打分': 5}
{'短评内容': '要求不要太高，一切就很好，知足常乐！物超所值！', '短评打分': 5}
{'短评内容': '干净卫生，价格实惠，一般旅行出差的理想选择。', '短评打分': 5}
{'短评内容': '房间干净卫生，清新雅致，一般商务出差的理想选择。', '短评打分': 5}
{'短评内容': '酒店位置好', '短评打分': 4}
{'短评内容': '还可以，性价比挺不错', '短评打分': 5}
{'短评内容': '卫生一般，淋浴水有点小，墙壁上有脚印，100以下可以住。', '短评打分': 4}
{'短评内容': '这个房间正对马路，晚上有车过，有点吵，不适合轻睡眠的人', '短评打分': 3}
{'短评内容': '还可以，比较安静', '短评打分': 3}
{'短评内容': '我们是来绵中考试的，离学校很近，也很好找，很方便这个价位还可以，晚上要求加一床被子也很快送上来了，满意，还会再来！', '短评打分': 5}
{'短评内容': '环境清静，这个价位还可以。', '短评打分': 5}
{'短评内容': '环境还比较清静', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以，值得信赖', '短评打分': 5}
{'短评内容': '酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  酒店不错 很满意  下次还会住这里  ', '短评打分': 5}
{'短评内容': '6月17日住进绵阳华瑞宾馆。经济实惠，卫生干净，交通便利。就是临近马路方较吵闹，热水忽冷忽热不稳定，需改进。', '短评打分': 5}
{'短评内容': '很经济实惠，卫生也还不错。下次有机会还会再光顾这家宾馆，离市区也比较近。值得推荐！', '短评打分': 5}
{'短评内容': '地理位置还是不错的，离火车站和沃尔玛等大型商场还是很近的。\n房间还能将就，就是房间里有小强～住的那晚，服务员说停气，就没的热水的～郁闷', '短评打分': 5}
{'短评内容': '不错，第三次住了，房间整洁干净，位置也好，免费停车也方便。唯一不足是靠里面没有标准间。', '短评打分': 5}
{'短评内容': '环境还行,就是设施有点老,希望能改善一下,卫生还可以', '短评打分': 5}
{'短评内容': '设施确实不咋样，。不过能停车，离城区近也就将就了', '短评打分': 1}
{'短评内容': '还行，交通方便。就是吃东西不太方便。卫生条件一般', '短评打分': 5}
{'短评内容': '已经入住，房间还可以。', '短评打分': 3}
{'短评内容': '环境一般，卫生一般，最恶心的是有的房间有“小强”', '短评打分': 1}
{'短评内容': '还不错吧，就是浴室喷头是坏的，洗澡非常不方便', '短评打分': 5}
{'短评内容': '感觉还不错呢!', '短评打分': 3}
{'短评内容': '\u3000很安靜，很乾凈。一百這個價格很合理。', '短评打分': 3}
{'短评内容': '可以很舒适', '短评打分': 3}
{'短评内容': '还不错，就是今天走得比较急，是打电话订的，说电话订就不能够用消费券，在网上订才可以用消费券，能不能够都用消费券啊！！！！！！', '短评打分': 5}
{'短评内容': '出差之用 希望有机会下次继续光顾/ 呵呵', '短评打分': 5}
{'短评内容': '宾馆环境不错，很温馨，但是在离店的时候发生了一个不良插曲，结账时说我拆开了震动型TaoTao，差点被强制消费了，可能是服务人员在其他客人退房时没有注意到TT被拆开，为了弥补损失故意找到我，这是服务人员的素质问题，希望下次去不会再发生此类事情。', '短评打分': 5}
{'短评内容': '离火车站不远，外面不怎么起眼，内部还可以，对得起这个价格，追求性价比的朋友可以选择。可惜的是宾馆不能刷卡消费', '短评打分': 5}
{'短评内容': '信价比还是可以的，就是门锁有点不好用，退房时间很长', '短评打分': 5}
{'短评内容': '还不错，比较干净，就是靠路边的标准间汽车的噪音稍微大了一点。', '短评打分': 5}
{'短评内容': '酒店外观一般，但内部设置还不错，也很干净，以后还会再来。', '短评打分': 5}
{'短评内容': '酒店总体还不错，只是感觉房间有些小，不过100元还是挺值得的。', '短评打分': 3}
{'短评内容': '马马虎虎，停车免费，房间味道较大，还是早早回家的好', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '还行吧，卫生条件马马虎虎，服务还行吧\n关键是有妈咪晚上打电话来，220一次按摩带打炮，但小姐都不吹箫的，不很爽', '短评打分': 5}
{'短评内容': '酒店比较好找，房间不错挺大的，对面就有小吃街，比较方便。前台服务也还不错。房间比较干净，比较喜欢。交通很便利，离车站也很近，出去也很方便', '短评打分': 5}
{'短评内容': '出差人士还是可以选的，价位一般，宾馆外表一般，其实房间内部还是可以的。', '短评打分': 5}
{'短评内容': '内部设施很陈旧，服务态度还不好，晚上睡觉后还总有骚扰电话。', '短评打分': 1}
{'短评内容': '环境不错，服务也还可以，比较安静，前台接待很热情，房间比较干净。', '短评打分': 5}
{'短评内容': '宾馆性价比高，离火车站、长途汽车站比较近，设施虽然旧了点，但比较干净。', '短评打分': 5}
{'短评内容': '很好,100元的标间,性价比超高,虽然有点旧了,可是很干净,连卫生间的磁砖角落都干干净净,没有污垢的,到机场打的20元,也方便.', '短评打分': 5}
{'短评内容': '酒店位置不错，设施有点旧，旁边不远就是7天，感觉会比这家好。', '短评打分': 1}
{'短评内容': '宾馆很不错，服务很好啊  住着安心 有电话服务的哦 ', '短评打分': 5}
{'短评内容': '预定的房间不错，不是靠马路那边的，对这点非常满意。哈哈！宾馆的性价比也挺高的，推荐一个。为了给其他用户提供更有价值的意见，请您发表20个字以上的点评', '短评打分': 5}
{'短评内容': '环境好，服务态度好，就是有点儿贵，希望能便宜点儿。', '短评打分': 5}
{'短评内容': '，房间不错，', '短评打分': 3}
