{'descr': '非常好非常好', 'star': 5}
{'descr': '酒店车位少，但是晚上可以停到周边，地段是蛮好的。', 'star': 4}
{'descr': '还可以！！', 'star': 5}
{'descr': '环境可以！', 'star': 5}
{'descr': '地方可以', 'star': 5}
{'descr': '房间格局略小，设施到位，淋浴水温有点高，要当心！前台态度一流！', 'star': 4}
{'descr': '位置很好，有停车位', 'star': 5}
{'descr': '除了房间小，没啥毛病', 'star': 5}
{'descr': '住过不同的经济型酒店，如家还是不错的选择。', 'star': 5}
{'descr': '房间面积还好，基本满意', 'star': 4}
{'descr': '还行', 'star': 5}
{'descr': '非常好 就是靠近马路有点吵 其他一万分', 'star': 5}
{'descr': '交通方便，房间很干净，我们房间尽然还有一个麻将桌', 'star': 5}
{'descr': '还可以吧！', 'star': 5}
{'descr': '酒店总体情况还可以。环境，位置，服务都不错！', 'star': 4}
{'descr': '不错，出差好几次了，都住着', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': 'ok', 'star': 5}
{'descr': '房间很大，我比较满意，住的比较舒服。就是没有停车场。另外房间没有大灯~~其他还不错', 'star': 5}
{'descr': '第二次住了，不错。。。。。。。。。。。。。', 'star': 5}
{'descr': '挺不错的酒店。就是价格高了点', 'star': 3}
{'descr': '房间还行，环境也还可以，周边也有一些卖吃的东西的地方，感觉不错\n\n', 'star': 5}
{'descr': '酒店位置很好，交通方便。服务员态度很好，特别是客房部的。去楼顶晒衣服，告诉我要扎住，不然风大。后来还帮我收进来。感觉很温暖。下次还住这店。', 'star': 5}
{'descr': '是住过所有经济酒店里面房间最大的，闹市去很方便；服务态度也可以。', 'star': 5}
{'descr': '位置佳，宽敞明亮，整洁大方。早餐略显单调。', 'star': 5}
{'descr': '干净，空间大。设施也不错。夜里也挺安静。位置很好，办事很方便。', 'star': 5}
{'descr': '干净，舒适，房间也比较大，交通便利，下次来还住这里。', 'star': 5}
{'descr': '.', 'star': 3}
{'descr': '房间很干净，各方面都不错。', 'star': 3}
{'descr': '住的很开心。服务也很好', 'star': 3}
{'descr': '酒店靠近大马路，如果是靠马路边的房间，晚上有点吵。房间有点小，不过就是睡一晚上的，还可以吧。', 'star': 5}
{'descr': '很喜欢，服务业非常好！\n我和朋友住的都很开心！', 'star': 5}
{'descr': '很干净舒适，总的来说不错。。。', 'star': 3}
{'descr': '不错，价位也合适，挺干净的，。。。。。。。。。。。。。', 'star': 5}
