{'短评内容': '很不错的酒店住几次了', '短评打分': 5}
{'短评内容': '性价比高！', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 5}
{'短评内容': '我们订的房间在附楼，从大堂上去还要横跨一幢楼啊，不方便。酒店的位置不错，离自贡的美食街不远，房间配套还是好的。但是，不要去住附楼。', '短评打分': 5}
{'短评内容': '服务好，位置佳', '短评打分': 5}
{'短评内容': '设施很老，洗澡为浴缸，不方便，灯光设置有待进一步合理化。', '短评打分': 4}
{'短评内容': '酒店整体还可以，就是有些小细节再认真处理一下就更好了。', '短评打分': 5}
{'短评内容': '酒店过于陈旧，房间设施不太方便，前台服务超好。五星送前台', '短评打分': 5}
{'短评内容': '还不错还不错还不错还不错', '短评打分': 5}
{'短评内容': '还不错哦，虽然老酒店，但是感觉还是很好', '短评打分': 5}
{'短评内容': '很不错的酒店，比去年观灯入住的某快捷酒好多了，但价格还便宜，下次到自贡一定再次入住。', '短评打分': 5}
{'短评内容': '测试', '短评打分': 4}
{'短评内容': '价格实惠，服务还行，周边吃的太多价格便宜非常方便，下次来还住！', '短评打分': 5}
{'短评内容': '房间有些小，临街比较吵，前台服务很好。', '短评打分': 5}
{'短评内容': '好，很好', '短评打分': 5}
{'短评内容': '好，很好', '短评打分': 5}
{'短评内容': '好，很好', '短评打分': 5}
{'短评内容': '性价比不错。', '短评打分': 4}
{'短评内容': '习惯给好评的', '短评打分': 5}
{'短评内容': '卫生条件还好，卫生间的设施设备陈旧', '短评打分': 4}
{'短评内容': '干净', '短评打分': 5}
{'短评内容': '很不错的酒店，住了几次了，下次来还会选择…', '短评打分': 4}
{'短评内容': 'bucuo  环境挺好 早餐也挺丰盛的，可以选择', '短评打分': 5}
{'短评内容': '酒店很好，卫生不错，早餐也很好。\n值得入住。', '短评打分': 5}
{'短评内容': '环境不错了，服务还可以。', '短评打分': 3}
{'短评内容': '该酒店地处自贡市中心新老城区连接地带，交通方便，房间安静，但早餐太差，服务员看起来没精打采。', '短评打分': 1}
{'短评内容': '环境不错 价格还算可以，早餐菜品希望能再丰盛一点就好了  呵呵', '短评打分': 5}
{'短评内容': '很好，服务周到，早餐很丰盛，价格合理，房间很宽敞', '短评打分': 5}
{'短评内容': '房间不错，设施按四星级标准配备齐全、温馨，房间层高很高，舒服。停车需自费。', '短评打分': 5}
{'短评内容': '服务很好 卫生间设施有点旧了 总体还是不错', '短评打分': 5}
{'短评内容': '房间干净，早餐很好。距离市中心很方便。装修也很好。', '短评打分': 5}
{'短评内容': '环境优雅设施完善早餐品种丰富交通便利车位少', '短评打分': 3}
{'短评内容': '雄飞假日酒店总的还是不错的，商务单间还是比较大，各种配套设施很不错，洗漱间也不错，爱洗澡，水量不错，大而且热，但是我住的房间洗浴喷头有点小问题。地毯稍微陈旧了些还有感觉酒店的服务人员素质还不够高（除开前台），见面就从来没有问好的！这点希望改善！还有到商务单间需要走一个长长的走廊不太方便。周围交通还算便利，总的来说还是符合这个档次的！价格再低一点就更不错咯~~', '短评打分': 5}
{'短评内容': '促销价格性价比很高，希望酒店常常搞，这样入住的会更多哦。', '短评打分': 5}
{'短评内容': '老牌酒店，价格较高，有特价还是值得可以一住。', '短评打分': 5}
{'短评内容': '酒店还是不错的，只是特价房在8,9楼，稍微远了点。可以接受。早餐也挺不错的，下次如果去还会入住的。', '短评打分': 5}
{'短评内容': '酒店不错，家人说住的很舒服，家人走亲戚时住的，以前也住过，只是没有通过网上预订，现在通过网上预订，就更方便了，还更优惠。', '短评打分': 5}
{'短评内容': '老牌酒店了，个人住还是偏贵，适合公司消费住宿。', '短评打分': 5}
{'短评内容': '环境好～不错不错～', '短评打分': 3}
{'短评内容': ' 整体舒适，早餐还行', '短评打分': 3}
{'短评内容': '环境绝对不错，性价比很高，不错的！', '短评打分': 3}
{'短评内容': '在自贡这家酒店就是很不错的酒店，卫生条件、服务态度等都是很不错的。', '短评打分': 5}
{'短评内容': '房间小了点，但是蛮干净整洁的，这个价位的话性价比还比较高', '短评打分': 5}
{'短评内容': '所谓“特价单人间”，实际上是在“商务楼”而非主楼。但是要坐电梯到七楼后走200米（中间拐弯16次）再乘坐另外一部电梯上到8或9楼，很不方便。而其它一切均很好，特别是比较安静。是所谓的河景房。服务人员态度热情，普通话标准，性价比较高。下次仍考虑入住。', '短评打分': 5}
{'短评内容': '環境還不錯,早餐也還可以,只是遇到酒店開店九週年,對來店的住客卻沒有任何表示,真不知道這活動在辦什麼的;沒有住客,就沒有酒店了!', '短评打分': 3}
{'短评内容': '性价比还是很不错的，就是安排的商务楼七拐八绕的居然没有直达电梯。好复杂哟。200多很超值。早餐 我起床太晚没赶上 ', '短评打分': 5}
{'短评内容': '非常好，位置和服务都不错，个人觉得其酒店的服务完全超过了自贡这样的三线城市水平。', '短评打分': 5}
{'短评内容': '在自贡算是不错的酒店了，下次来还是选择入住这里', '短评打分': 5}
{'短评内容': ' 性价比不行，早餐不咋的，住店客人停车要收费。', '短评打分': 3}
{'短评内容': '自贡雄飞假日酒店四星居然没空调，连酒店大堂都没有。整个酒店就用一个字形容：差。强烈建议再也别住了', '短评打分': 3}
{'短评内容': '每次来自贡都住这里 房间非常不错 在成都估计要4-500左右。大厅和客房都非常舒适。', '短评打分': 5}
{'短评内容': '性价比很高，设施、服务都不错，下次还会入住', '短评打分': 5}
{'短评内容': '酒店设施各方面都不错，转电梯太麻烦！下次还是要双人间！', '短评打分': 3}
{'短评内容': '基础设施较好，性价比非常高，地理位置极好。', '短评打分': 5}
