{'短评内容': '环境不错哦', '短评打分': 5}
{'短评内容': '位置好。周边吃东西坐车购物都很方便', '短评打分': 5}
{'短评内容': '挺好的！', '短评打分': 5}
{'短评内容': '很好的宾馆', '短评打分': 5}
{'短评内容': '酒店不临大街，地下停车场要收费，后改造的房间，离鼓楼较近便于逛街。', '短评打分': 3}
{'短评内容': '有停车场，环境不错', '短评打分': 5}
{'短评内容': '虽然贵了点，到房间比较好，睡着舒服，放心，', '短评打分': 5}
{'短评内容': '速度回宿舍哈哈哈哈江苏好多好多好多好傻啊哈哈哈哈', '短评打分': 5}
{'短评内容': '是还是不是虚度时光是实话实说江苏患得患失上班', '短评打分': 5}
{'短评内容': '环境不错，阳光充足，卫生干净，值得信赖', '短评打分': 5}
{'短评内容': '不错的酒店。出差经常选择他家，房间干净，住着舒服，每次都住他家。服务人员也都不错。不错的酒店。出差经常选择他家，房间干净，住着舒服，每次都住他家。服务人员也都不错。', '短评打分': 5}
{'短评内容': '爸妈觉得太吵了。酒店位置好找，但是在街道第二排房子，得走一个小短巷子进去。酒店位置比较好，距离哪里出行都很方便。', '短评打分': 4}
{'短评内容': '酒店位置好找，对面就是美食街，不远就是城中心，打车什么的都很方便，晚上略吵。房间宽敞，热水很好，这点很满意，可惜房间有很大的一股烟味，这点不好。', '短评打分': 4}
{'短评内容': '基本上满意', '短评打分': 4}
{'短评内容': '这个酒店地理位置非常好，对面是王府井百货和步行街，热闹非凡，有地下停车场，房间较大，设施也比较齐全，我们晚上到的，入住后即穿过步行街，另一头的路上有很多餐馆，吃饭也很方便，关键是有家川湘菜馆，让我们吃了好几天羊肉的胃可以休息下了！第二天一大早我们准备赶去成吉思汗陵，所以没时间去逛，谁知道人不留天要留，我租的车居然没电趴窝了，等修车的来修好车一上午已经过去了，同行的几个美女倒是借机会逛了街，地下停车', '短评打分': 4}
{'短评内容': '酒店挺干净，就是房间有点小，老公住过很多酒店，觉得这间小了点，但是正好遇到携程打折，所以房费比较便宜！总体来说对于经济型酒店还不错！', '短评打分': 4}
{'短评内容': '连锁酒店，中规中矩。', '短评打分': 4}
{'短评内容': '酒店环境不错，位于酒泉最繁华的文化广场，交通便利，购物方便，去酒泉火车站或者嘉峪关机场都很方便，尤其是该酒店门口附近，有许多嘉峪关的出租车，拼车到嘉峪关很便宜，又节省时间。', '短评打分': 4}
{'短评内容': '酒店环境不错，房间干净卫生，酒店选择在酒泉最繁华的商业中心，交通便利，尤其是酒店对面有一家李记粉汤羊肉，是一个老字号，手抓羊肉做的很不错，粉汤味道鲜美。值得品尝', '短评打分': 4}
{'短评内容': '环境可以！经常来住！', '短评打分': 3}
