{'短评内容': '申请的返现怎么没有了', '短评打分': 3}
{'短评内容': '酒店10月2号定的，也住了。说是三个工作日退担保金，但是都10月9号了，担保金还没退还，太慢了。以后不订这里了，工作效率太差了。', '短评打分': 4}
{'短评内容': '由于前面预先定的酒店出现了点状况，当天临时定的这家，位置很好，吃饭什么的都很方便，房间设施有点旧，卫生间很小，而且洗澡水忽冷忽热。酒店前台服务态度很好。', '短评打分': 4}
{'短评内容': '国庆节过来玩，发现这里价位合适就住了，服务热情，就是没有停车场。经济实惠。就是酒店设施看起来较久。', '短评打分': 3}
{'短评内容': '老宾馆，地理位置不错', '短评打分': 3}
{'短评内容': '地段还可以，交通方便，但条件太一般。', '短评打分': 3}
{'短评内容': '房间还可以，位置也不错，值得推荐', '短评打分': 3}
{'短评内容': '地毯不干净……，地方偏', '短评打分': 3}
{'短评内容': '215房千万不要住！地毯好多地方是湿的，一直到床边。卫生间太小也就罢了，淋浴水冲在中间，水没有隔离，全流到外面了！', '短评打分': 2}
{'短评内容': '首先隔音效果很差，另外卫生条件不是很好。', '短评打分': 1}
{'短评内容': '不是真正意义上的商务宾馆 房间不大 一张大床就把房间占满了 但是服务态度 网速 热水都很好 酒店位置在解放路和凤凰路的十字路口 交通很方便 总之不错 下次去还会住', '短评打分': 5}
{'短评内容': '宾馆一般 旁边小巷子里一家拉面特别好吃', '短评打分': 3}
{'短评内容': '酒店很安静，房间带电脑，网速也不错。唯一的缺点就是卫生间设施有待改善。', '短评打分': 5}
{'短评内容': '房间干净，舒适，就是卫生间一般，服务态度好。', '短评打分': 5}
{'短评内容': '服务态度好。床比较干净。 卫生间设施有待改善。', '短评打分': 5}
{'短评内容': '地理位置不错，就在十字路口，而且西门的交通还是很方便的，到哪的公交都有，宾馆环境还可以，装修不算新，但总体的性价比还是很高的', '短评打分': 5}
{'短评内容': '洗手间条件差一些，其它条件还可以，但是没地方吃饭真是个问题，不方便。', '短评打分': 5}
{'短评内容': '价位较低，服务较次，卫生环境都不好，卫生间没有门，只有一个帘子！！', '短评打分': 1}
{'短评内容': '价格便宜，服务员态度良好，有免费电脑可以使用。但是，硬件不过关，淋浴水太小，打扫卫生时，房间地毯不是用吸尘器。', '短评打分': 5}
