{'短评内容': '房间和屋内设施还可以，就是服务员服务太差了，第一天不愿意给四楼房间，第二天因其中一间房设施有问题店家没有修好，要求换其他房间，服务员很不耐烦，却催促交第二天的房费和押金，忍无可忍数落她几句老实了，做生意一定要服务至上才能生意兴隆。', '短评打分': 4}
{'短评内容': '隔音效果差  隔壁房间吵了我一晚上没睡着  烦  但是交通很便利  凑合', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '位置离机场和汉口火车站都很近，交通很便利。距离黄鹤楼武昌的景点稍有些远，但都有公交车抵达，性价比高。', '短评打分': 4}
{'短评内容': '价格非常低，房间很大，就是位置不太好，然后空调基本没有用', '短评打分': 4}
{'短评内容': '服务有待提升', '短评打分': 1}
{'短评内容': '设施一般  空调不能制热 其他还好吧', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '我已经住过好多次了', '短评打分': 5}
{'短评内容': '很好的选择，离工作的地方也近', '短评打分': 5}
{'短评内容': '距离火车站较近，下次去火车站还会入住', '短评打分': 3}
{'短评内容': '房间马桶坏了，设备很差。房间挺大的，性价比不高。', '短评打分': 3}
{'短评内容': '房间还行吧，整体感觉较差。不值那个价！', '短评打分': 3}
{'短评内容': '标间还蛮大的，很不错', '短评打分': 3}
{'短评内容': '垃圾酒店，中午室外都有32度也不开空调', '短评打分': 3}
