{'短评内容': '位置不错，外面就是公交站，交通方便，但卫生不好，枕巾被罩不干净，老板还不给换，最后套了一个被罩凑合。', '短评打分': 3}
{'短评内容': '推荐，便宜干净，离码头机场都很近', '短评打分': 5}
{'短评内容': '环境不错，离码头和机场都很近，价格不贵', '短评打分': 5}
{'短评内容': '总体来说还可以的', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '一般吧，没什么别的', '短评打分': 3}
{'短评内容': '酒店环境良好，，卫生干净，网络良好。', '短评打分': 5}
{'短评内容': '有些潮湿，其他还行，性价比不错。', '短评打分': 4}
{'短评内容': '总体来说 小宾馆还不错的  地理位置不错方便', '短评打分': 4}
{'短评内容': '差到我都找不到一个词来形容差的程度', '短评打分': 2}
{'短评内容': '乡村店面，骗人骗的要死。和50块钱的黑店差不多。', '短评打分': 1}
{'短评内容': '位置还可以，性价比算是可以接收，平时最低价格大概在130左右，节假日就离谱了！', '短评打分': 5}
{'短评内容': ' 很多，就是贵', '短评打分': 3}
{'短评内容': '房间太潮，气味不好，388元不值', '短评打分': 3}
{'短评内容': '潮湿且有霉味，以客房的设施条件还不如连锁的快捷酒店，性价比很低', '短评打分': 1}
