{'短评内容': '还可以，给了个小房间', '短评打分': 4}
{'短评内容': '不错不错，赞赞赞', '短评打分': 5}
{'短评内容': '房间可以放自行车很不错', '短评打分': 5}
{'短评内容': '酒店位置挺好找的，服务也很好，给个大赞！', '短评打分': 5}
{'短评内容': '第一次订不错', '短评打分': 5}
{'短评内容': '订的含双早的为什么前台说不含！', '短评打分': 5}
{'短评内容': '感觉还可以，挺方便的', '短评打分': 5}
{'短评内容': '隔音不好', '短评打分': 4}
{'短评内容': '房间设施齐全，干净卫生，前台服务热情，宾馆周围吃饭购物都是非常方便的！已经入住多次了，值得推荐给大家！', '短评打分': 4}
{'短评内容': '环境可以，卫生干净', '短评打分': 5}
{'短评内容': '环境可以，服务到位', '短评打分': 5}
{'短评内容': '酒店服务态度好', '短评打分': 5}
{'短评内容': '什么都不想说了…', '短评打分': 3}
{'短评内容': '不知道是不是网上订的就是小房间。卫生一般，床单上有毛发，浴巾也有，叫服务员換一个。而且地面和玻璃都没有打扫干净。住好多次，这次是最不理想的一次。', '短评打分': 4}
{'短评内容': '大床房的床还真是大，一张床快把房间面积占完了', '短评打分': 3}
{'短评内容': '住了好多次了很方便，目前这家店在装修却没有装修味，很不错。', '短评打分': 4}
{'短评内容': '周围交通便利，周围小吃街生意特别的好。', '短评打分': 4}
{'短评内容': '<汉庭快捷酒店（郑州汝河路店）>不知道是不是汉庭的加盟店\n总觉得和汉庭的品牌有差距', '短评打分': 1}
{'短评内容': '经常入住，房间干净，价格合适，服务也好。', '短评打分': 5}
{'短评内容': '设施齐全，出行方便，饮食品种较多，物品安全。', '短评打分': 5}
{'短评内容': '和上次住同一间房，但上次有配电脑，这次撤了，便宜的饭菜也不给送房间，服务有落差。', '短评打分': 3}
{'短评内容': '位置有些偏，不是太好找，价格有些贵了些，去办事还可以吧', '短评打分': 5}
{'短评内容': '性价比高，服务态度好，干净整洁，同价位酒店中是值得推荐的。', '短评打分': 5}
{'短评内容': '值得，有电脑，装饰简洁，服务态度不错，窗外环境稍嘈杂。', '短评打分': 3}
{'短评内容': '第三次入住，不知道为什么这次的房间贵了，但是小了很多。', '短评打分': 5}
{'短评内容': '环境卫生很好，能够上网，工作人员服务热情，整洁干净，是出差休息的一个好地方。', '短评打分': 5}
{'短评内容': '服务挺认真，负责的。朋友住过之后说挺好的。', '短评打分': 5}
{'短评内容': '帮朋友定的，挺干净便捷的。以后还会来住。', '短评打分': 5}
{'短评内容': '环境很好，有自己的停车场，干净卫生，方便快捷', '短评打分': 5}
{'短评内容': '汉庭的服务很好，房间很温馨，有种家的感觉。', '短评打分': 3}
{'短评内容': '服务挺好，环境也可以……', '短评打分': 3}
{'短评内容': '第二次入住，帮朋友预订的，还是很好，交通方便，挺干净的。', '短评打分': 5}
{'短评内容': '很干净，价格实惠，交通便捷，最关键是离家进，安排客人方便。', '短评打分': 3}
{'短评内容': '1、交通方便。距离郑州火车站乘出租车约二十分钟车程，车费约十五元。公交102路直接到酒店楼下，时间大约四十分钟。\n2、标准间不是很大，但很干净，有宽带，带电脑的朋友上网很方便，网速还可以，好像是4M。早餐在后院餐厅，自助餐，普通会员是十五元一位，品种有粥，豆浆，小馒头，红薯，油条等。但可能是我们去时候有点晚，有些东西已经没有了。\n3、酒店对面是世纪联华超市，购物很方便。', '短评打分': 5}
{'短评内容': '床很大，睡着很舒服。也很干净，很不错，只是宾馆里吃的东西太贵了，平均比外边要贵3成以上，不过总的来说还好，下次去郑州还会选择那里。', '短评打分': 5}
{'短评内容': '房间偏小，相比之下洗漱间和卫生间倒是很大。洗澡时水会渗到洗漱间，马桶声音很大，像马达的声音。电视也很小，跟高级大床房的名头不匹配。或许是价位151太便宜了？', '短评打分': 1}
