{'短评内容': '卫生干净，饭菜便宜实惠', '短评打分': 5}
{'短评内容': '洗发水不错                                      前台那个人很面熟', '短评打分': 5}
{'短评内容': '酒店位置挺好找的，房间不大但设施安排不错。不过酒店房间整体存在两个Bug！！一是空调怎么调都是冷的！！开到30度依旧无热风。二是隔音效果不是一点两点的差！！！隔壁醒了，我和闺密就醒了！！！！只想说真是逼着淑女想敲墙！！毕竟我们是来参加考试的，只是想睡个好觉！全让隔壁给搅和了！！', '短评打分': 4}
{'短评内容': '酒店非常干净', '短评打分': 5}
{'短评内容': '酒店位置交通方便，有充足的停车位，酒店早餐一般，不算太差，房间挺大的，睡得也比较舒服，以后还会继续入住', '短评打分': 5}
{'短评内容': '位置较偏，交通不是很方便，房间里有装修的味道，卫生间有异味', '短评打分': 4}
{'短评内容': '济南西太坑了，找个酒店都没有', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '感觉一般能住。就是设施陈旧了一些，服务也还算可以。希望更上一层楼……下次还是作为选择的酒店入住的，还可以，', '短评打分': 2}
{'短评内容': '感觉一般能住。就是设施陈旧了一些，服务也还算可以。希望更上一层楼……下次还是作为选择的酒店入住的，还可以，', '短评打分': 1}
{'短评内容': '比较小', '短评打分': 2}
{'短评内容': '挺好的，主要离火车站坐车方便', '短评打分': 5}
{'短评内容': '值得推荐', '短评打分': 5}
{'短评内容': '位置还可以，挺好找的，住的单人房，不错，干净整洁，比较满意的一次住宿！', '短评打分': 5}
{'短评内容': '挺好的，住着方便。', '短评打分': 5}
{'短评内容': '好评哦，住着很舒服', '短评打分': 5}
{'短评内容': '还不错  价格可以接受  吃饭不是太方便', '短评打分': 5}
{'短评内容': '吃饭不太方便  其他还可以  服务态度好', '短评打分': 5}
{'短评内容': '价格便宜，但是在位置较远，好在交通便利。房间较小，但设施齐全！', '短评打分': 5}
{'短评内容': '很舒服，喜欢，非常值得入住的酒店，干净。\n', '短评打分': 5}
{'短评内容': '性价比高，但是周边吃饭以及购物很少，需要步行约1.5公路才有超市', '短评打分': 5}
{'短评内容': '酒店不错，卫生，安全，就是房间比较小，没有拖鞋，服务员热情。', '短评打分': 5}
{'短评内容': '一如既往的选择……每次出去玩都会找百时……', '短评打分': 5}
{'短评内容': ' 好 麻雀虽小五脏俱全', '短评打分': 3}
{'短评内容': '房间干净很实惠', '短评打分': 3}
{'短评内容': '房间很小，但是很干净，前台服务很好。周围没有吃饭的地方，有些不便利。', '短评打分': 3}
{'短评内容': '店面不错，内部环境还是蛮舒适的，就是坐落位置有点偏远。\n店内服务很周到，很满意～～', '短评打分': 5}
{'短评内容': '房间有点小，其它还可以吧!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '挺好的，进电梯需要刷房卡，安全性挺好挺好的，进电梯需要刷房卡，安全性挺好挺好的，进电梯需要刷房卡，安全性挺好挺好的，进电梯需要刷房卡，安全性挺好挺好的，进电梯需要刷房卡，安全性挺好挺好的，进电梯需要刷房卡，安全性挺好', '短评打分': 5}
{'短评内容': '床上用品非常整洁舒服，榻榻米房也可以入住两人，且个人感觉榻榻米房因为比双人房少一张床，反而感觉空间大一些。', '短评打分': 5}
{'短评内容': '大门不好，没有无线网络，窗户跟另外房间相连，房间面积太小但干净，拖鞋牙刷要另收费，前台服务很好。', '短评打分': 5}
{'短评内容': '环境还可以，服务员态度也不错，因为是隔板间，所以格应效果不是很好', '短评打分': 5}
{'短评内容': '环境不错，服务员的服务业还可以，就是觉得偏了点', '短评打分': 5}
{'短评内容': '交通便利，停车方便。房间干净整洁，缺点是隔音效果太差，浴室地漏下水道不是很通畅。', '短评打分': 3}
