{'短评内容': '挺好的，地方也方便', '短评打分': 5}
{'短评内容': '环境超级差，还不如民宿赶紧，床木板子拼凑，小黑屋，没电梯。脏差乱，不知那些好评是不是刷出来的。', '短评打分': 2}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店。', '短评打分': 5}
{'短评内容': '干净卫生', '短评打分': 5}
{'短评内容': '一般吧，位置比较好而已', '短评打分': 3}
{'短评内容': '干净，还不错干净，还不错干净，还不错', '短评打分': 3}
{'短评内容': '位于新街口离商场很近，吃的也方便，交通更方便，宾馆人很好干净整洁，性价比很高，很值得下榻！', '短评打分': 3}
{'短评内容': '还不错，大床房够大，空间也挺大，总体来讲还不赖', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '比较可以', '短评打分': 5}
