{'短评内容': '交通方便，早餐丰富，卫生整洁，服务周到，热情亲和！', '短评打分': 5}
{'短评内容': '因为还车就在隔壁，十一点多到了酒店，房间好小，特别是房间里的空调真是老旧老旧的，个人觉得这样的价格真是不划算啊。', '短评打分': 4}
{'短评内容': '房间还算干净，就是我的房间临近布草间，早晨早早对讲机和服务员说话的声音就把我吵醒了。早饭没过去吃，不评价。房间最大的亮点是提供了充电器和充电线。但是希望在床头设置插头。', '短评打分': 4}
{'短评内容': '这个价格也就这样', '短评打分': 3}
{'短评内容': '有专用免费停车场，很安全', '短评打分': 4}
{'短评内容': '说是单人间，里面加张床，条件一般', '短评打分': 5}
{'短评内容': '说是双人间，里面三张床，条件一般', '短评打分': 3}
{'短评内容': '好好好好好好', '短评打分': 5}
{'短评内容': '不错还会再来', '短评打分': 4}
{'短评内容': '不错，还会在来', '短评打分': 4}
{'短评内容': '不错，还会在住', '短评打分': 4}
{'短评内容': '不错，下次还住', '短评打分': 4}
{'短评内容': '环境不错，还要续住', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房间老旧，墙纸都掉下来了', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 2}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 3}
