{'短评内容': '离武夷山门口近 周边的环境很好 餐厅的服务员亲切', '短评打分': 4}
{'短评内容': '早餐不错，适合带小孩，因为酒店里点餐吃饭很方便，酒店离景区走路5分钟，所以带小孩子轻松。', '短评打分': 5}
{'短评内容': '早餐一般，酒店位置不错，离景区入口很近', '短评打分': 5}
{'短评内容': '酒店环境不错，离景区比较近，餐厅菜比较合口味，听说酒店厨师是上过央视，老板娘比较热情，推荐', '短评打分': 5}
{'短评内容': '酒店离景区较近，环境不错，餐厅服务好，菜很好吃。', '短评打分': 5}
{'短评内容': '酒店离景区大门比较近，但是离市区相对来讲有点偏了，所以打车很难打，没什么的士经过这里，酒店环境方面还是可以的', '短评打分': 5}
{'短评内容': '酒店的位子在市中心的外围，周边较为偏僻，基本没有娱乐购物吃饭的地方。酒店服务一般，大堂就一小吧台坐一名服务员，房中无中央空调，只有一台挂壁式空调，晚上开到30度还是感觉冷，床板很硬设施简陋，早餐很差。唯一的优点就是就是距离景点南大门近，步行十分钟即到。特别要提一下:酒店马路对面的荷塘农庄，菜味极其一般，价格还贵，环境脏乱差，可垂钓鱼塘水质浑浊，基本不会有一条活鱼。', '短评打分': 2}
{'短评内容': '太旧了，阳台门都关不上。空调也不好用。！。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '酒店离南次入口很近，清静，干净，环境好，刚到酒店时餐厅关门了，以后好了打电话来问要不要到餐厅吃饭。到三姑有公交也方便的', '短评打分': 5}
{'短评内容': '自驾游玩武夷山很方便，停车不收费，停车场超大。离南入口超近，走路五分钟。唯一不舒服就是没有淋浴房，是站在浴缸里淋浴的，因为是格林豪泰改造的，比较陈旧，设备不是很先进。', '短评打分': 5}
{'短评内容': '原来的格林豪泰酒店改造的，到处都是格林豪泰的影子，酒店很多设备都已陈旧，卫生间没有淋浴房，还是站在浴缸里淋浴。晚上睡觉还能听见火车行驶空洞空洞的声音，太吵了。如果来武夷山旅游的倒是不错的选择，离南大门非常的近，走路五分钟，还有提供早餐，酒店整体环境真像一个山庄，在山下，毛毛细雨真有意境，很美。', '短评打分': 5}
{'短评内容': '家庭大聚会，带孩子们去爬山，离景区南入口很近，走走就到了，很方便，卫生也不错，还有早餐，定了三间标房都满意', '短评打分': 5}
{'短评内容': '有反映不错...........', '短评打分': 4}
{'短评内容': '有反映不错...........', '短评打分': 4}
{'短评内容': '好！完全可以作为首选。距离景区南入口真心非常近，每天我们回来只要选择坐观光车到南入口就可以走路回酒店。卫生不错，自助早餐很好吃，酒店服务很热情', '短评打分': 5}
{'短评内容': '酒店地理位置绝佳 与主景区入口南大门真近 100米，不用开车，酒店服务很热情 酒店自有餐厅比美食一条街排档要好很多， 住宿餐饮性价比高，早餐不错， 五号楼设施有些陈旧， 但价格不高，总的来说性价比较高， 总之 比较满意。', '短评打分': 5}
{'短评内容': '卫生、整洁，室内外环境不错，有点偏，安静，好在我们有车，早餐有待提高', '短评打分': 5}
{'短评内容': '酒店不错。离高速公路仅2公里，方便。房间还行，干净、安静。早餐免费，品种一般，但能吃到20多种小吃及菜肴。特别是到武夷山景区只有10分钟路程，我们将车停在酒店，步行去玩，省事方便。建议大家到武夷山玩，可以住此。不足之处，酒店性价比一般吧。标间258元一晚。', '短评打分': 5}
{'短评内容': '酒店环境不错，饭菜可口，早餐比较简单，房间里有很多蚂蚁，不停地在爬，前台服务员的态度有待提高。', '短评打分': 1}
{'短评内容': '酒店环境不错，内部设施比较新，房间较大，房间内很干净。但由于酒店所处位置在景区旁边，想到市区如果没车的话，步行要30分钟左右，想买东西的话不是很方便。', '短评打分': 5}
{'短评内容': '景区内不错的连锁酒店，是我想象中的那样；很安静！以后去的话还会再住。', '短评打分': 5}
{'短评内容': '离景区南入口近，价格合理，房间干净整洁，挺舒心。', '短评打分': 5}
{'短评内容': '住的很舒服，服务也很好，整体来说很满意。就是房间有些潮湿，浴帘长毛发霉了。', '短评打分': 3}
{'短评内容': '满意舒心', '短评打分': 3}
{'短评内容': '环境不错，就是设施不太好了，像床质量太差了〇', '短评打分': 5}
{'短评内容': '非常不错，地理位置佳，服务态度好，房间干净舒畅。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': ' 酒店不错 很安静 很干净', '短评打分': 3}
{'短评内容': ' 建议自驾的又喜欢安静睡眠的朋友选择这个酒店 很好 离景区步行即可 离步行商业街开车五六分钟', '短评打分': 3}
{'短评内容': '比较干净，房间环境也较好，离景区很近。就是如果没有开车，晚上想要吃夜宵，就难喽！', '短评打分': 5}
{'短评内容': '酒店位置相对较远，交通不是很方便；酒店环境还算比较好，房内设施还可以', '短评打分': 5}
{'短评内容': '环境超好，值得体验', '短评打分': 3}
{'短评内容': '位置还是不错的，靠近武夷山景区南大门，房间条件也很好，早餐也不错。唯一的缺点是周围的其他配套设施少。', '短评打分': 5}
{'短评内容': '就在武夷山大门边上不远处，酒店也蛮干净的，可以在山中玩的晚点也没有关系，缺点是价格贵了点，而且不足4岁的儿童也要另外出半价早餐费用', '短评打分': 5}
{'短评内容': '酒店房间内发霉的味道很重，地点很偏，去景区虽然不太远可是酒店门口很难找到车。早餐很不好，尤其是白菜和豆腐就像白水煮的一样，根本没有味道。千万别找酒店代订火车票，每张票要35元手续费，不知道酒店能分多少。', '短评打分': 1}
{'短评内容': '房间内有发霉的味道，而且很重，早餐很不好。', '短评打分': 1}
{'短评内容': '很偏的一家酒店，不了解情况，看见酒店介绍说离武夷宫近，真是上当，从酒店出来到南景区大门要走二三百米，之后坐6路公交才能到度假村附近，酒店前台的服务也很差，总之，下次去武夷山的话不会再住这里了。', '短评打分': 1}
{'短评内容': '还不错，蛮新的。位置也还好。价格再低点就更好了！！', '短评打分': 5}
{'短评内容': '环境还不错，也较新，要是价格再低点，那就更有竞争力！', '短评打分': 5}
{'短评内容': '因为是十一去的  价格很高  酒店还比较新 但是7号本来说价格要降的 谁知道 下楼续房的时候 换了个人 说价格不变了  变脸很快。。。', '短评打分': 1}
{'短评内容': '设施中缺小物品，如卫生间缺肥皂、棉签。早饭不够丰富。', '短评打分': 5}
{'短评内容': '环境不错，服务也不错，很满意。接站服务是有的，接是免费的，送的话要自己给钱。', '短评打分': 3}
{'短评内容': '环境不错，服务也不错，比较满意。接机免费，送机要自己给钱。', '短评打分': 5}
{'短评内容': '该酒店为新建不久,卫生、设施都还可以，离风景区南门比较近，步行只需十分钟路程。', '短评打分': 5}
{'短评内容': '酒店处于武夷山附近公园入口处，酒店的房间比较干净，整洁，也很宽敞，住着还算舒适', '短评打分': 5}
{'短评内容': '酒店在半山腰，观光风景还可以，服务员态度也很好，周到热情', '短评打分': 5}
{'短评内容': '酒店位置还是不错的，在武夷山风景区附近，出行还是很方便的', '短评打分': 5}
{'短评内容': '酒店环境还行出行还是挺方便的，房间卫生设施还可以，服务态度价格都还行，但是酒店买地图买一些日用品什么的都没有就是比较不方便。', '短评打分': 1}
{'短评内容': '酒店离机场很近,在度假区很方便去武夷山景区,走路10-15分钟就到很方便,房间也很干净,洗澡也很舒服,可以推荐,缺点就是蚊子太凶猛了我们每个人平均被咬15-20个包,哈哈', '短评打分': 3}
{'短评内容': '总体感觉不错,离景区很近,很干净,很安静,可以推荐一下,就是餐厅太贵了,大床很硬不太舒服!', '短评打分': 3}
{'短评内容': '硬件设备蛮齐全的，服务不错，住宿环境还可以', '短评打分': 5}
{'短评内容': '总体感觉不错,离景区很近,步行10分钟到达,价格也不错,值得推荐,缺点:床太硬睡觉感觉不舒服,我说怎么我已经很注意不让蚊子进来,可是每天夜里还是被蚊子咬醒,原来房门下面的缝隙太大了,蚊子很轻松的就从下面溜达着进来进去,我算服了,我已经满身都是大包了,看见别人挠痒痒自己就会跟着挠,哈哈哈哈哈!', '短评打分': 5}
{'短评内容': '感觉是个标准的度假村,设施很新,很干净,台盆打开就有热水,可是冲澡的浴头怎么放都还是凉水,我只能凉着洗澡了.周边环境不错,很安静,距离景点很近,还提供免费接机,我认为是个很不错的酒店了,可以推荐!', '短评打分': 5}
{'短评内容': '新开的酒店，靠近风景区，出行很方便，住着舒服', '短评打分': 5}
{'短评内容': '位置还不错在武夷山景区周边出行挺方便的，相对来讲其它各方面条件就挺一般的，不过总体来讲住得还成.', '短评打分': 5}
{'短评内容': 'The hotel was supposed to provide free pickup from airport to hotel but they inform me due to some problem they are unable to provide...they instead inform me that they will now provide free transfer ', '短评打分': 1}
{'短评内容': '交通不是很方便  服务不错', '短评打分': 5}
{'短评内容': '硬件不是很好，酒店在半山腰上观光还可以，因为是连锁酒店可能也不能要求太高了，位置好就好了.', '短评打分': 5}
