{'短评内容': '很好很不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '早餐品种少', '短评打分': 4}
{'短评内容': '早餐有点差', '短评打分': 4}
{'短评内容': '酒店三星级的标准，四星级的配置，不错，比想象的要好。', '短评打分': 5}
{'短评内容': 'Good', '短评打分': 5}
{'短评内容': '环境以及服务都超级棒', '短评打分': 5}
{'短评内容': '酒店服务有点下降了', '短评打分': 4}
{'短评内容': '酒店是朋友推荐了之后携程网上预订的，和朋友一起，定了2间，总体感觉不错，房间靠南，有窗户，感觉挺干净的，晚上喜欢夜宵的朋友可以去看看，打车或者自驾也不远', '短评打分': 5}
{'短评内容': '酒店的环境不错，大堂也可以，房间装修蛮好，感觉比较舒服，靠南边有窗户，周边有小吃店，晚上打车或者自驾的话也不远，晚上喜欢夜宵的朋友可以去看看', '短评打分': 5}
{'短评内容': '酒店后面的永安溪实在是太美了，仙境一般', '短评打分': 4}
{'短评内容': '老住客了，在仙居里算是最合适的了', '短评打分': 4}
{'短评内容': '一直是我到仙居的首选，房间舒适，出门就是河边栈道，是工作一天后散步放松好去处。早餐需要提高', '短评打分': 5}
{'短评内容': '酒店高档，设施4星标准，早餐丰富', '短评打分': 5}
{'短评内容': '走廊过黑 服务一般 一般', '短评打分': 3}
