{'短评内容': '订的豪华观景房结果只有最后一间观停车场的房间，没有阳台，酒店前台说这是豪华房价格却一样。房间洗手间灯太暗，几乎看不清，淋浴喷头是坏的，根本没法洗澡，有一个浴缸，如果要洗澡还得站在浴缸里，尴尬', '短评打分': 2}
{'短评内容': '挺不错的！', '短评打分': 5}
{'短评内容': '客房部服务很好', '短评打分': 5}
{'短评内容': '早餐很好，环境特别好', '短评打分': 4}
{'短评内容': '早餐很好，环境特别好', '短评打分': 4}
{'短评内容': '非常满意', '短评打分': 5}
{'短评内容': '值得推荐的酒店，下次有机会还会入住。', '短评打分': 5}
{'短评内容': '位置方便，街子最好的酒店，非常满意', '短评打分': 5}
{'短评内容': '环境还可以，房费偏贵。服务很一般。以前态度差，现在有所改善。', '短评打分': 4}
{'短评内容': '房间比较干净，服务态度很好，周围环境较安静，设施较齐备，值得推荐。', '短评打分': 4}
{'短评内容': '酒店就在街子古镇边上 环境很好 设施也很新 房间很宽敞 适合一家出行', '短评打分': 5}
{'短评内容': '淡季时节，价格合理', '短评打分': 5}
{'短评内容': '好好好好好好好很好非常好', '短评打分': 3}
{'短评内容': '比较干净不错下次还会来', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '惠丰酒店的硬件条件确实很好、但早歺与5星级的住房费相差甚远。', '短评打分': 3}
{'短评内容': '酒店不错下次还去', '短评打分': 3}
{'短评内容': '酒店不错，应该是街子最好的酒店了', '短评打分': 3}
