{'descr': '环境一般，服务态度一般，条件不好', 'star': 3}
{'descr': '环境很好，交通方便!', 'star': 3}
{'descr': '  房间还可以，最主要是位置较好，方便工作。', 'star': 3}
{'descr': '  房间还可以，最主要是位置较好，方便工作。', 'star': 3}
{'descr': '价格不贵，空间大屋里暖和，就是隔音不太好。', 'star': 5}
{'descr': '价格不贵，空间大屋里暖和，就是隔音不太好。', 'star': 5}
{'descr': '房间太小，结果换了大床房。整个房间都是烟味，枕套也很脏！！', 'star': 1}
{'descr': '房间太小，结果换了大床房。整个房间都是烟味，枕套也很脏！！', 'star': 1}
{'descr': '还好吧！就是小了点……一张床加两个过道！', 'star': 3}
{'descr': '还好吧！就是小了点……一张床加两个过道！', 'star': 3}
{'descr': '就是价格便宜，睡觉的地方，位置很好！房间设施一般偏下，我住的房间居然宽带和电视都不能用，别的房间应该不错吧！吃饭方便，打车方便！', 'star': 5}
{'descr': '就是价格便宜，睡觉的地方，位置很好！房间设施一般偏下，我住的房间居然宽带和电视都不能用，别的房间应该不错吧！吃饭方便，打车方便！', 'star': 5}
{'descr': '还不错~才住进来~', 'star': 3}
{'descr': '还不错~才住进来~', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '不错', 'star': 3}
