{'短评内容': '停车很方便有停车场', '短评打分': 4}
{'短评内容': '酒店有停车，早餐还行，就是饭菜有点冷，周围有不少小店，吃饭也方便的！', '短评打分': 5}
{'短评内容': '总体还行，房间新装修，比较整洁干净', '短评打分': 5}
{'短评内容': '环境非常好，非常有档次，服务非常好，早餐也很丰富，以后还会来', '短评打分': 5}
{'短评内容': '早餐还丰盛的，房间不错，周边环境安静，购物吃饭都方便，主要有停车场停车方便', '短评打分': 5}
{'短评内容': '还不错，网络要再快点', '短评打分': 5}
{'短评内容': '物有所值', '短评打分': 4}
{'短评内容': '设备陈旧，价格便宜', '短评打分': 4}
{'短评内容': '一家门面很小的店，但是里面挺大的。早餐很简单，但很干净。墙壁上挂着很多明星在酒店入住的照片。价格很实惠。', '短评打分': 5}
{'短评内容': '装修味道很大 早餐不怎么样 早餐守门员态度差 再也不来了', '短评打分': 3}
{'短评内容': '在装修，味道很重', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '各方面比较中庸的酒店吧，住住可以就是假期房价贵了，500标间', '短评打分': 4}
{'短评内容': '定了一个标准间，看上去比较旧，厕所地漏还堵了一下，不过态度很好，感觉就是一般的小旅馆一样', '短评打分': 5}
{'短评内容': '酒店一般，服务态度一般，环境一般，交通一般，整体评价一般，网上的图片比实际的要好看', '短评打分': 3}
{'短评内容': '平时入住价格还行，周末的话性价比不高，枕头太低了，基本还行。', '短评打分': 5}
{'短评内容': '平时入住价格还行，周末的话性价比不高，枕头太低了，基本还行。', '短评打分': 5}
{'短评内容': '比我想象中的要好~~~美中不足的是~~~早餐供应到9点，我们8点半去就没什么吃的了~~~', '短评打分': 5}
{'短评内容': '江南红酒店条件不错，价格公道，强烈推荐,还是以前蜗居的拍摄地点哦！', '短评打分': 5}
{'短评内容': '总体还过得去，房间还算大，不过早餐太差了。', '短评打分': 1}
{'短评内容': '信价比非常低：卫生间洗护用品很低级，需要自备；没有吹风机；地面也比较脏；特别是早餐简直没有什么吃的；', '短评打分': 1}
{'短评内容': '在酒店众多的安吉，并没有多少较好的酒店，价格普遍偏高特别是周末，早餐基本没有东西可以吃。不能使用国际信用卡。服务质量不好。', '短评打分': 1}
{'短评内容': '客房还可以，卫生还好，早餐品种太少了，去晚了没什么吃的了。', '短评打分': 5}
{'短评内容': '早餐还行。没有免费的水，装修比较古典。位置比较中心', '短评打分': 5}
{'短评内容': '很不错哦', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '很不错的酒店', '短评打分': 3}
{'短评内容': '可以 交通方便   附近吃饭的地方不多  附近路面整洁', '短评打分': 5}
{'短评内容': '酒店的整体感觉还不错 就是电视机有点老', '短评打分': 3}
{'短评内容': '＋服务整体比教差，早餐样式太少，就六样供选择！', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '房间各方面都还不错，如果电视能换成纯平液晶的话那就完美了', '短评打分': 3}
{'短评内容': '还可以，还可以，还可以，还可以，还可以，还可以，还可以，还可以，还可以，', '短评打分': 5}
{'短评内容': '房间较大，设施比较老。\r\n\r\n其他还行。', '短评打分': 5}
{'短评内容': 'nice, clean, in the city and will stay here again next time.', '短评打分': 5}
{'短评内容': '服务周到，环境好。干净卫生，交通方便。房间大，配套齐。', '短评打分': 3}
{'短评内容': '服务还可以，设施陈旧了一点,酒店地理位置不错。', '短评打分': 5}
{'短评内容': '早餐很好吃，标间的环境也很好，总之一切都很不错~~~~~~~~', '短评打分': 5}
{'短评内容': '房间一般，设施一般。', '短评打分': 3}
{'短评内容': '设施很一般，没有冰箱没有吹风机。房间较旧。\r\n早餐很差。', '短评打分': 1}
{'短评内容': '一进门，房间的气味比较大，其他的比较好，早餐也太简单了吧', '短评打分': 5}
{'短评内容': '为感受蜗居特意去住的，还不错，性价比高。就是早餐简单了点。', '短评打分': 5}
{'短评内容': '房间还行但是被子被罩盖起来身上特别痒不知道是怎么回事，服务也没什么。价格能接受但是还是有些贵了。', '短评打分': 1}
{'短评内容': '位置很好，方便', '短评打分': 5}
{'短评内容': '酒店的配置设施硬件都很好，装修也很不错。卫生也很好，性价比很好。', '短评打分': 5}
{'短评内容': '酒店位于市中心，因为城市比较小，去景区也非常方便。', '短评打分': 5}
{'短评内容': '服务热情，员工着装整洁。入住的很舒适。', '短评打分': 5}
{'短评内容': '江南红环境还是很好的。酒店的布局设施都很不错，入住的很满意。', '短评打分': 5}
{'短评内容': '这家酒店在安吉市中心地段，距离车站很近，出行也比较方便。', '短评打分': 5}
{'短评内容': '这里是一家三星级的酒店，但住在里面，感受他们的服务，比标准要高，可以说是住着三星级的酒店，却能享受到四星级的服务。', '短评打分': 5}
{'短评内容': '酒店也有自己的餐厅，还有ktv，后面好像还有一个演艺吧。另外酒店就在安吉县的中心，然后这边的旅游景点都是在郊区嘛，从酒店过去还是很近的.', '短评打分': 5}
{'短评内容': '酒店的交通很是方便，出门就有公交车站，并且前台还会提供一些帮助，有力于出行', '短评打分': 5}
{'短评内容': '这里从客房到总体的装修有一点商务的感觉，是蛮不错的。装修的很是精细精致', '短评打分': 5}
{'短评内容': '酒店有自己的ktv和主题演艺吧，还有个不错的餐厅，餐厅可是有个好厨师，做的饭菜很是可口', '短评打分': 5}
{'短评内容': '总体还不错，就是早餐稍差。', '短评打分': 5}
