{'descr': '房间干净卫生', 'star': 5}
{'descr': '位置不错!', 'star': 5}
{'descr': '环境和卫生都很不错，前台美女态度非常好。赞呦', 'star': 4}
{'descr': '好', 'star': 5}
{'descr': '蛮好的', 'star': 5}
{'descr': '好，，，，，', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '很棒，周围交通也很方便', 'star': 5}
{'descr': '旅游', 'star': 5}
{'descr': '方便 舒适 市中心', 'star': 5}
{'descr': '好 市中心', 'star': 5}
{'descr': '舒适 方便', 'star': 5}
{'descr': '冬天，有点冷，空调开到最大才行。', 'star': 5}
{'descr': '不错，干净，价格不贵', 'star': 5}
{'descr': '小', 'star': 5}
{'descr': '酒店环境不错，交通也挺方便的', 'star': 4}
{'descr': '位置好，价格不错，挺好的。附近有维多利国际广场，很多饭店，早餐也不贵，总的挺好的不错。      ', 'star': 4}
{'descr': '快捷酒店一直也比较偏爱如家，感觉装修的比较温馨，这家挨着维多利广场，还不错，服务欠缺了点。这次接待我们的是位实习生，是否入住都整错了，希望以后改进。', 'star': 5}
{'descr': '可能是地理位置的原因吧.房间略小了些.但其他方面很不错.网速也很快.服务员态度也很好.', 'star': 3}
{'descr': '如家装修基本上都是一样，不过有些房间房型和早餐不一定。这个还算不错', 'star': 5}
{'descr': '房间干净卫生，交通也挺方便，就是早餐有点简陋，感觉没什么吃的', 'star': 5}
{'descr': '去机场比较方便 其他都是如家标配 没啥好说的', 'star': 5}
{'descr': '酒店不错去呼市一直住在那里，周围也比较方便，不过这次去正在修路，可能要在十一前完成，结果他们工作到半夜，我也就只能在两点多才睡。呵呵。幸好已经完成了。下次去就不会有问题了。', 'star': 5}
{'descr': '酒店不错。服务很好。孟庆海', 'star': 3}
{'descr': '酒店布置的挺温馨，很安静，交通也方便，以后还会选择', 'star': 3}
{'descr': '现在门前那条路仍在修，出入很不方便。估计还要半年到一年的时间才能修好，特别是行李多的时候。服务还是很不错的。也很安静，房间比较大之前有客人说的超市，要走出路口，再走三百米左右。还有奶茶店看不到。那个什么阿妈奶茶店在呼市很出名的，有几家分店，鼓楼有分店的，但不知道在那。南方人可能喝不习惯，是咸的。', 'star': 1}
{'descr': '还不错，如家的装修全国都一样，房间不是很大，不过很温馨。', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '因为在主干道边上的支路内，房间很安静，可以得到非常充分的休息，洗澡也很方便，和老人一起入住的，老人也很满意。周边交通比较方便，有个大超市就在附近，买手信很不错，附近鼓楼其实有很多吃的包括格日勒阿妈奶茶店。不过现在门前正在修路，灰挺大，不过不影响出行。', 'star': 5}
{'descr': '门口在修路，出行有些不便\n房间有点小，而且还有烟味这点不是很好\n酒店早餐不错', 'star': 5}
{'descr': '还是很干净的，就是隔音效果不是很好，还不错。', 'star': 5}
{'descr': '这是我所住过的如家中条件最好的一家店了。很干净，服务也不错。', 'star': 5}
{'descr': '还是不错的，干净卫生，服务态度也不错，地理位置方便，价格适中。', 'star': 5}
{'descr': '环境不错清洁实惠早餐略显单调', 'star': 3}
{'descr': '隔音比较差，暖气不太给力。\n要写这么多字干嘛。', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '空间有点小，还算干净，最不方便的是没有停车场', 'star': 5}
{'descr': '.挺干净不错', 'star': 3}
{'descr': '很好，很干净,下次还会去，打车也很方便。', 'star': 5}
{'descr': '客户评价后都非常好！ 表示满意！ 希望可以继续保持！', 'star': 5}
{'descr': '不错！ 反映较好！ 大家都很高兴可以入住这家快捷酒店！', 'star': 5}
{'descr': '不错,基本设施都比较齐全！今后会多多入住的，\u3000相对而言还是不错的快捷酒店。', 'star': 5}
{'descr': '环境干净、床铺整洁、停车不方便、早餐还要努力啊！', 'star': 5}
{'descr': '建议大家住它的家庭房，比较大。酒店对面的包子铺（早点）非常不错，', 'star': 5}
{'descr': '+各方面都很好。', 'star': 5}
{'descr': '周边环境安静、房间整洁、交通便利，值得推荐', 'star': 5}
{'descr': '还不错,卫生条件也可以,干净,服务员态度都好.', 'star': 5}
{'descr': '每次都入住这家酒店，房间干净，而且位置好，值得推荐', 'star': 5}
{'descr': '酒店不错，就是房间内的电视掉的高了点儿！', 'star': 5}
{'descr': '第二次入住还是不错，就是门的隔音比较不好，其他的都很好！推荐！', 'star': 5}
{'descr': ' 房间很不错，安静环境好，房间设备也好，酒店位置不错，值得推荐。', 'star': 5}
{'descr': '不错 建议来，位置不错！环境还可以！不错 建议来，位置不错！环境还可以！', 'star': 5}
{'descr': '很少给人差评，但是这家如家店不建议大家住！！！', 'star': 3}
{'descr': '不错！位置不错，环境也不错，经济实惠，强烈推荐！', 'star': 3}
{'descr': '环境不错；服务周到；价格实惠！', 'star': 5}
{'descr': '111111111111111111111111111111111111111', 'star': 5}
