{'短评内容': '住过好多次了，酒店新装修了，处处体现年画元素！', '短评打分': 5}
{'短评内容': '新装修了年画主题酒店，挺有文化气息的。房间不错，暖和、宽敞！服务态度很好。', '短评打分': 5}
{'短评内容': '挺好的地方', '短评打分': 5}
{'短评内容': '酒店装修成年画元素，很新颖，服务和卫生一流的，下次继续入住。', '短评打分': 5}
{'短评内容': '新装修的房间 设备设施齐全 位于市中心 交通方便 价格公道', '短评打分': 5}
{'短评内容': '位置好、交通方便', '短评打分': 4}
{'短评内容': '设备有点旧，其它都还好。。前台服务的美好很好。。', '短评打分': 4}
{'短评内容': '老酒店，设备该更新', '短评打分': 4}
{'短评内容': '一般，价格不高，但是第二天大门口那里门卫比较牛，单独收停车费，希望能管理管理', '短评打分': 5}
{'短评内容': '距离火车站近，周围比较繁华，出行方便，超市、饭店都有。房间内设施比较老，卫生条件还可以，整体满意，以后有机会可以再次入住。', '短评打分': 5}
{'短评内容': '服务不错，设施不错，在闹市中，但很安静，以后还会来', '短评打分': 5}
{'短评内容': '交通方便 停车位多 早餐还可以 房间设施一般', '短评打分': 3}
{'短评内容': '不错的地方，朋友推荐的。', '短评打分': 4}
{'短评内容': '设施旧，有问题很快帮你解决。主要看重这里的交通方便，来往出游的目的地', '短评打分': 3}
{'短评内容': '房间干净但是设施陈旧。', '短评打分': 3}
{'短评内容': '除了位置好之外，其他的都不太好。设施陈旧，房间里总有一种发霉的味道。', '短评打分': 1}
{'短评内容': '设备陈旧,一分钱一分货', '短评打分': 3}
{'短评内容': '干净整洁，很安静。停车场进的时候有个绿色的按钮，按完以后取个卡，临走凭发票免停车费。', '短评打分': 5}
{'短评内容': '这里很好很干净', '短评打分': 3}
{'短评内容': '性价比还可以，但设施较旧，只能说一般般。', '短评打分': 5}
{'短评内容': '酒店以前叫做政府第一招待所，热水还可以，环境也还可以，凑合住吧', '短评打分': 1}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '价位，环境，地点都还不错,北面房间做饭时声音大', '短评打分': 5}
{'短评内容': '.很好方便', '短评打分': 3}
{'短评内容': '酒店不错，挺干净，价格也合适，早餐也很丰盛。我会向朋友们推荐这家宾馆的。希望大家光顾啊。另外潍坊的环境很美，欢迎大家来游玩。', '短评打分': 5}
{'短评内容': '虽然是挂牌三星，但是标准远远不够，房间里还有霉味', '短评打分': 1}
{'短评内容': '服务很好，设施有点陈旧，总体还可以，下回还去', '短评打分': 5}
{'短评内容': ',位置好，市中心。', '短评打分': 3}
{'短评内容': '酒店很干净，环境也很好，已经住过好几次，很满意', '短评打分': 5}
{'短评内容': '早餐很丰盛物有所值房间空调声音太吵晚上没睡好', '短评打分': 3}
{'短评内容': '性价比还可以，卫生蛮干净的，服务很好，下次还会住的', '短评打分': 5}
{'短评内容': '酒店总体状况相当不错，本人下次还会选择入住。', '短评打分': 5}
{'短评内容': '房间面积比较大，配置设施比较全。', '短评打分': 5}
{'短评内容': '酒店各方成条件一般.硬件设施有些陈旧.卫生条件还行.这家酒店更适合去潍坊商务出差入住..', '短评打分': 5}
{'短评内容': '位置还可以，对面是个公园周围环境很不错。', '短评打分': 5}
{'短评内容': '不错！', '短评打分': 3}
{'短评内容': '不错 各方面来说是很推荐的', '短评打分': 3}
{'短评内容': '挺不错的 每天都有打扫卫生 3星级来说不错了', '短评打分': 5}
{'短评内容': '这家店一看就知道是国有制体制，房间设施比较陈旧了，但是设施齐全达标。', '短评打分': 5}
{'短评内容': '软件管理包括服务都很好，就是硬件本身不是很好，建成时间比较早了。', '短评打分': 5}
{'短评内容': '房间比较宽敞，但是设施比较老旧了。服务很不错。', '短评打分': 5}
{'短评内容': '酒店让人印象最深的就是服务，服务人员真的很敬业，都是笑盈盈的，感觉很舒服。', '短评打分': 5}
{'短评内容': '不错的，可以试试啊', '短评打分': 5}
