{'descr': '不错的住宿点噢', 'star': 5}
{'descr': '脏乱差', 'star': 1}
{'descr': '卫生很好！出行也很方便！', 'star': 5}
{'descr': '总体来说还可以了，在上海这个房间也是对得起这个价格了', 'star': 4}
{'descr': '就想找个离高铁站近的酒店，干净就可以，可是进了房间窗子是坏的，用纸贴上，床和墙中间的空隙厚厚的土以及垃圾，房间的隔音特别不好，唯一的优点就是便宜，如果介意价格的可以选择，', 'star': 2}
{'descr': '服务差，厕所洗澡不方便，水小。床也小。地不干净。电视老式没敢开。晚上只能勉强休息。', 'star': 1}
{'descr': '酒店不错，下一次还会入住。', 'star': 4}
{'descr': '这那是什么酒店宾馆，根本就是一家普普通通的旅管。', 'star': 1}
{'descr': '服务很差，电话咨询说好送机，结果超过12点不送。设备太差，又脏，说你不泡浴所以没必要将澡盆洗干净，多牵强的理由？真没法使用。', 'star': 2}
{'descr': '房屋简陋，卫生差，虽然多收一元，感觉服务不好。', 'star': 3}
{'descr': '房间水有点小，没有早饭。不过可以送机场这点还不错！', 'star': 5}
{'descr': '免费接送很不错，可酒店设施很旧，房间挨马路，结果一整晚都没睡好', 'star': 1}
{'descr': '酒店负责接送，这点还挺方便。可酒店设施有些旧，预定时答应房间有不挨马路的，可入住时又说没了，结果非常吵', 'star': 1}
{'descr': '还行 就空调声太大！我们房窗关不紧…声音太大', 'star': 3}
{'descr': '服务很好.离机场1号楼很近.早晨还能送站.很不错，', 'star': 5}
{'descr': '非常满意.卫生也很好.服务很热情.住了两晚感激很好。', 'star': 5}
{'descr': '空调就像拖拉机一样在身边不停的吼，半夜能听到门口其他客人的说话声音，12个小时的睡眠时间，质量非常的差劲。', 'star': 1}
{'descr': '酒店到虹桥机场有车接送！就是网速慢！', 'star': 3}
{'descr': '订的石库门却拉到了银洋酒店！好烂的地方。', 'star': 3}
{'descr': '还不错 挺干净的，环境倒是一般，不过还是挺安静的，服务蛮周到', 'star': 5}
{'descr': '交通便利，专车送至虹桥机场仅需5分钟！环境一般。', 'star': 5}
{'descr': '环境不怎样，只是有道机场的接送车', 'star': 3}
{'descr': '太差太差，无法忍受。怎么感觉是其他酒店剩下来的二手货 摆在屋子里。而且灯光昏暗，热水壶 一层的灰尘 上面还脏兮兮的。只有 车接车送 是满意点。', 'star': 1}
{'descr': '房间比较小，但是服务比较好，距离虹桥机场非常近，能免费接送。', 'star': 5}
