{'descr': '这价位可以了', 'star': 4}
{'descr': '真的特别方便的家庭公寓房，续租升级换到了盛天大厦更是方便。地铁公交就在楼下，下楼左右边分别是去新街口和夫子庙的。各种吃特别多，周边的外卖也多。下次来南京还会居住的，老板要给优惠哦', 'star': 5}
{'descr': '酒店位置不错，不过因为没有房间，就换到了凯润金城，那里还是很好的', 'star': 5}
{'descr': '还可以', 'star': 4}
{'descr': '没有更新了', 'star': 3}
{'descr': '这热水器是电热水器，使用起来不是很爽～服务还是挺好的，也很热情。地理位置也不错，价格也算是比较平价了。', 'star': 4}
{'descr': '很好，赞赞一个', 'star': 5}
{'descr': '离市中心和地铁站路程不远 但是也不是很近  设施齐全 但是空调不能制热 电视也打不开 床的话一张大一张小  吹风机也很小 不怎么烫 洗澡的浴室门也能关一半 但是服务态度不错 ', 'star': 4}
{'descr': '挺好的，方便', 'star': 5}
{'descr': '第一次住公寓酒店  ', 'star': 4}
{'descr': '比较方便', 'star': 3}
{'descr': '大半夜跳电，预订199的价格到那里变成219了，房间不干净，地理位置不错，洗澡不舒服，电磁炉开始不能用，总之一般般，就是为了用电磁炉不然周边的如家莫泰比它好太多了', 'star': 3}
{'descr': '特别不错的地方，位置特别好逛街很方便，楼下好多超市看的我都震惊了哈哈哈，买东西真心方便。前台大爷有点慢不过超级认真，人很nice态度特别好。由于公寓大堂在楼后面，店家很细心的发了线路短信一下就能找到。觉得服务特别实在，还可以借用锅碗瓢盆做饭，大爷还给我们洗衣粉用，下次来还住这里：）', 'star': 5}
{'descr': '发生了很多不愉快，虽然地理位置不错，但以后绝对不会选择这家了', 'star': 3}
{'descr': '还不错不错。。。。。。。', 'star': 3}
{'descr': '第一次住这种类型的，感觉不错。浴室冲凉的地方建议加个挂钩用来挂毛巾。', 'star': 5}
{'descr': '交通挺方便的，房间较为宽敞，但是装修有点陈旧，卫生有待加强，总的来说性价比偏低', 'star': 5}
{'descr': '酒店地段不错，服务热情，房间干净，酒店式公寓很适合出差常驻，就是开发票要等到8:30，早上有急事的就不太方便', 'star': 5}
{'descr': '感觉很不错啊！房间够大！网速很好！设施也全！虽然稍旧点！出行方便！就是停车费贵了！呵呵！', 'star': 5}
{'descr': '房间挺好，设施齐全，睡的很舒服，就是价格可能稍贵', 'star': 5}
{'descr': '地段很繁华，导致交通十分拥挤，不建议住在新街口。订了2间相同的房间，但环境完全不同，酒店负责人解释说其中1间换了更好的房间，觉得解释很不合理。房间连拖鞋，纸巾，吹风机都没有。', 'star': 1}
{'descr': '地段繁华，内部装修不\n错，就是临街晚上有点吵，性价比高', 'star': 5}
{'descr': '好。非常好，很好。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '我们定的是家庭房~地段好环境好~接待的阿姨很热情~200多的价格绝对物超所值~一进去就发现有冰箱、洗衣机、微波炉~superise~买来的饮料都可以放冰箱~~~~这次出门旅行很开心~~~这个F定得得到姐妹们一致好评~', 'star': 5}
