{'短评内容': '考试定的，价钱很划算，房间干净，没有单人间了老板娘直接帮我换了标间，就是洗手间设施不太好，而且花洒有问题', '短评打分': 5}
{'短评内容': '沐浴露好像变质了', '短评打分': 4}
{'短评内容': '还可以吧，便宜实惠！', '短评打分': 5}
{'短评内容': '还不错，酒店很干净住了三天', '短评打分': 5}
{'短评内容': '挺好的。。。。', '短评打分': 5}
{'短评内容': '离考试的地方近，但这个价格，房间比较旧了。', '短评打分': 4}
{'短评内容': '一般了', '短评打分': 3}
{'短评内容': '一般了', '短评打分': 3}
{'短评内容': '听说还可以', '短评打分': 4}
{'短评内容': '只想说电视看不了，无线搜不到', '短评打分': 3}
{'短评内容': '住过好多次了，环境不错，主要是周边吃饭方便', '短评打分': 5}
{'短评内容': '真的很差，不会再住了。。。', '短评打分': 3}
{'短评内容': '很好，很舒适方便，附近也有很多吃的地方 离市中心坐公交车也不用多久', '短评打分': 3}
{'短评内容': '隔壁就是露天的餐馆，凌晨2、3点了还有人在那里大声的讲话，我是来师大考试的，感觉都要疯了', '短评打分': 4}
{'短评内容': '不好', '短评打分': 3}
