{'短评内容': '我住的那天，热水坏了，服务态度很好！', '短评打分': 5}
{'短评内容': '服务好，卫生条件好，很满意，下次还光临', '短评打分': 5}
{'短评内容': '位置不错，前台接待服务态度特别好，卫生干净，床也很舒服，供暖稍有不足，但打开空调就ok了！适合出差旅游的朋友小住！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店位置便利，出火车站走一站地就到，公路客运站就在附近，房间挺干净的但就是房间设施有些陈旧，暖气渗水，前台服务倒是很热情，希望下次再来贵酒店能让我焕然一新的感觉。', '短评打分': 4}
{'短评内容': '服务好！条件也不错！出门办事非常方便！', '短评打分': 5}
{'短评内容': '满意，常来。', '短评打分': 5}
{'短评内容': '很好很好，干净，整洁，舒服，好好好好好好好好好', '短评打分': 5}
{'短评内容': '好好好好好好好好好，不错，舒服，干净，', '短评打分': 5}
{'短评内容': '好，很好非常满意', '短评打分': 5}
{'短评内容': '这个评价是虚无的吗？不知道怎么评。', '短评打分': 5}
{'短评内容': '不错干净整住的很舒服，服务也很好，给5星', '短评打分': 5}
{'短评内容': '常驻，非常满意', '短评打分': 5}
{'短评内容': '非常满意，常客', '短评打分': 5}
{'短评内容': '红红火火恍恍惚惚', '短评打分': 5}
{'短评内容': '一如既往，住了很多回了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还不错！！！', '短评打分': 4}
{'短评内容': '价钱便宜', '短评打分': 5}
{'短评内容': '卫生挺好的，，屋里很温暖，一点不冷，在外面牙都快冻掉了，只是洗浴的水太不给力了。没有热水。不敢洗澡怕感冒！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '“有幸”入住709房：天花板漏水，下面用一个水桶接着；每间隔一个多小时会从楼顶传出很大的噪音，持续大概一分钟，白天黑夜都会有；坐便居然没有固定，坐的不正会发生倾斜，吓得屎都憋回去了；淋浴喷头向四处喷水，就是不网该洒水的地方喷??', '短评打分': 1}
{'短评内容': '环境好，暖气不是很热。', '短评打分': 5}
{'短评内容': '都还可以', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '性价比高。。', '短评打分': 5}
{'短评内容': '第二次入住该如家酒店，整体环境还是不错的，就是房间偏小了点，洗浴间偏小，其他都很好，距离火车站，客运站都很近，很方便', '短评打分': 4}
{'短评内容': '服务不错，就是房间唉，在个七楼，还得下个半层！那水响了一晚上！无语！感觉在屋里呆久了晕！', '短评打分': 1}
{'短评内容': '离火车站很近，房间还可以吧比较干净。服务也还是不错的。', '短评打分': 5}
{'短评内容': ' 服务态度好，反应速度快。', '短评打分': 3}
{'短评内容': '房间设计注重细节，方便客户；房间、卧具清洁；工作人员有礼貌；退房后还可以提供免费行李寄存等体现了上市公司规范化的管理。', '短评打分': 5}
