{'短评内容': '很干净，空调很暖和，卫生间很宽敞，就是早饭有点寒碜', '短评打分': 5}
{'短评内容': '服务人员特别是前台人员意识差，在登记住宿时还打着电话聊天，房间卫生一般', '短评打分': 1}
{'短评内容': '酒店位置离越秀外国语学校比较近，走路10分钟能到，房间卫生很好，还有电脑，外观也大气，对的起这个价格，下次会再来住的！', '短评打分': 5}
{'短评内容': '1、酒店服务态度很一般，从前台到客房中心，明显没有受过专业训练。\n2、酒店外部环境属于城中村吧，周围都是农民房。购物、逛街都不太方便。\n3、酒店内部装修比较陈旧，地毯、衣柜门上都有明显的污渍，但卫生间感觉挺新的。', '短评打分': 1}
{'短评内容': '房间还算不错，不过服务确实不咋的。\n1、走廊上不开灯，黑漆一片；\n2、前台服务态度不好，爱理不理，很不耐烦的样子；\n3、早餐跟地摊货没区别，难以下咽；\n4、走廊和房间有股较大的气味，闻着不好受。\n这种服务号称3星是有点太抬举了。', '短评打分': 1}
{'短评内容': '我入住的价格和门市挂牌价相同，位置很偏，门口广场还唱戏，很吵，早餐简直是没有。', '短评打分': 1}
{'短评内容': '距离会稽山挺近的，我当时是直接步行过去的只用20分钟，呵呵。酒店设施一般，稍微有点贵，可能跟节假日有关，我是黄金周去的。', '短评打分': 1}
{'短评内容': '早餐不错，干净卫生，服务态度也很好，6块钱打车去到市中心，总体蛮满意的。。', '短评打分': 5}
{'短评内容': '温馨港湾安静、干净、舒适,恰如其名--温馨港湾!', '短评打分': 5}
{'短评内容': '地理位置在市区外，不过如果要玩会稽山大禹陵很适合，非常近。酒店装修也不错，就是房间的味道比较重，被子上的味道也比较种，晚上睡的心里不是很踏实。总台服务员的服务态度很好，可是咨询部的服务态度很不好！希望可以改进。', '短评打分': 1}
{'短评内容': '酒店的位置还可以，性价比也挺高，值得推荐下', '短评打分': 5}
{'短评内容': '非常的不好，网上说有网线，结果不能上网，连小零食也没有，就连安全套也没有，更可气的是早餐券上写着到9：30结束的，结果我9：15去餐厅吃早饭说已经在9点结束了，最后只给我两个小馒头（是冷的，是硬的），连喝的也没有，真是超级差了，从来没有这么差的酒店。', '短评打分': 1}
{'短评内容': '很不错挺好', '短评打分': 5}
{'短评内容': '停车位挺多的，房间也宽敞，还有丰盛的早餐哦~不错', '短评打分': 5}
{'短评内容': '早餐很好吃哦，样式挺多的，卫生搞得也还可以，嘿嘿，住着还不错啦~！', '短评打分': 5}
{'短评内容': '早餐很好吃哦，样式挺多的，卫生搞得也还可以，嘿嘿，住着还不错啦~！', '短评打分': 5}
{'短评内容': '酒店随时都有热水供应，而且有空调，卫生间看起来很雅致，总体上都挺好的。', '短评打分': 5}
{'短评内容': '位置比较僻静，但是城市比较小，打车都很便宜。卫生环境都还达标。', '短评打分': 5}
{'短评内容': '停车位挺多的，房间也宽敞，还有丰盛的早餐哦~不错', '短评打分': 5}
{'短评内容': '我觉得其他都没什么，就是位置不太好，交通不太方便，不过服务员态度很好，让人心里暖暖的，住着很贴心。', '短评打分': 5}
{'短评内容': '很安静，晚上睡得很香，比较适合我这样经常出差的人！白天太累了，需要睡个好觉来弥补。', '短评打分': 5}
{'短评内容': '位置有点偏僻，公交车也少，不过倒是很安静，房间里面挺干净的，还可以吧。。', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '酒店设施很好，安静舒服，就是位置偏了点，不过如果打算去兰亭玩的话，住那里是最合适了。', '短评打分': 5}
{'短评内容': '额。。。房间还不错吧……就是地方比较偏僻一点……停车场也不怎么大……卫生什么的都还不错……早餐也不错……', '短评打分': 5}
{'短评内容': '五一黄金周入住。因为市中心的酒店满员。此店地处绍兴城南郊区，离外环一步之遥。打车需步行500米。绍兴城区小，车资6元即到市内，于大多数游客而言来回的费不是个大问题。&lt;br /&gt;\n大问题在于酒店的服务意识和服务能力的低下。2号早晨8：15分去吃早餐，吃食几乎告罄，而酒店明明告知早餐是9点才结束的。服务员一再声明“今天人太多了……”游客剧增或可原谅。3号、4号、5号早晨依旧如此。据说有客人', '短评打分': 3}
