{'短评内容': '房间很干净，热水很足', '短评打分': 4}
{'短评内容': '这次出来是带着家人出来的入住了西安高新路汉庭酒店，自驾旅游开了好几个小时的车很累，到了酒店酒店楼下就是免费的停车场，上了五楼大厅大厅装修的很精致，前台的服务人员很热情，另一位姑娘给倒了一杯热腾腾的茶水，也不知道什么茶水喝到嘴里很甘甜，就说了句很好喝，前台服务人员就给我拿了2袋让我回房间自己泡，服务特别好，进入房间，房间很干净也特别安静明亮，前台小伙看我带的小孩特意给我安排了家庭套房小伙很有眼力劲。', '短评打分': 5}
{'短评内容': '地方不好找', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '各方面都很不错。', '短评打分': 5}
{'短评内容': '连锁酒店都是那样', '短评打分': 5}
{'短评内容': '房间不错，就是卫生间小了点……', '短评打分': 5}
{'短评内容': '还不错的', '短评打分': 5}
{'短评内容': '差劲 没住不让退 真是醉了', '短评打分': 1}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '干净卫生，交通方便，周围有早餐，五环', '短评打分': 5}
{'短评内容': '号', '短评打分': 3}
{'短评内容': '基本还好，就是窗户是暗窗，有点失望。整体还好！', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '很温馨的酒店，服务也非常到位！下次还是会继续入住！', '短评打分': 3}
{'短评内容': '不错，洗澡水好，赞一个', '短评打分': 3}
