{'descr': '干净 喜欢 棒', 'star': 5}
{'descr': '位置很好，到南锣鼓巷，后海，恭王府都很近，我们都是步行前往，地铁也近，环境也挺好', 'star': 5}
{'descr': '胡同酒店麻雀虽小五脏俱全。交通方便，近地铁口，去前海后海、恭王府等旅游景点都很方便，在胡同里闲逛很有意思。', 'star': 5}
{'descr': '位置不错，出去，地铁，打车都方便，过街就是后海，里面就是胡同。老板服务不错，', 'star': 5}
{'descr': '交通便利。', 'star': 5}
{'descr': '环境不错，离地铁很近，交通方便，吃也很方便，主要安静，赞', 'star': 5}
{'descr': '非常不错，享受周边原汁原味的北京文化！！', 'star': 5}
{'descr': '活动价，划算。虽然这段话是复制粘贴，收到的商品一般没有什么问题，还是比较满意的，如果有质量问题会详细说明。', 'star': 5}
{'descr': '不错，位置好，价格也可以。', 'star': 5}
{'descr': '方便干净舒适，下次去还会选择，周围餐饮也蛮方便的。离地铁和什刹海真的很近，适合一家人出游选择。连续住了两晚。', 'star': 5}
{'descr': '经济实惠，位置很好', 'star': 5}
{'descr': '卫生什么的挺好的， 就是晚上下水道坏了。  挺尴尬的，完了也及时给修了。   服务很好，值得！', 'star': 5}
{'descr': '位置就是中心地带鼓楼 去哪都很方便 胡同闹中取静 酒店大堂的咖啡厅环境不错', 'star': 4}
{'descr': '酒店地位位置非常好，本身在胡同里，一走出来满满的京味儿，离什刹海的地铁口和鼓楼公交站很近，一走出来就是，出行非常方便，晚上去后海酒吧一条街走过去就是了很方便。前台很亲切，你不会觉得自己来到一个酒店。除了洗脸盆底下水会溢出来其他都很满意，性价比也高，很推荐这里。', 'star': 5}
{'descr': '地理位置很方便，和地铁口跟进，挨着南锣鼓巷和后海，就是房间很小，没有电梯，环境设施比平常的快捷酒店略差，其他还好', 'star': 4}
{'descr': '环境很好，前台服务没得挑，只是有一个床单貌似没换，上面还有头发。', 'star': 4}
{'descr': '在南锣鼓巷的什刹海地铁站旁边，出行方便，比较有特色，适合居住', 'star': 5}
{'descr': '地点去南锣鼓巷和后海都是比较方便的？', 'star': 4}
{'descr': '房间太小了，卫生不错，环境挺安静', 'star': 4}
{'descr': '位置好，服务好，很正规的酒店，外宾入住也多，走哪都很方便，下次还去了还住', 'star': 5}
{'descr': '这次入住让我太失望了，我预订时要求八点到十一点，可九点到酒店后却告知没房间，要等到十二点以后，居然要客人等三个小时以上，那这样', 'star': 3}
{'descr': '虽然酒店在胡同里面，有点绕弯，房间不大，但很干净，出胡同对面就是什刹海后海，想晚上出去HIGH的朋友可以优先考虑。院子里的景色不错，门前有颗槐，升官又发财么，哈哈！', 'star': 5}
{'descr': '安静，离后海酒吧一条街近，离恭王府近，出行坐公交也挺方便，免费提供地图等等，我不一一赘述，网友写的好的地方都是对的，不重复了，房间小，插座少（但提供了接线板）也是事实。我定的高级双床房，说是21平，估算一下也就15、16平吧。掌柜态度挺好，但我也有几点意见提一下，一开始在网上看到网友说不通过网站直接预定更便宜，打电话过来问得到肯定的答复，小姐很有礼貌的说等我定下来具体日子可直接打酒店电话预定，价格', 'star': 5}
{'descr': '我是6月30日入住的乐盟，觉得选择了这家酒店，是我去北京的最大亮点。虽然房间不算大，但是很整洁、舒适、安静，前台的服务态度也很好噢。地理位置也是我超喜欢的，后海的景色很美。最值得一提的是服务生曹博文同学（希望没有记错）。由于朋友接站时送了我一大束鲜花，拿到酒店后，询问是否有花瓶，被告知酒店内木有。但是当天中午曹博文同学特意帮我从他家里带来了一个很漂亮的花瓶，让我瞬间觉得很温暖。。。更温暖的是，第二', 'star': 5}
{'descr': '地理位置还可以，住宿条件一般。服务员态度也一般。', 'star': 1}
{'descr': '环境还行，一楼有点潮，洗澡下水慢，希望以后有改进', 'star': 5}
{'descr': '位置不错，出了酒店所在的胡同穿过大街向前20米就是前海、后海。\n环境也很好，老北京胡同里三层小楼，还带个院子。\n前台服务态度相当的不错，安全应该也可以，进楼就得刷卡。\n只是我网上订的大床房在底楼，且窗户外就是变压房，不爽！（酒店小妹说只有双床房朝向院内的，我带有小孩，双床的床较窄，只好作罢）。\n另外就是房间比较小，不过在天朝而且是后海边这种寸土寸金的地儿，性价比还是很不错的，值得推荐！', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '环境不错，在胡同深处但不难找，有北京风味', 'star': 5}
{'descr': '酒店在地百对面，离华普、后海、鼓楼都很近，晚上也挺安静的。很舒服，貌似新装修不久。', 'star': 5}
{'descr': '酒店还不错。卫生也好，比较安静·也安全，下次我还去那里住。', 'star': 5}
{'descr': '酒店位置真的很棒！服务也是没的说！必须赞一个！院子里有很多绿色的植物包括院子里的遮阳伞都是墨绿色，大夏天的让人看着就舒服，前台服务很周到，帮我们查各种路线，退房后还给我们留了电话，说如果在外面找不到路了或者遇到什么困难可以及时给酒店打电话，客房大姐也是，看外面下大雨赶紧进房间给关窗户，还把我晾的衣服给送了进来，酒店的各个玻璃门上还贴着出门记得带把伞的温馨提示，并且附着最近三天的天气预报，前台还备了', 'star': 5}
{'descr': '拍了几张照片也传了，正如楼上说的，位置好，服务好，环境安静，价格也算合适，房间条件也好，满意！因为许多朋友都写得不少了，我就不再多说了！下次再来北京的话还会考虑的！谢谢', 'star': 5}
{'descr': '房间稍小，与走廊的隔音也查一点。总体很不错，安静干净。', 'star': 3}
{'descr': '环境不错，房间也非常干净整洁，周边好吃的东西比较多 离景点也近。唯一的遗憾就是我们房间的脸盆下水管有点漏了', 'star': 5}
{'descr': '酒店总体不错，就是有点难找。。。。离后海十分的近', 'star': 5}
{'descr': '酒店很不错，房间非常干净，地点不错，而且有自行车出租，非常满意。', 'star': 3}
{'descr': '空间不大，还是不错的。20字20字20字20字20字20字20字20字20字20字20字20字20字20字', 'star': 5}
{'descr': '床有些潮，房间小了些。除了这些都很棒了，酒店位置很好，性价比很高。', 'star': 3}
{'descr': '地点很好，就在地百对面，虽在胡同里面但是路标指示的很清楚。酒店很安静可说是闹中取静，房间还干净，就是小点。酒店没有吃白饭的地。但周边有很多北京小吃', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '＋位置不错，适合自己出去随便走走', 'star': 3}
{'descr': '很好的酒店  院子很古朴，后海边上 有味道  床舒服', 'star': 5}
{'descr': '这个价在这么好的地段，真是太值了！而且酒店很干净，设施也不错。晚上去后海，南锣鼓巷都很方便~', 'star': 5}
{'descr': '入住的是二百八十三一晚的房间，房间除了挤空间小了点外其它都很好。坐五路就到，安静通风，酒店有地图送和出租自行车很贴心', 'star': 3}
{'descr': '位置很好，紧靠鼓楼大街和后海，老北京味道浓，闹中取静', 'star': 5}
{'descr': '感觉还不错，如果想逛北京的胡同这里比较方便，想去簋街吃饭，坐公交车也不远', 'star': 5}
{'descr': '卫生/条件都好,服务不错.', 'star': 3}
{'descr': '  还算可以吧，就是太远了，交通不是和方便  还算可以吧，就是太远了，交通不是和方便', 'star': 5}
{'descr': '酒店挺新的，离后海雍和宫都挺近的，服务员态度也灰常好～唯一问题就是隔音效果太差了～走廊里说话都能听的一清二楚~~', 'star': 5}
{'descr': '位置真的很好！房间很干净 是新的房子 就是窗户外面是发动机 声音有点大', 'star': 5}
{'descr': '优点:前台工作人员热情,房间很舒适安全,浴室有灯暖.不足:不知道是否是因为五一假期,卫生应该可以更好一点.我想我下次还会选择这里.', 'star': 5}
{'descr': '酒店环境不错，交通还算方便。只是订的房间对着变压器感觉不太好。厕所有烟头还没冲走', 'star': 3}
{'descr': '酒店挺新挺干净的，不过在胡同里有点难找，门口有一张很有爱的告示“本院花草体弱多病，近日已经打药…”，另，房间挺小，没有早餐。', 'star': 3}
{'descr': '酒店服务员都很好很好,酒店干净,几分钟步行就到前海后海,钟鼓楼,十来分钟到南锣鼓巷,步行到紫禁城北门和景山不到半小时.\n', 'star': 5}
{'descr': '隔音差点/干净整洁/倒是安静', 'star': 3}
{'descr': '正在修建地铁，以为很难找，不过很顺利地找到了，在地安门百货商场斜对面，墙上乐盟酒店四个字很容易看到。没到前，一直很忐忑，怕环境、卫生等不好，到了之后，看到小院很干净、也很清静。屋内的环境也很好，冷热水24小时供应，很方便，就是屋子有些小。不过在这样寸土寸金之地，还是很好的。服务也非常好，快捷、热情，安全也较好。出了胡同，街对面就是后海，还有北京少有的斜街（烟袋斜街），离鼓楼非常近，离地铁站有些远，', 'star': 5}
{'descr': '位置很好找，离南锣鼓巷和后海都很近。酒店很干净，前台服务态度很好。', 'star': 5}
{'descr': '，环境好', 'star': 3}
{'descr': '小家碧玉，挺好！...................................', 'star': 5}
{'descr': '安静，卫生条件好，服务态度好，不过在胡同里，有点难找', 'star': 5}
{'descr': '酒店地理位置比较好，未于后海和南锣鼓巷之间（步行即可到达）；酒店设施相对较新，比较干净；价格低廉，较同一地理位置的别家酒店价格低好多。', 'star': 5}
{'descr': '不错！服务很热情，也很细致，很替我们客人着想，知道我们是带病人到附近看病，头天晚上还跟我们打电话说第二天有大风，让我们多穿衣服，挺温暖的，而且最好的是这家酒店很安静，在很好的地段的胡同里，不错！值得推荐！以后我们还是会来这家温暖的酒店！', 'star': 5}
{'descr': '挺不错的酒店，交通便利，干净整洁，虽然离马路不是很远但是很安静', 'star': 5}
{'descr': '1.服务比较热情\n2.交通便利，出胡同就可以打车，不过坐地铁得坐一站地才行\n3.出胡同对面就有超市，各种餐厅，后海酒吧街，烟袋斜街，总之各方面都比较方便\n', 'star': 5}
{'descr': '新开的，位置很好，适于休闲度假，下次还要去。', 'star': 5}
{'descr': '不错！得表扬一下！！！\n    我每年都会来北京的雍和宫烧香，一般会停留个一到两天，个人一直很喜欢老北京风格的胡同酒店，但是这类酒店多数有个弊端，不是很吵就是杂乱，这家酒店好像是新开业的，抱着尝鲜的态度，这次定在了这里，个人总结了一下这家酒店有以下几个值得表扬的地方：\n1、位置很棒：晚上步行几分钟就可以到对面的后海酒吧街和烟袋斜街（一条古香古色的酒吧街），并且惊喜的发现，出了胡同马路对面还有一个古', 'star': 5}
