{'descr': '太差了！再也不会住这酒店了，是的也怪自己贪图便宜！', 'star': 3}
{'descr': '环境一般般', 'star': 4}
{'descr': '不错', 'star': 5}
{'descr': '虽然旧了点，但是还行，交通方便。', 'star': 5}
{'descr': '酒店环境真的不怎么样，去一次就不想再去第二次了。', 'star': 2}
{'descr': '离汽车站不太远，坐车还是比较方便的，附近的吃饭的地方比较多，吃饭比较方便，附近应该是商业街了，可以有地方打发时间。', 'star': 5}
{'descr': '好', 'star': 5}
{'descr': '说实话，是我住过最差的连锁酒店。卫生间的地漏不通，一整都是阴沟水的味道，被臭醒的，该装修了。地理位置还行，前台服务员也可以，但硬件设施要跟上才好啊', 'star': 3}
{'descr': '房间小，价格贵，服务设施不全，没有洗漱品，房间也不隔音。还没有停车场，开车的最好不要去那里住。', 'star': 4}
{'descr': '房间可以，就是有点小，他们家牙刷都得自己那个，前台小大哥不错', 'star': 5}
{'descr': '十一期间住的，由于是提前预定的，性价比高。房间非常潮湿，门是找人修了才能锁上的，希望改进。', 'star': 3}
{'descr': '二楼在拆东西，早上6点多就开始，不太满意', 'star': 4}
{'descr': '无线网太差，房间很的漆很脏了，下次不会再住', 'star': 3}
