{'短评内容': '严重差评，前台脑子令人无语，总之各种差', '短评打分': 1}
{'短评内容': '朋友代订，没说不好', '短评打分': 5}
{'短评内容': '经济舒适酒店', '短评打分': 5}
{'短评内容': '卫生差', '短评打分': 2}
{'短评内容': '前台服务很好', '短评打分': 5}
{'短评内容': '差！', '短评打分': 1}
{'短评内容': '在网上订的酒店 前台很热情 这价位的酒店里面设施还可以 就是洗完澡地上的水流不下去 洗漱弄湿了鞋 热水壶的线都断了 希望酒店做好检查更改工作', '短评打分': 3}
{'短评内容': '房间不大，设施一般，卫生一般般', '短评打分': 3}
{'短评内容': '房间不大，卫生一般般。服务一般般。', '短评打分': 3}
{'短评内容': '挺好的，只是赶上国庆放假，房费提高，贵死了', '短评打分': 5}
{'短评内容': '还可以吧，离展馆近，为什么什么的都不错。在小区内，下面有烧烤，有小吃，不错。', '短评打分': 5}
{'短评内容': '我去西安的时候就住的这家酒店，性价比很高，经济实惠，早餐很不错！', '短评打分': 5}
{'短评内容': '酒店位置离展会很近，是在小区里，网络根本上不去的！！', '短评打分': 1}
{'短评内容': '卫生间味道很重，还有淋浴的水下不去，洗澡时候水会满到房间里面！！！', '短评打分': 1}
{'短评内容': '还好吧，就是手机信号不好。、还好吧，就是手机信号不好。', '短评打分': 5}
{'短评内容': '以后参加展会的朋友就住这里吧，吃饭很方便，走到展馆就几分钟……强力推荐！', '短评打分': 5}
{'短评内容': '还行吧，就是房间有时没有手机信号有时很弱，打电话要到房间外面。其他的还行了。总之还是比较满意。', '短评打分': 5}
{'短评内容': '地理位置挺方便的，房间环境也很好，很不错，服务也很周到。。整体感觉都很不错，唯一不足的地方，前台不能刷卡，专门去趟银行取现，大晚上的还下着雨。。', '短评打分': 5}
{'短评内容': '新开的一家快捷酒店，设施非常的新，装修后的味道不大，服务员的态度热情周到，不足之处：热水有些小，没有发票。', '短评打分': 5}
{'短评内容': '这个酒店房间比较差，墙面渗水，墙面都是湿的，进屋一股潮气味，网速极慢，窗户是封死的，打不开，不是24小时热水，不能开发票，如果要发票，只能给餐饮票，或者购买发票，需缴纳税金，我经常出差，没遇过这样的酒店。', '短评打分': 1}
{'短评内容': '新开的店，设施都挺新的，晚上比较安静，服务员服务热情，外面交通也方便，楼下就有市场吃饭。唯一的不好：现在还没有发票。', '短评打分': 5}
{'短评内容': '挺满意的', '短评打分': 3}
