{'短评内容': '设施老旧，上楼没有门禁。灯光昏暗，房间不透风，很闷，100元的房间就这样了，对背包客，将就住一宿也可以。', '短评打分': 3}
{'短评内容': '计划住一天，住下觉得挺方便，又续了一天。欧式装修，主要是位置好，干净，价格还实惠，以后来成都就住嘉立', '短评打分': 5}
{'短评内容': '第二次住嘉立了，上次来住的天府科技馆后面哪家，立天府广场，春熙路都近，离地铁站也近，出行方便，周围好多饭馆，太方便了，下次来还住这家。', '短评打分': 5}
{'短评内容': '太冷了没吹风机', '短评打分': 5}
{'短评内容': '环境挺不错的，价格挺实惠的，服务态度也挺好，设备齐全，床也舒适！', '短评打分': 5}
{'短评内容': '不错。。。。。', '短评打分': 5}
{'短评内容': '不错。。。。。。', '短评打分': 5}
{'短评内容': '很不错，这个价位还说啥，离成都体育中心近，跟团游上车方便。', '短评打分': 5}
{'短评内容': '不错。。。。。。。。', '短评打分': 5}
{'短评内容': '和想象中确实差了点，但还行', '短评打分': 5}
{'短评内容': '还不错 经济适用型', '短评打分': 5}
{'短评内容': '酒店设施很一般了 价格摆在这 位置不错 在小街小巷里 ', '短评打分': 3}
{'短评内容': '还是不错滴', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '位置很好找，就在路口。周边干净，很方便，啥都有。很满意', '短评打分': 5}
{'短评内容': '很好、格局什么都挺好的。舒适666666666666666666666666666666666666', '短评打分': 5}
{'短评内容': '交通便利，房间设施比较齐全，卫生也不错，整体满意', '短评打分': 5}
{'短评内容': '感觉很好啊。附近的街道很繁华。但是刚刚好晚上又不吵。特别舒服', '短评打分': 5}
{'短评内容': '感觉很舒适', '短评打分': 5}
{'短评内容': '装修老，还算安静，出现方便。', '短评打分': 4}
{'短评内容': '服务还不错，就是房间的床真有一股发霉的味道', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
