{'短评内容': '风景很美', '短评打分': 5}
{'短评内容': '喜欢住这个酒店', '短评打分': 5}
{'短评内容': '房间隔音，窗外景色宜人，服务态度超好，帅哥美女很养眼。旁边有海港城，可以去逛逛。晚上可以看维港的夜景！', '短评打分': 5}
{'短评内容': '环境真不错，交通便利，楼下有地铁', '短评打分': 5}
{'短评内容': '环境优美，景观一流，停车小贵', '短评打分': 5}
{'短评内容': '设备一般', '短评打分': 5}
{'短评内容': '好，位置好，服务好。每次去香港都住这里。', '短评打分': 5}
{'短评内容': '房间服务都是超级棒的。就是退房时前台取消与授权未受理成功，后续打了好几次电话去香港丽思卡尔顿要求解除（国际长途费啊），可是给予的回复都是已经递交银行处理了。结果我的信用卡预授权额度占用仍然没得到处理，直至一个多以后期限达到银行自动解除的。时间一个多月才能解除预授权，实在有些不爽！', '短评打分': 5}
{'短评内容': '风景很好，服务很棒', '短评打分': 5}
{'短评内容': '高大上的酒店', '短评打分': 5}
{'短评内容': '还是挺不错的，...', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常非常好的酒店', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '丽思卡尔顿，一个永远不会让你失望的地方！升级的房型、贴心的美女管家，超棒的行政酒廊……必须要提的一点是绝对方便！一切都是为你而来！很棒！！！', '短评打分': 5}
{'短评内容': '还可以 住了很多次了', '短评打分': 5}
{'短评内容': '服务很好，位置不好，环境很好，还会再住', '短评打分': 5}
{'短评内容': '高层很赞，出行方便，楼下的圆方购物餐饮都有。', '短评打分': 5}
{'短评内容': '代朋友预定，反应不错，下次还住这家！', '短评打分': 5}
{'短评内容': '棒', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 3}
