{'短评内容': '价格便宜，性价比不错', '短评打分': 5}
{'短评内容': '商家蛮热情！', '短评打分': 5}
{'短评内容': '环境不错，不吵人，本来是住在景区外面的，可是我们到的点实在是不太好，所以老板很大方的让我们住到东栅里面去了！又接又送的，人很好', '短评打分': 5}
{'短评内容': '不错，老板挺好的', '短评打分': 5}
{'短评内容': '实话实说本室内设计师', '短评打分': 3}
{'短评内容': '房间还算可以吧，老板人很好！', '短评打分': 5}
{'短评内容': '环境特别好 老板人也好 十一人多 还特意告诉我们怎么买票去哪买票人少 距离景区也近 周边也有超市 饭店 住一起很方便 下次去还会来这家的', '短评打分': 5}
{'短评内容': '因火车晚点，到长途汽车站时，天己黑，不分清方位便联系黄老板，估计在长途汽车站等了不到1分钟，老板开着商务车来接我到客栈，给老板的热情和周到的股务点个赞。出客栈左手边是东栅景区……方便，右手边走几分钟就是西栅景区，我会将好运来客栈推荐我同事和朋友', '短评打分': 4}
{'短评内容': '节庆出行，环境一般，服务还行吧', '短评打分': 4}
{'短评内容': '老板人很好 棒棒哒！', '短评打分': 5}
{'短评内容': '很好啊！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 3}
{'短评内容': '很不错啦咯啦咯啦咯啦咯啦咯啦咯啦咯', '短评打分': 3}
{'短评内容': '环境挺不错的，离景区有点距离，得走一会', '短评打分': 4}
{'短评内容': '如图', '短评打分': 2}
{'短评内容': '设施陈旧 卫生一般 可能装修也没多大意义了吧 毕竟周边环境摆在那边 离乌镇东栅还算比较近 节假日 价格贵也没办法', '短评打分': 3}
{'短评内容': '还是挺近的 挺方便的。。。 建议不要贪图便宜', '短评打分': 5}
{'短评内容': '一般吧，老板到是挺好的，会去车站接送，离东栅近，西栅就有点远，到那才知道，西栅内也有住宿的，但价格要比这贵些。。。', '短评打分': 5}
{'短评内容': '老板人特别好！接送到汽车站！非常满意', '短评打分': 3}
{'短评内容': '服务特别的好  老板也会开车直接去车站接你  下次去还会住他家的 \n', '短评打分': 5}
{'短评内容': '老板非常热情，用自家的面包车免费接站，家庭式宾馆，还可以啦。景区内的住宿环境虽然好，但价格也非常好。如果对住宿条件要求不是很高的话，这一家还是不错的选择。', '短评打分': 5}
{'短评内容': '在乌镇来说酒店还不错，干净整齐，就是热水有点少哦，两个人不够洗', '短评打分': 5}
{'短评内容': '这店主特好!从到乌镇的车站直至离开乌镇都有店主的小车接送，知道他和妻子小俩口辛劳经营旅店，对旅客像有回家的感觉了!\n好运来!感谢你!!', '短评打分': 5}
{'短评内容': '房间比较干净，老板也很热情，值得。', '短评打分': 3}
{'短评内容': '环境比较恶劣。离景区较远。和预期相差太远。虽然店家的人还不错，但是不建议入住。', '短评打分': 1}
{'短评内容': '不好，不值！200一晚都不值，竟然收了430', '短评打分': 3}
{'短评内容': '好 快捷干净。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还可以吧，对得起这个价钱了，交通还比较方便，离景区近', '短评打分': 5}
{'短评内容': '环境一般 离车站和东西栅也很近 ', '短评打分': 3}
{'短评内容': '卫生间还没开始用就满屋子卫生间的臭味，家居很破旧，因为是临时才决定去的，所以没有来得及了解 就定了。很脏很脏，感觉卫生间坐便都不会消毒那种。', '短评打分': 1}
{'短评内容': '房间硬件设施不尽人意，路边的房间建议老板换成双层塑钢窗，这样隔音效果好些。还有就是老板，老板娘很热情。', '短评打分': 5}
{'短评内容': '环境不是一般的烂，还不如订其它地方的，失望！！', '短评打分': 1}
{'短评内容': '老板很热情 客栈的设备不怎么样 特别是卫生设施 看来去乌镇玩还是要住景区里好', '短评打分': 5}
{'短评内容': '这家客栈和照片上的差别有点出入，设施太简单，洗澡太纠结...隔音效果不理想...离东栅倒是蛮近的，人真多！', '短评打分': 1}
{'短评内容': '周边的景色很好，而且离核心的旅游景点很近，十分方便，推荐大家这家。', '短评打分': 5}
{'短评内容': '这家酒店服务非常好！卫生状况也很好，设施也比较齐全。', '短评打分': 5}
{'短评内容': '除了老板和老板娘态度不错，能去车站接我们，指引方向。其他的真的很一般。房间很小，330元一晚，卫生间一直有异味，房间内的设施很差，比如洗漱的地方裂了几道口子，床头柜的灯不亮，拖鞋很脏的那种。如果为100元/晚，那性价比就还行。', '短评打分': 1}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '总体服务和环境都不错！下次还来!。。。。。。。。。', '短评打分': 5}
{'短评内容': '店主人非常好，很细心。还来车站接我们。环境也是不错的哦，交通还很方便。好呀……', '短评打分': 5}
{'短评内容': '老板非常的nice.\r\n在有时间的情况下，能到车站接送、能送你到西栅', '短评打分': 5}
{'短评内容': '宾馆还可以，不错。', '短评打分': 5}
{'短评内容': '卫生和环境太差了，交了钱没住就回上海了，不会再去了，太失望了。', '短评打分': 1}
{'短评内容': '+服务态度很好', '短评打分': 5}
{'短评内容': '十还行吧', '短评打分': 5}
{'短评内容': '房间很干净，很实惠，服务很周到，服务人员很热情，。很满意！', '短评打分': 5}
{'短评内容': '感觉还不错，服务也挺好 性价比高，在乌镇游玩住在这里感觉很舒适，惬意。', '短评打分': 5}
{'短评内容': '性价比蛮好的酒店，房间很干净，服务不错，下次还会住的', '短评打分': 5}
{'短评内容': '世博期间连周边的酒店都涨钱，周末价格偏贵，设施也一般，老板人不错，还送我们到长途站了，周边饭馆、超市还是很便利的。', '短评打分': 5}
{'短评内容': '除了老板跟老板娘人比较好以外其他的都不太满意.', '短评打分': 1}
{'短评内容': '基本上就是一家小旅馆，房间里面基本上是锈迹斑斑还有点发霉。', '短评打分': 1}
{'短评内容': '那个住宿我也只会来一次，条件太差', '短评打分': 1}
{'短评内容': '位置还是不错的，比较方便，离东栅很近，设施简陋，房间其他条件也一般，但是老板很热情，人很好。', '短评打分': 5}
{'短评内容': '酒店条件比较简陋，但很便宜，老板比较热情', '短评打分': 5}
{'短评内容': '转了好几家，最后定了这家相对便宜的，我住的单人间，不是很大。', '短评打分': 5}
{'短评内容': '有电视和空调，但空调好像是收费的，反正我也没用；位置还好啦，离车站近。', '短评打分': 5}
{'短评内容': '位置可以，离汽车站很近，出行方便。', '短评打分': 5}
{'短评内容': '老板开车来接的我们，很热情也很健谈，非常有人缘。', '短评打分': 5}
{'短评内容': '客栈态度挺谨慎，来访的人需要登记，工作人员也热心，其他方面就一般了。', '短评打分': 5}
