{'短评内容': '保安差点了，其他都很好，以后还会住', '短评打分': 4}
{'短评内容': '还不错，干净', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '还可以，就是比较老了，设施比较旧，有点潮。对面有个小吃城，可以吃夜宵。', '短评打分': 1}
{'短评内容': '酒店还可以，干净整洁，家具都是藤制的，还有个小冰箱', '短评打分': 3}
{'短评内容': '管理很好，服务很好，早餐有待改进。下次还会入住。推荐入住。周边环境餐饮购物较方便。', '短评打分': 5}
{'短评内容': '尽管设施是有些旧, 但还是对得起这个价钱的. 总体印象不错, 推荐.', '短评打分': 5}
{'短评内容': '第一次住在城阳这边，感觉房间设施太旧了！', '短评打分': 1}
{'短评内容': '地理位置不错 在城阳中心区 距离机场不远 如果在机场附近办事可以考虑\n酒店有点旧了 不过服务还过得去 就是早餐不太好\n总体讲性价比还不错了 可以入住\n', '短评打分': 5}
{'短评内容': '周边交通比较方便，就是价位有点高，可能跟目标客户是韩国人有关系，但是如果价位能在200以下，我觉得竞争力会更大。', '短评打分': 5}
{'短评内容': '很不错的星级酒店，管理很好，按时打扫卫生，卫生做的也很彻底。', '短评打分': 5}
{'短评内容': '性价比很好，距离青岛流亭机场也很近，卫生也非常好。很舒适的酒店。', '短评打分': 5}
{'短评内容': '房间卫生做的很好，很彻底。看不到一点灰尘，床铺也很舒适。', '短评打分': 5}
{'短评内容': '酒店的地理位置很好周围有大型超市商场，逛街购物也很方便。', '短评打分': 5}
{'短评内容': '翰源酒店地理位置优越，市中心地段，去机场的话也很方便，周围环境也很好。', '短评打分': 5}
{'短评内容': '地理位置很好，市中心地段，出行交通方便，设施环境也很达标，还不错的星级酒店。', '短评打分': 5}
{'短评内容': '青岛翰源酒店整体算是很不错的，服务管理方面需要加强，硬件配置都还好。', '短评打分': 5}
{'短评内容': '位置挺方便的，距离机场也很近，赶飞机的客人不错的选择。整体都很ok。', '短评打分': 3}
{'短评内容': '喜欢翰源酒店的装潢布置，看上去简洁大方，卫生服务也非常好，很值得推荐入住。', '短评打分': 5}
{'短评内容': '翰源还好吧，还不错的一家星级酒店，隔音效果也很不错，距离机场近但也不会吵。', '短评打分': 3}
