{'短评内容': '可以，房间装修有点旧。', '短评打分': 5}
{'短评内容': '设施一般，不过还算干净，洗澡的设施有待改善', '短评打分': 4}
{'短评内容': '网速真快房间大', '短评打分': 5}
{'短评内容': '卫生间很旧，排气扇是坏的，台灯是坏的，房门没有防盗拴，窗户只能开一个很小的口，才8点多早餐就没有炒饭了，这些都能忍。最糟糕的就是服务差的不能忍受。一副爱理不理爱住不住的样子。以后不会再去了。', '短评打分': 3}
{'短评内容': '位置不错，在江边，卫生干净，价格合适。', '短评打分': 5}
{'短评内容': '感觉不错，房间很干净早餐丰富', '短评打分': 5}
{'短评内容': '一切都是可以接受的，毕竟是一个县城有这样的宾馆可以了', '短评打分': 5}
{'短评内容': '不错！！！', '短评打分': 5}
{'短评内容': '不错！！！', '短评打分': 5}
{'短评内容': '奉新常住的一个酒店了，自然环境好，隔音效果不错，枕头舒服，空调给力，长途免费，停车方便，吃凡方便，值得推荐', '短评打分': 5}
{'短评内容': '不错的不错的不错的不错的 不错的', '短评打分': 5}
{'短评内容': '各方面都不错的酒店，但是携程设计得太差，定不同房型的同一家酒店，要退到首页重新开始?', '短评打分': 4}
{'短评内容': '各方面都不错的酒店，性价比也很高，值得推荐', '短评打分': 4}
{'短评内容': '还不错，不过服务要提升，充电器服务员都不送', '短评打分': 3}
{'短评内容': 'check in的时候，前台竟然说不接受携程网上订单，也是醉了。。。携程应该停止与这类三流酒店的合作。设施陈旧，服务差，吵闹。。。', '短评打分': 1}
