{'短评内容': '前台服务员态度很不好，跟客人吵架，本人从携程网上预订了大床房一间，预订成功，到酒店前台时服务员说没有大床房，本人回答给前台携程预订是有大床房也成功预订的，前台说这不管酒店事，你跟携程解释吧，这明明是酒店跟携程的问题，我大老远跑到酒店入住，现在没有房子，前台开始跟我吵架，后来前台给经理打电话，经理立刻给我安排了房间这叫专业，前台多学下经理的做法，前台这样的脾气真不适合服务行业，希望前台遇到问题再次以', '短评打分': 3}
{'短评内容': '太偏', '短评打分': 4}
{'短评内容': '位置靠近湿地公园', '短评打分': 4}
{'短评内容': '环境很好房间也挺干净的', '短评打分': 4}
{'短评内容': '酒店设施挺好，就是电视机有点老，无线设施不太好。', '短评打分': 5}
{'短评内容': '该酒店位置应该是拉萨最好的地段，因为酒店正对面就是俗称拉萨之肺的拉鲁湿地，即壮观又美丽。比起拉萨其他地方湿度大空气质量高。酒店服务可以，房间大，被子枕头很舒服满意。浴巾毛巾没得说！酒店设计方面不科学的是把救命的防烟罩放在洗漱间的放睡衣的柜子里。如果真发生火灾后果可想而知。建议防烟罩放在最方便最容易发现的地方。我住的是十楼，刚进房间全是卫生间的味，要求换房，就安排在隔壁房，虽然房间里没有那个难受的味', '短评打分': 5}
{'短评内容': '酒店的楼层太高，缺氧，不太舒服', '短评打分': 5}
{'短评内容': '拉萨边上、满大街灰尘、前台业务不精态度生硬、停水、停电轮流发生，如果这些我都可以忍，但是客房上网真的难以忍受，房间的网压根登不上，只能蹭隔壁和楼上楼下的无限，慢的吐血、拼命掉线，我似乎在朝鲜一样，一部20分钟的手机视频级别的短片断断续续足足看了一个小时！近800的房费啊！一楼前台三位服务员，几天来一直板着个脸！', '短评打分': 3}
{'短评内容': '什么都差，不知道携程能合作出什么，越来越差劲！', '短评打分': 1}
{'短评内容': '设施旧了点，其它都还好！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '住了3晚，性价比感觉一般，离市区较远，逛街不方便', '短评打分': 3}
{'短评内容': '还行，', '短评打分': 5}
{'短评内容': '环境比较安静，在西藏休息好很重要。对酒店比较满意', '短评打分': 5}
{'短评内容': '离市中心不远，设施挺不错。', '短评打分': 5}
