{'短评内容': ' 实惠…服务也不错…我是半夜一点入住的…很热心', '短评打分': 3}
{'短评内容': '被的哥给带到1店，不过相距不远，总体还可以吧，小巧', '短评打分': 5}
{'短评内容': '小，去了一店，比一店的还小一圈。隔音效果不太好。洗发水沐浴露什么的也没有，牙刷也只有一把，因为是半夜1点多才进店，所以没去要。这看出服务还是差了那么一点。', '短评打分': 5}
{'短评内容': '＋很干净，精致，服务态度也很好， 住着也很舒服，绝对的实惠型旅店，给人感觉很好', '短评打分': 3}
{'短评内容': '很好干净整洁', '短评打分': 3}
{'短评内容': '舒适。离机场近，。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '距机场，火车站都挺便利的。单间只有一个人的日用品', '短评打分': 5}
{'短评内容': '干净清爽。离机场打车只要15分钟，起步价。有宽带，没有无线。', '短评打分': 5}
{'短评内容': '挺好的，还可以唱歌', '短评打分': 3}
{'短评内容': '毗邻机场，有点吵，不过总体还是不错。支持一下！', '短评打分': 5}
{'短评内容': '房间小了点不过99块一晚 还是值的 房间色调也很温馨 非常经济实惠 感觉还是不错的 ', '短评打分': 5}
{'短评内容': '挺好的，干净安静，不过很小，不过性价比很高，但要注意的是，这个是二店，离这个店不远处还有一个三店，大家要是信用卡担保的要注意确定是哪个店，另外这里离虹桥机场很近，到二号航站楼只要起步价', '短评打分': 5}
{'短评内容': '环境还不错，就是房间稍微小了点，，卫生条件也还好~~~~~~~~~~', '短评打分': 5}
{'短评内容': '第一次住，整体感觉还行，卫生间打扫有死角~！', '短评打分': 5}
{'短评内容': '酒店干净整洁，价格合适！只是隔音效果不是很理想！', '短评打分': 5}
{'短评内容': '价格便宜，服务好，环境好，位置好，装修好！', '短评打分': 5}
{'短评内容': '挺干净的，小巧精致，服务态度也很好，最主要离虹桥机场很近，过去较方便。', '短评打分': 5}
{'短评内容': '房间虽小  但是设施还比较齐全的 比较温馨', '短评打分': 5}
{'短评内容': '还好！就是房间略小', '短评打分': 3}
{'短评内容': '还不错，价格合理，满新的，也挺干净，就是隔音有点差，这个是旅馆的通病吧！', '短评打分': 5}
{'短评内容': '虽然小但很干净很温馨，99元这个价是超值了', '短评打分': 3}
{'短评内容': '空间有点小，，但算干净，，交通便利，性价比高，推荐入住', '短评打分': 5}
{'短评内容': '超级小的房间，一会儿一断电，电视是网络的那种，断一下就得重新连半天，没电话，有事只能下楼找前台，窗销是坏的关不上，隔音就更差了，一晚几乎没怎么睡。离机场步行半小时吧，打车起步价，不过去机场的路有点僻静，太早或太晚走还是打车安全。不会再去了。', '短评打分': 1}
{'短评内容': '很好，不错，会再次光临的！！！房间设施齐全，简单，是我喜欢的类型', '短评打分': 5}
{'短评内容': '房间设计合理，充分利用了所有德空间，就是洗手间没有门感觉怪怪的。', '短评打分': 5}
{'短评内容': '一切都比较简约，洗簌用品太少，都没梳子；洗头、洗脸和沐浴液竟然是一液多用，比较郁闷。不过价钱倒是便宜。有空调，在上海这个地方，这个价位，这样的酒店也算还行！', '短评打分': 5}
{'短评内容': '被子和枕头都发黄有灰尘', '短评打分': 3}
{'短评内容': '缺点：小归小，隔音还不好。\n优点：干净、便宜、打的到虹桥15-16块。', '短评打分': 5}
{'短评内容': '房间除了有点小外其他都感觉不错，毕竟价格方面实惠。', '短评打分': 5}
{'短评内容': '此酒店服务有点差,卫生条件差,床上头发太多.', '短评打分': 1}
{'短评内容': '从虹桥机场到此地打的只要18，旁边有全家，不错。', '短评打分': 3}
{'短评内容': '干净，物有所值。就是地方不太好找。其他没啥。', '短评打分': 5}
{'短评内容': ' 对得起这个价格，床睡着还挺舒服，就是床单有点脏，就睡5个小时也就忍了', '短评打分': 3}
{'短评内容': '这价格还行。也就过夜一下。救急了。离虹桥近，这点很方便。', '短评打分': 5}
{'短评内容': '帮朋友定 的，不错，上次住过一次，挺方便', '短评打分': 5}
{'短评内容': '离虹桥一号航站楼很近，如果赶早班飞机，住到这里相当方便。', '短评打分': 5}
{'短评内容': '总的感觉  远远比不过 锦江之星  订好大床房，还特地提前打电话去说明 晚上 12点后到但是 。。。。拖鞋等等一切只有一套而不是2套。。。。\n遗憾   ', '短评打分': 1}
{'短评内容': '除了价格便宜，没有什么可以说的了，面积很小，只够睡觉。', '短评打分': 5}
{'短评内容': '打车不方便，而且司机也很难找到的。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '房间很温馨，价格也合适。交通便利，环境优雅。', '短评打分': 5}
{'短评内容': '还可以的 比较温馨 房间没电话', '短评打分': 3}
{'短评内容': '房间小但是很干净，卫生间没有门，服务很好，整体比较满意，多住了一天。', '短评打分': 3}
{'短评内容': '房间蛮干净的，就是空间小得可以，还有居然拖鞋没有！不知是刚好碰上还是节约成本！', '短评打分': 3}
{'短评内容': '距离机场很近，出了虹桥火车站坐中桥枢纽1号线到航新路站下，走59米就看到宾馆了，很方便', '短评打分': 5}
{'短评内容': '房间太小，距离机场火车站较远，价格便宜，谢谢', '短评打分': 1}
{'短评内容': '为什么良好，服务不错，就是小了点啊。。。。', '短评打分': 5}
{'短评内容': '是性价比非常好的过客居住店，环境也较为满意！', '短评打分': 5}
{'短评内容': '挺干净，比较实惠，房间隔音效果不是很好，总体还不错', '短评打分': 5}
{'短评内容': '价格很实惠，很适合出门在外只需要短暂住宿的朋友。', '短评打分': 5}
{'短评内容': '这个价位还算不错', '短评打分': 3}
{'短评内容': '经济实惠。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '干净整洁，离机场较近，打的5分钟，起步价，不行到T1也就20多分钟。就是房间太小。', '短评打分': 5}
{'短评内容': '离虹桥很近，但是隔音不好\n装修风格和布丁很像，干净清新', '短评打分': 5}
{'短评内容': '很值啊，和汉庭海友可以比。5分。满分。就是打的从虹桥去酒店，花了18元。', '短评打分': 5}
{'短评内容': '房间很干净，很好。', '短评打分': 3}
{'短评内容': '比较干净，服务不错，前台很热情，就是停车位不太好', '短评打分': 5}
{'短评内容': '离机场较近，房间简洁，服务OK，只是周围找吃的很难。', '短评打分': 5}
{'短评内容': '很干净，很整洁的小店，不错~！只不过在虹桥有两家店，我们不知道去了第一家，幸亏离的不远，就5分钟，走路就过去了，总体来说不错，值得推荐', '短评打分': 5}
{'短评内容': '房间比较小，洗澡水蛮好的，但就是不喜欢厕所没门', '短评打分': 3}
{'短评内容': '还不错，离机场挺近的，打车起步价就到了，下次还会考虑住这里', '短评打分': 5}
{'短评内容': '环境还不错，小小建议，牙膏没有小盖没发打开！只能从底部挤出来', '短评打分': 3}
{'短评内容': '服务不错', '短评打分': 3}
{'短评内容': '比较优惠，整洁舒适，就是房间太小太小，打85分咯', '短评打分': 5}
{'短评内容': '\n便捷，舒适，实惠，干净，温馨！', '短评打分': 3}
{'短评内容': '挺干净比较舒适 性价比很好', '短评打分': 3}
{'短评内容': '房间还不错就是有点小，毕竟价格不贵，算是物有所值了', '短评打分': 5}
{'短评内容': '~~房间不错，地面过滑易摔倒，经济实惠~~', '短评打分': 5}
{'短评内容': '离机场打车要十分钟，二十六元，周围都是快递公司货运的地方，交通不算很方便。', '短评打分': 3}
{'短评内容': '还可以，挺干净的的，十个不错的选择，就是一次性鞋子太次了', '短评打分': 5}
{'短评内容': '离机场近，性价比高。晚上比较晚到的话打车困难，出租车司机不愿意拉。白天的话可以走过去或者公交。\n比较适合对住宿条件没有很高要求的人。设备基本齐全。但是房间比较小，无窗，隔音一般。', '短评打分': 5}
{'短评内容': '离机场近，便宜。挺好的。就是不太安静', '短评打分': 3}
{'短评内容': '麻雀虽小，五藏俱全，窗户被封上了的，但是还好有空调，感觉还可以。', '短评打分': 3}
{'短评内容': '半夜入住.打了三遍电话才把地址说明白.不过最后终究是顺利入住.淋浴水比较充足,很舒服,离九号十号线都公交两三站地,比较方便', '短评打分': 3}
{'短评内容': '房间很小，隔音很差，旁边是ktv那声音跟地震似的，以后再不住了', '短评打分': 3}
{'短评内容': '环境太吵了，旁边的KTV要到晚上1点才结束,房间需要提供点洗发水，另外卫生间需要加个门，不然水汽都在房间里。其它都还不错，', '短评打分': 5}
{'短评内容': '额   说近也不近的    而且酒店没电话  一次性用品也不齐全  要求高的人慎选 而且没有地铁或者公交枢纽  只能打的  ', '短评打分': 1}
{'短评内容': '房间还不错，蛮干净整洁的，唯一的遗憾就是店牌很小很不显眼，从机场打车一路过去竟然没发现，走过了…', '短评打分': 3}
