{'descr': '不错，如果来附近的地方可以住一住。空间很大', 'star': 1}
{'descr': ' 房间不错 卫生条件好 就是洗浴用品有待提高', 'star': 3}
{'descr': '酒店地理位置有点偏僻，连出租车都找不到，最后好不容易找到了，设施还可以，卫生也不错。', 'star': 5}
{'descr': '总体来说还可以，热水洗澡有点那啥，要放个把小时的水才有热水，设备需完善', 'star': 5}
{'descr': '服务一般，早餐非常单调，时间不准时。卫生间排水设计有问题，洗澡水不能及时排除。\n有时候没有热水。卧具比较干净。', 'star': 1}
{'descr': '很好', 'star': 3}
{'descr': '该酒店条件还可以，比较干净，也挺安静。就是早餐太简单。，希望能丰盛些。酒店标志不明显，不太好找。酒店大堂也过于家小。', 'star': 5}
{'descr': '非常偏僻。适合举办会务。但不适合外出旅游者。', 'star': 1}
{'descr': '软件差，发了早餐卷，但食堂厨师及工作人员竟然没来上班。', 'star': 1}
{'descr': '基本没有散客入住。可惜了酒店的硬件。没人管理\n基本是村里人的副业，放了10分钟还没热水', 'star': 1}
{'descr': '满意', 'star': 3}
