{'短评内容': '比较差，么海景房基本骗人，', '短评打分': 1}
{'短评内容': '酒店环境好服务好出入方便', '短评打分': 5}
{'短评内容': '酒店环境好服务好出入方便', '短评打分': 5}
{'短评内容': '酒店环境好服务好', '短评打分': 5}
{'短评内容': '停车方便，环境不错。', '短评打分': 5}
{'短评内容': '环境很好，我是和老婆小孩一起出来旅游的，开始订的是没有海景的房间，但是后来看了海景房就不愿意出来了，真的是舒服，就是海景房要贵100块，但不是常来，海景房还是值得！', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '环境不好 卫生一般 离海滩远 不建议家庭出游入住', '短评打分': 2}
{'短评内容': '位置环境太好了，还有停车位', '短评打分': 5}
{'短评内容': '除了床垫硬了点，停车位斜了点，窗关不了，其他都好', '短评打分': 5}
{'短评内容': '位置很好，位于好望角上，海景不错。酒店设施一般，比上次涨价了，有点贵。', '短评打分': 4}
{'短评内容': '环境服务还不错，就是离海淩岛远了点。', '短评打分': 5}
{'短评内容': '不错，离海滩很近，便宜点更好。', '短评打分': 3}
{'短评内容': '酒店位置不在热闹地区，环境好，晚上睡觉不会吵。开车过去大角湾只要几分钟，不影响游玩。海景房的风景很好哦，正对大海，阳台上小坐很惬意。不好的地方就是阳台上的空调主机了，开空调的话就不好去阳台玩了。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
