{'短评内容': '在高尔夫球场里面，环境还不错', '短评打分': 5}
{'短评内容': '一塌糊涂，后悔订这家，是我见过最破最脏的', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '酒店在一个高尔夫球场里，周边很安静，设施一般，早餐简单但在酒店有早餐还是很很方便，周边出去吃早餐不是和你方便', '短评打分': 4}
{'短评内容': '设施不是一般的差。说是早饭，其实是外边路边买的。', '短评打分': 2}
{'短评内容': '出行较方便，性价比很高', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '性价比还不错，就是位置不易找', '短评打分': 4}
{'短评内容': '景色美绝，直接俯视整个球场，超级棒！双人间面积很大，且有微波炉冰箱洗衣机等设备。阳台也大，还拉了条绳子方便晾衣服。床上用品还算干净吧。 缺点是：淋浴的热水太小了，卫生间异味大。前台服务有待加强。', '短评打分': 4}
{'短评内容': '开发票错了不能更改，太过分！要十个点的费用', '短评打分': 3}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '整個酒店就跟我同事兩人，沒有餐廳吃晚餐也就算了，早餐真是嚇死人了', '短评打分': 3}
{'短评内容': '外面大風景真的不錯，裡面也還行，可是早餐太嚇人了', '短评打分': 4}
{'短评内容': '非常安静，有种在家里的感觉！', '短评打分': 4}
