{'短评内容': '差差差差差', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '特别垃圾，招待所', '短评打分': 3}
{'短评内容': '没早餐，在携程上定109的，没电梯，整体有点旧，房间味道很重，小灯上还有蜘蛛网，感觉不怎么样，也就住一晚不想换', '短评打分': 3}
{'短评内容': '便宜就这样吧', '短评打分': 3}
{'短评内容': '环境不错，京东服务好！', '短评打分': 5}
{'短评内容': '真心不咋样！卫生不好，房间里好多小虫子，睡了一夜一身到处痒。房间也跟图片不符合。不会再去了', '短评打分': 3}
{'短评内容': '床有点小，一个人足睡。房间设施不齐全，一般酒店都会配矿泉水，，，这个酒店的矿泉水是需要买的。。房间和图片不一至。', '短评打分': 3}
{'短评内容': '挺不错的，价格公道', '短评打分': 5}
{'短评内容': '挺不错的，价格公道', '短评打分': 5}
{'短评内容': '挺不错的，价格公道', '短评打分': 5}
{'短评内容': '很满意，，，，不错  九十多块可以了，，，', '短评打分': 5}
{'短评内容': '网咯不怎么好用，洗澡花潵不好用。总之，随便住下是可以的。', '短评打分': 3}
{'短评内容': '靠近大马路边，有点吵！！', '短评打分': 3}
{'短评内容': '还好，就是周围吃饭太远了，啥吃的都没有。', '短评打分': 5}
{'短评内容': '环境还是可以的，就是稍微有点偏', '短评打分': 3}
{'短评内容': '性价比还可以，干净，就是不要住临街的那边，太吵', '短评打分': 3}
{'短评内容': '挺干净，有点吵', '短评打分': 3}
{'短评内容': '新装修的，房间都还没安空调，不过那地方有电扇也够用啦！临近路边有些吵，不过对于睡眠好的人没有什么问题。', '短评打分': 5}
{'短评内容': '房间不错，就是新开业不久，有点漆味，还有临街边，晚上有点吵。', '短评打分': 5}
{'短评内容': ' 酒店挺干净 因为是新开酒店 空调还没有安装好 总之挺好', '短评打分': 3}
{'短评内容': '房间还干净，只是停车不方便。就停大厅门口，没有专门停车场', '短评打分': 3}
