{'descr': '挺好的！', 'star': 5}
{'descr': '首先说地理位置，在三环外面吧，就是要倒车，但是公交车站离酒店很近。店不大，周围比较安静，有点小偏僻，但是房间还可以吧，热水很好，卫生还算干净啦，客房服务员的态度也很礼貌，能在国庆节还可以订到这么实惠又五脏俱全的店也实属难得，客房每天都有被打扫，垃圾清理的也比较及时，梳洗用品每天也会更换，总之个人感觉性价比还可以吧。', 'star': 3}
{'descr': '还算干净，外面是饭店厨房。不好。', 'star': 4}
{'descr': '我妈反应一般般', 'star': 4}
{'descr': '还行吧，位置有点偏，不太好找，服务态度很好', 'star': 3}
{'descr': '环境还行，对的起价格', 'star': 4}
{'descr': '酒店位置离地铁站比较近，方便，在北京这个价格的酒店，实惠。前台热情。', 'star': 5}
{'descr': '连锁经营，实惠。', 'star': 5}
{'descr': '挺不错的 小了点 环境挺不错的', 'star': 5}
{'descr': '凑合住吧，没有什么好的，不过在北京这样的高消费城市也就不能埋怨什么了。位置不嘉，设施不好，洗澡是电热水器，而且很差劲，加热好之后洗澡洗到一半时局然水不热了，需要等侍二十分钟后再接着洗。价格不便宜，房间也不安静。北京就是这样，不能埋怨什么，有钱住五星级酒店去，没钱的人就只能住这样的宾馆了，谁让自己是穷人呢。', 'star': 5}
{'descr': '还好,挺干净的,也很安静!', 'star': 3}
{'descr': '价格合理，环境不错，服务热情。', 'star': 3}
{'descr': '太差了！！！！！！！！！再也不回去了！！！！！', 'star': 1}
{'descr': '很差，提前预订到了没有房间，还给电话说谎说停电，到了才发现是没有房间。不会再住\n', 'star': 1}
{'descr': '＋环境还可以，但是就是不怎么好找，周边吃饭交通厅很方便，下次可以首先考虑', 'star': 3}
{'descr': '房间很干净   服务很好   就是房间的位置不在市中心   呵呵呵   \n\n\n性价比挺高的', 'star': 5}
{'descr': '进去稍显压抑，但是房间配置还不错，简单朴素，很温馨，想对来说经济实惠', 'star': 5}
{'descr': '感觉不错，温馨实惠', 'star': 3}
{'descr': ' 宾馆小，但是很干净，服务也很热情，推荐', 'star': 3}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好!', 'star': 5}
{'descr': '好，实惠', 'star': 3}
{'descr': '环境一般，三张床', 'star': 3}
{'descr': '装饰真的不敢恭维，还有不少墙纸都撕坏了，卫生间太小，服务态度还算不错', 'star': 1}
{'descr': '总体不错，与网上描述的差不多', 'star': 3}
{'descr': '一般。', 'star': 3}
{'descr': '很好。', 'star': 3}
{'descr': '挺好的，真的不错啊挺好的，真的不错啊挺好的，真的不错啊挺好的，真的不错啊', 'star': 5}
{'descr': '服务不错', 'star': 3}
{'descr': '总体感觉一般价钱要再便宜点就好了总体感觉一般价钱要再便宜点就好了', 'star': 5}
{'descr': '价格挺实惠的，服务卫生方面也挺好，房间布置的也挺温馨，就是设施有些陈旧。', 'star': 3}
{'descr': '门脸不大，但是内部打扫还算干净，设施还算齐全，服务也挺周到，住的还是挺满意的。', 'star': 5}
{'descr': '酒店位置还好，交通还是挺便利的，环境还不错，挺干净的。', 'star': 5}
{'descr': '房间收拾的挺干净的，颜色搭配的挺协调，感觉挺舒适，价格方面也挺便宜的。', 'star': 5}
{'descr': '房间大小还好，卫生方面不错，设施挺齐全，就是有些陈旧，价格还是挺合适的。', 'star': 5}
{'descr': '酒店挺经济实惠的，服务态度还挺好，挺适合学生选择。', 'star': 3}
{'descr': '酒店位置还好，离地铁站近，周边交通挺便利，价格方面也挺便宜的。', 'star': 3}
{'descr': '经济实惠，干净整洁，出行方便，性价比很好，值得推荐。', 'star': 5}
{'descr': '服务挺周到的，设施该有的都有，卫生也挺好，价格挺合理。', 'star': 5}
{'descr': '性价比挺好，老板人很好很热情，卫生方面也不错。', 'star': 3}
